LossBefore,0Entropy,0EnvExecTime,1StdReturn,0Perplexity,0StdReturn,1AveragePolicyStd,1MinReturn,0NumTrajs,0AveragePolicyStd,0MinReturn,LossAfter,1PolicyExecTime,1Entropy,0MaxReturn,0AverageReturn,1ProcessExecTime,MeanKLBefore,0ExplainedVariance,1Perplexity,Time,1ExplainedVariance,MeanKL,1EnvExecTime,1MaxReturn,1NumTrajs,0PolicyExecTime,1AverageReturn,ItrTime,ComputeUpdatedDistTime,0ProcessExecTime,dLoss
8.14907252789e-10,2.83788,26.922399282455444,290.744625918,17.0795,77.9679421301,1.00055,0.0,400,1.0,0.0,8.73114913702e-10,25.48435378074646,2.83893,1000.0,11.0,0.9284071922302246,-9.05129249329e-10,0.0224034913541,17.0974,108.84299659729004,0.0115325430333,4.5431094442e-09,25.912503242492676,5000.0,400,11.837156057357788,35.25,108.84299993515015,5.69196891784668,1.0282063484191895,-5.82076609135e-11
-4.65660843219e-11,2.83788,25.478602409362793,300.872792888,17.0795,180.814822401,1.00053,0.0,400,1.0,0.0,9.31323351772e-11,27.04451632499695,2.83888,3200.0,16.0,0.9170334339141846,4.12401535144e-09,0.00755809542115,17.0967,207.2209312915802,0.0173935456627,-1.62981142471e-10,25.55620527267456,5400.0,400,7.688064098358154,36.75,97.57984757423401,0.4117398262023926,0.8948180675506592,-1.39698419499e-10
-9.10949871091e-10,2.83788,27.07740306854248,64.3719659479,17.0795,58.7452125709,1.00013,0.0,400,1.0,0.0,-1.68802216649e-09,27.56680178642273,2.83811,900.0,7.0,0.975278377532959,-5.67525089423e-11,0.0261499594534,17.0835,305.910347700119,0.0170647616792,2.8019706555e-09,26.63772416114807,800.0,400,8.032178163528442,7.5,97.76527547836304,0.3521759510040283,0.9379575252532959,7.77072295399e-10
1.26892707453e-09,2.83788,27.01045536994934,374.624812312,17.0795,238.061835455,1.00092,0.0,400,1.0,0.0,1.37370081976e-09,30.713914394378662,2.83967,4500.0,21.25,0.9719557762145996,3.27199578543e-09,0.0127476203306,17.1102,408.08678245544434,0.0220702182622,1.66619301689e-10,27.033453941345215,5200.0,400,7.346257209777832,47.5,100.83594751358032,0.3383033275604248,1.042259693145752,-1.04773745235e-10
-1.15251164168e-09,2.83788,27.235614776611328,65.7262314453,17.0795,91.4873625153,1.00115,0.0,400,1.0,0.0,-8.96398011374e-10,30.537503719329834,2.84015,1100.0,10.25,1.0024240016937256,1.64138302949e-08,0.0138124829847,17.1184,514.4292702674866,0.0108614799977,1.17717746662e-08,27.969680070877075,800.0,400,11.039717197418213,10.25,105.20344543457031,0.33823680877685547,0.9819498062133789,-2.56113630304e-10
-2.21189122573e-10,2.83788,26.95964527130127,366.097579205,17.0795,968.421266805,1.00077,0.0,400,1.0,0.0,-1.14087017611e-09,30.148032903671265,2.83937,15100.0,110.5,0.9069545269012451,-5.9660790197e-11,0.0187995628155,17.105,616.5033745765686,0.0360616946399,-4.07453848439e-10,26.826055765151978,4600.0,400,9.08527421951294,54.75,101.18923950195312,0.3901360034942627,0.9708297252655029,9.19681053535e-10
-1.62981433904e-10,2.83788,27.066139459609985,233.70801762,17.0795,236.959384705,1.00238,0.0,400,1.0,0.0,-4.88944329469e-10,29.222838640213013,2.84259,3500.0,25.5,0.9490625858306885,-4.74392303218e-09,0.0149857721182,17.1601,720.6209237575531,0.0207257715139,4.86615281403e-09,27.260306119918823,2800.0,400,10.924285650253296,33.25,102.93441963195801,0.3682210445404053,0.9718420505523682,3.25962895564e-10
6.57746579424e-10,2.83788,27.331944704055786,469.306336522,17.0795,95.8175349297,0.999834,0.0,400,1.0,0.0,7.04312774769e-10,31.202531814575195,2.83752,1200.0,13.0,0.9720661640167236,2.69210476134e-09,0.0208304761979,17.0734,827.4410309791565,0.0509958647788,3.95229937666e-09,27.35291290283203,7300.0,400,9.599328756332397,68.75,105.89592909812927,0.8797471523284912,0.9682815074920654,-4.65661953442e-11
-5.97356109022e-10,2.83788,26.83004093170166,256.548119268,17.0795,290.793741336,1.00188,0.0,400,1.0,0.0,-3.20869664172e-10,29.19610071182251,2.84159,5200.0,33.0,0.9933922290802002,2.18278672914e-10,0.0183132121356,17.143,933.8366198539734,0.0237525359996,1.00262698144e-09,27.587700128555298,3400.0,400,10.954855918884277,31.75,105.54258251190186,0.3788728713989258,0.9607431888580322,-2.7648644485e-10
1.24273358271e-09,2.83788,26.85653853416443,592.247783871,17.0795,546.62029783,1.00126,0.0,400,1.0,0.0,6.74481304141e-10,31.318909168243408,2.84036,10800.0,37.5,0.9520573616027832,2.80124612395e-09,0.00963119896683,17.1219,1039.2148418426514,0.0511708974197,2.50511456024e-09,27.113113403320312,9300.0,400,8.150734663009644,77.25,104.47705245018005,0.3710780143737793,0.9776606559753418,5.68252278565e-10
1.19325704873e-09,2.83788,27.641865253448486,647.652684701,17.0795,205.899095433,1.00092,0.0,400,1.0,0.0,5.23868948221e-10,30.482486248016357,2.83971,3700.0,20.75,0.9891848564147949,-5.65478552872e-10,0.0215217983344,17.1107,1143.0725255012512,0.0130554835625,-8.63564497688e-11,27.415803909301758,12100.0,400,9.101562976837158,64.0,102.93283343315125,0.37871551513671875,0.95623779296875,6.69388100505e-10
