ItrTime,0ExplainedVariance,0PolicyExecTime,0MaxReturn,0AveragePolicyStd,1NumTrajs,1ProcessExecTime,1Entropy,1ExplainedVariance,0NumTrajs,1MinReturn,1MaxReturn,1Perplexity,Time,MeanKL,1AveragePolicyStd,1StdReturn,0Perplexity,MeanKLBefore,0ProcessExecTime,0Entropy,0StdReturn,LossAfter,dLoss,1PolicyExecTime,0MinReturn,0AverageReturn,0EnvExecTime,1EnvExecTime,1AverageReturn,LossBefore,ComputeUpdatedDistTime
726.5706284046173,0.0450030697509,143.4182996749878,16500.0,1.0,2000,5.894128084182739,2.8376,0.0580679686663,2000,0.0,13500.0,17.0747,726.5706233978271,0.00784119591117,0.999861,873.642375346,17.0794,8.44011194268e-10,6.136908054351807,2.83788,740.022425336,-0.00150727247819,0.00150727288565,247.2388355731964,0.0,70.9,150.10525584220886,149.27476334571838,107.0,4.07453626394e-10,0.9821834564208984
851.9978034496307,0.0868341226432,186.9242377281189,15300.0,0.996512,2000,6.5515477657318115,2.83151,0.0866936080976,2000,0.0,16800.0,16.971,1582.764802455902,0.00707981362939,0.996858,1522.42706229,16.9595,-2.32830621449e-09,6.530129432678223,2.83083,1385.19472909,-0.00143196829595,0.00143196710269,306.2579927444458,0.0,303.25,160.49055552482605,161.20711636543274,332.8,-1.19325704873e-09,0.27101826667785645
868.0383570194244,0.0817962286382,202.29801082611084,19900.0,0.995516,2000,6.766042947769165,2.82902,0.120500868286,2000,0.0,19600.0,16.9289,2455.5760984420776,0.0076650865376,0.995606,2385.6440556,16.926,-2.0372667997e-09,6.728033542633057,2.82885,1849.08598975,-0.00190213322639,0.00190213386668,303.84105253219604,0.0,460.05,161.23685121536255,163.00864219665527,683.8,6.40284270048e-10,0.26899218559265137
903.0732007026672,0.101546024823,212.83419013023376,20100.0,0.998206,2000,6.856630563735962,2.83475,0.14957494863,2000,0.0,19900.0,17.0261,3363.2697718143463,0.00685548782349,0.998441,4259.88326601,17.018,-4.16184731122e-09,7.004979848861694,2.83427,3314.84958181,-0.00126250984613,0.00126251135953,320.5441060066223,0.0,1071.5,164.0564320087433,166.41484093666077,1611.6,1.51339918375e-09,0.2576007843017578
902.6627471446991,0.103719188313,216.2530722618103,21700.0,0.999391,2000,6.508794069290161,2.83538,0.136464094978,2000,0.0,21300.0,17.0369,4270.678338050842,0.0085057169199,0.998762,4993.19321652,17.0584,-2.7357613952e-09,6.904809951782227,2.83664,4114.87861303,-0.00129350251518,0.00129350264615,315.3732931613922,0.0,1528.0,165.8160789012909,164.89521551132202,2002.55,1.30967237055e-10,0.26682186126708984
886.9920399188995,0.0834665415858,209.5329201221466,21100.0,0.989595,2000,6.37781834602356,2.81628,0.136960021631,2000,0.0,22300.0,16.7145,5162.105112314224,0.00887548178434,0.989274,5545.60659982,16.7256,3.09082111016e-08,6.474435329437256,2.81694,4125.68536852,-0.0022206902504,0.00222068991843,313.6495542526245,0.0,1496.8,162.7560760974884,164.1926417350769,2508.8,-3.31965566147e-10,0.2647359371185303
892.452543258667,0.082617449314,213.9560308456421,22000.0,0.981439,2000,6.371906995773315,2.79801,0.138758613112,2000,0.0,22300.0,16.4119,6059.203737258911,0.00810513552278,0.980288,6950.78169992,16.4507,3.25963300796e-09,6.420267343521118,2.80037,5256.63187887,-0.00124217011034,0.00124217063421,313.4053292274475,0.0,2212.7,163.29196166992188,164.2215883731842,3487.6,5.23868948221e-10,0.2458353042602539
893.3792369365692,0.0748244564009,210.70531964302063,22000.0,0.980418,2000,6.491575717926025,2.79801,0.147099554887,2000,0.0,22700.0,16.4119,6957.105155467987,0.0082463696599,0.980413,7554.05907046,16.4117,4.59840077127e-09,6.396631479263306,2.79799,5606.53787444,-0.0017120167613,0.00171201654302,314.0895926952362,0.0,2511.75,163.58371782302856,164.99457907676697,4046.6,-2.18278728426e-10,0.26029372215270996
893.2458744049072,0.0721887458477,208.57097458839417,22300.0,0.979201,2000,6.472637414932251,2.79482,0.165816878973,2000,0.0,22800.0,16.3597,7854.848461389542,0.00698059564456,0.978843,8402.80376288,16.3714,1.04773900667e-09,6.4656219482421875,2.79553,6051.38801247,-0.0011941815028,0.00119418129907,313.2303431034088,0.0,2859.65,163.72024393081665,165.08498692512512,4845.65,-2.03726813197e-10,0.2519083023071289
894.8111050128937,0.0689874565909,207.2567367553711,22600.0,0.96752,2000,6.50123143196106,2.7667,0.188065652672,2000,0.0,23000.0,15.9061,8754.095030069351,0.00996115896851,0.965204,8735.91947064,15.9829,-3.72530051251e-09,6.536010265350342,2.77152,6188.71345596,-0.00137263629586,0.00137263530632,313.6620571613312,0.0,2852.4,164.00407552719116,165.40311098098755,5497.55,-9.89530235529e-10,0.24645709991455078
897.1366491317749,0.0657251132552,207.08372259140015,23000.0,0.963499,2000,6.432248830795288,2.76279,0.174415838746,2000,0.0,23300.0,15.844,9655.748613834381,0.00666427286342,0.963338,8980.12830588,15.8497,-4.65665950244e-10,6.472538232803345,2.76315,6670.84439764,-0.00148595590144,0.00148595658538,313.0992057323456,0.0,3312.65,165.08480834960938,165.42706418037415,5333.1,6.83940015733e-10,0.24781322479248047
892.3759837150574,0.0610446085525,204.40611934661865,23000.0,0.9562,2000,6.438199281692505,2.74564,0.170901462788,2000,0.0,23300.0,15.5745,10552.713743925095,0.00851344224066,0.955111,9439.50725621,15.6107,1.7229465854e-08,6.413034200668335,2.74796,6617.51021986,-0.0011667025974,0.00116670230636,313.64131569862366,0.0,3320.7,163.60121822357178,165.8111970424652,6082.6,-2.91038304567e-10,0.2535107135772705
