0MaxReturn,0Perplexity,1Entropy,1MaxReturn,0MinReturn,ItrTime,0ExplainedVariance,Time,LossAfter,0PolicyExecTime,1ExplainedVariance,1EnvExecTime,0Entropy,1Perplexity,0ProcessExecTime,dLoss,1MinReturn,1StdReturn,ComputeUpdatedDistTime,MeanKLBefore,1NumTrajs,LossBefore,1AverageReturn,1AveragePolicyStd,0EnvExecTime,MeanKL,0AverageReturn,0StdReturn,1PolicyExecTime,1ProcessExecTime,0AveragePolicyStd,0NumTrajs
2200.0,17.0795,2.83945,2400.0,0.0,71.89503455162048,0.172356580604,71.89502549171448,-0.00513713387772,11.420297384262085,0.216125040173,18.379739999771118,2.83788,17.1064,0.4374997615814209,0.00513713399414,0.0,302.416930743,0.6426661014556885,3.46335737866e-09,800,1.16415321827e-10,62.0,1.0008,9.966970443725586,0.00853351783007,29.0,184.347497949,27.376516819000244,0.7711539268493652,1.0,800
1600.0,17.2206,2.84665,2600.0,0.0,64.39394521713257,0.0447659402424,137.52311611175537,-0.00685220491141,11.686099290847778,0.229711503866,15.37194013595581,2.84611,17.23,0.4573476314544678,0.00685220467858,0.0,344.908298501,0.07141709327697754,-2.44472153632e-09,800,-2.32830643654e-10,99.125,1.00441,10.498501777648926,0.00871961563826,11.75,98.6759215817,23.46917963027954,0.6567258834838867,1.00412,800
1400.0,16.9509,2.82435,2600.0,0.0,66.49922466278076,0.0629198398583,205.29603123664856,-0.0073236390017,13.88570261001587,0.376198902637,13.714757680892944,2.83032,16.85,0.5888504981994629,0.00732363873612,0.0,514.202522723,0.07537388801574707,-5.52972612144e-10,800,-2.65572452918e-10,209.125,0.993287,13.454574823379517,0.00927872862667,23.125,135.840842073,21.95175004005432,0.5717353820800781,0.996233,800
1700.0,16.6114,2.80588,2600.0,0.0,70.48744225502014,0.063546912769,277.09991240501404,-0.00916609261185,14.67813777923584,0.321125795644,14.262211084365845,2.81009,16.5417,0.6300840377807617,0.0091660929611,0.0,531.547255072,0.07477116584777832,1.62981350638e-09,800,3.49245965481e-10,219.875,0.984138,14.604789733886719,0.00881438702345,24.125,155.339899495,23.345658779144287,0.6151406764984131,0.986204,800
1600.0,16.4349,2.80732,2800.0,0.0,67.47547626495361,0.0583406436425,345.9380922317505,-0.0088151441887,13.954124927520752,0.492774081975,13.988147735595703,2.79941,16.5655,0.5977892875671387,0.00881514244247,0.0,732.033084976,0.07247638702392578,2.32830910107e-09,800,-1.7462298274e-09,442.75,0.984899,13.818731784820557,0.00748861208558,29.375,162.171543049,22.308040857315063,0.5816586017608643,0.98099,800
1800.0,15.9281,2.76706,2600.0,0.0,67.81794571876526,0.0534735675896,414.9921545982361,-0.00935883074999,14.998504877090454,0.418310433832,13.589953899383545,2.76809,15.9117,0.6141219139099121,0.00935882900376,0.0,691.668713601,0.07280969619750977,4.85722573274e-17,800,-1.7462298274e-09,397.375,0.965297,14.021708011627197,0.00740380538628,26.5,171.238868251,21.65740656852722,0.5679154396057129,0.965775,800
1400.0,15.5842,2.746,2800.0,0.0,69.0039610862732,0.0415761203037,485.237722158432,-0.00640406925231,13.786322116851807,0.412124710298,14.327774286270142,2.74626,15.5802,0.5993034839630127,0.00640407060564,0.0,746.047878825,0.0744771957397461,1.86264803581e-09,800,1.35332811624e-09,424.75,0.955138,13.796719312667847,0.00625996524468,34.25,173.210673747,23.560383081436157,0.6070976257324219,0.955228,800
1600.0,15.4308,2.74585,2600.0,0.0,66.35128378868103,0.0434840060064,552.6700205802917,-0.00702012516558,13.609448432922363,0.297578399085,13.817260980606079,2.73636,15.5779,0.5758869647979736,0.00702012231341,0.0,557.82255243,0.07468485832214355,-2.79396794589e-09,800,-2.85217538476e-09,247.0,0.955044,13.369560718536377,0.00670554302633,25.25,145.644902074,22.111547470092773,0.5971040725708008,0.95051,800
1800.0,15.0788,2.71241,2800.0,0.0,67.72758221626282,0.0871548776843,621.7709622383118,-0.0075772954151,14.454718589782715,0.442101739448,13.999205589294434,2.71329,15.0656,0.5836882591247559,0.0075772939017,0.0,871.449860505,0.07357907295227051,4.5634795498e-08,800,-1.51339918375e-09,649.625,0.939226,13.375662803649902,0.00660264957696,74.625,279.541784667,22.40312433242798,0.5899307727813721,0.93961,800
2000.0,14.6477,2.67825,2900.0,0.0,68.67230725288391,0.0623621707557,691.7886772155762,-0.00905096437782,13.476360321044922,0.458484693766,14.656901359558105,2.68428,14.5595,0.5827789306640625,0.0090509649599,0.0,945.779894783,0.07304525375366211,3.72529007642e-09,800,5.82076609135e-10,710.625,0.923323,13.268034934997559,0.00948438886553,48.625,228.742452061,23.82482361793518,0.6249697208404541,0.926103,800
