MaxReturn,NumTrajs,AverageReturn,AveragePolicyStd,LossBefore,MeanKL,ItrTime,MinReturn,Time,Entropy,ExplainedVariance,MaxKL,StdReturn,LossAfter,Perplexity
1600.0,200,25.5,1.0,-0.0163422,0.00229923,16.934247255325317,0.0,16.93424081802368,2.83788,0.204825106164,0.0156005,159.372990183,-0.0201494,17.0795
2200.0,200,148.5,0.99187,-0.00220878,0.00233557,16.497255086898804,0.0,33.636982917785645,2.82153,0.585744357046,0.0162546,412.307834027,-0.00764479,16.8026
1900.0,200,114.5,0.991315,-0.0125308,0.00177098,16.70726990699768,0.0,50.54443168640137,2.82043,0.327580266271,0.0115513,319.280049486,-0.0167289,16.7841
2500.0,200,189.5,0.988214,0.0112027,0.00219142,17.02606964111328,0.0,67.79299473762512,2.81416,0.524076301464,0.0186267,450.488346131,0.00632228,16.6792
2300.0,200,281.5,0.990992,-0.0263675,0.00416179,16.301830768585205,0.0,84.28685164451599,2.81977,0.549920090342,0.0282064,537.687409189,-0.0343163,16.7729
2600.0,200,285.5,0.984477,-0.00929625,0.00244357,16.551278114318848,0.0,101.03246116638184,2.80658,0.590956117435,0.0148302,538.924623672,-0.0142614,16.5533
2600.0,200,481.0,0.982201,-0.0178712,0.00428286,16.45818781852722,0.0,117.70270776748657,2.80193,0.659912729958,0.0223455,705.435326589,-0.0247676,16.4765
2300.0,200,622.5,0.977812,-0.0295029,0.00545738,16.361674308776855,0.0,134.27399396896362,2.793,0.670161831407,0.0283592,719.544126513,-0.0377603,16.3299
2600.0,200,744.0,0.970625,-0.0142111,0.0060883,16.287665128707886,0.0,150.77364778518677,2.77825,0.706887576751,0.035,796.720779194,-0.0226575,16.0908
2600.0,200,882.5,0.967183,-0.0161351,0.00812425,16.58644986152649,0.0,167.56116724014282,2.77114,0.7061166822,0.0331512,774.172945794,-0.0273548,15.9769
2600.0,200,1135.0,0.963297,-0.0244291,0.00743651,16.82015061378479,0.0,184.57525849342346,2.76307,0.754261750682,0.030589,723.446611714,-0.0340126,15.8485
2800.0,200,1280.5,0.957446,-0.0187429,0.013624,16.35593271255493,0.0,201.25402879714966,2.75086,0.798986179123,0.0405311,771.926000339,-0.0351946,15.6561
2800.0,200,1631.0,0.952953,-0.0474883,0.0155701,16.393824338912964,0.0,217.8306257724762,2.74149,0.839778692736,0.0525369,566.249944812,-0.0637236,15.5101
2700.0,200,1828.0,0.941712,-0.041095,0.0152455,16.471832752227783,0.0,234.49673867225647,2.71774,0.872249473923,0.0492208,535.552051625,-0.055693,15.1461
2900.0,200,2028.5,0.932079,-0.0452421,0.0169643,16.483808517456055,0.0,251.19149661064148,2.6972,0.909050502504,0.0535327,482.636250193,-0.0606344,14.8381
2700.0,200,2089.0,0.921594,-0.048264,0.0197363,16.370805978775024,100.0,267.76710319519043,2.67458,0.934956995005,0.0766977,377.198886531,-0.0626739,14.5062
2900.0,200,2238.5,0.910544,-0.0473755,0.0184522,16.29242491722107,1100.0,284.25923776626587,2.65044,0.950270412749,0.0663027,335.957958679,-0.0604127,14.1603
2900.0,200,2267.5,0.89982,-0.0478476,0.0261864,16.521135807037354,900.0,300.9857451915741,2.62676,0.967580225197,0.0883939,324.95191952,-0.0640277,13.8288
2900.0,200,2396.5,0.889121,-0.0575953,0.0207301,16.50294065475464,1600.0,317.68955421447754,2.60283,0.976450247058,0.0636067,255.024998775,-0.0709115,13.5019
3000.0,200,2480.0,0.876411,-0.0384077,0.0156472,16.407013654708862,1700.0,334.29606199264526,2.57403,0.98301208011,0.0493597,226.936114358,-0.0473172,13.1186
3000.0,200,2513.0,0.868038,-0.0473343,0.0201247,16.297905683517456,1800.0,350.8552176952362,2.55483,0.985740952806,0.104479,190.344424662,-0.0565359,12.8691
3000.0,200,2565.5,0.857824,-0.0523636,0.0133055,16.10119342803955,1600.0,367.1547882556915,2.53116,0.986476515295,0.0437533,193.803379743,-0.0597526,12.5681
2900.0,200,2565.0,0.846675,-0.0290057,0.00846612,16.278780460357666,2000.0,383.73473477363586,2.50498,0.991299293654,0.0277779,156.444878472,-0.0342563,12.2433
2900.0,200,2577.0,0.840586,-0.0472317,0.00335078,16.322595596313477,1900.0,400.2551863193512,2.49048,0.991529822469,0.00608087,149.569381893,-0.0509541,12.0671
2900.0,200,2582.5,0.830694,-0.0378004,0.002659,16.23956060409546,2100.0,416.68368697166443,2.46686,0.991443991975,0.0125905,151.141490002,-0.0414344,11.7854
2900.0,200,2617.5,0.822902,-0.0321824,0.0510419,16.271149396896362,1800.0,433.1597898006439,2.44796,0.991355182707,0.183905,166.564552051,-0.0481887,11.5648
2900.0,200,2606.5,0.81636,-0.0317001,0.0176074,16.19645118713379,2200.0,449.58605122566223,2.43187,0.991432319263,0.0695341,148.350092686,-0.0371947,11.3802
3000.0,200,2618.5,0.809886,-0.026732,0.00187709,16.380885362625122,2000.0,466.1749174594879,2.41602,0.991506584545,0.00481232,163.730724056,-0.0282161,11.2012
3000.0,200,2638.0,0.804483,-0.0238408,0.0161903,16.228971481323242,2300.0,482.7068700790405,2.40266,0.993343723552,0.0663581,130.215206485,-0.028762,11.0525
2900.0,200,2649.5,0.799693,-0.0232097,0.0104196,16.26515769958496,2300.0,499.1800081729889,2.39074,0.994047620458,0.0385572,124.497991952,-0.0275019,10.9215
3000.0,200,2670.0,0.79505,-0.0047083,0.00413276,16.373825788497925,2400.0,515.7932362556458,2.37913,0.994899451269,0.0214152,116.189500386,-0.00692025,10.7955
2900.0,200,2655.0,0.794135,-0.000384891,0.0163015,16.119622945785522,2300.0,532.1127688884735,2.37678,0.993682801535,0.104256,129.903810568,-0.0049912,10.7701
