MaxReturn,MaxKL,Time,NumTrajs,LossAfter,MeanKL,Entropy,AverageReturn,Perplexity,ItrTime,ExplainedVariance,MinReturn,TotalExecTime,StdReturn,LossBefore,AveragePolicyStd
100.0,0.488935,7.636538505554199,40,-0.0497667,0.0850627,1.73658,77.5,5.67789,7.63654351234436,0.640378813462,0.0,7.544964075088501,41.7582327212,-0.0204498,0.58088
200.0,0.769595,13.961742639541626,40,-0.0372123,0.0605117,1.71613,120.0,5.56295,6.320752859115601,0.70327586084,0.0,6.201226472854614,55.6776436283,-0.00504161,0.575345
200.0,0.327949,20.390138387680054,40,-0.0226571,0.0621012,1.71361,120.0,5.54895,6.423432350158691,0.819297106777,100.0,6.3774354457855225,40.0,-0.00863837,0.574676
200.0,0.266325,26.74668598175049,40,-0.0252047,0.0597971,1.70929,120.0,5.52503,6.350219488143921,0.773599363972,0.0,6.252974510192871,45.8257569496,-0.0078465,0.573158
200.0,0.203576,33.033007860183716,40,-0.0240541,0.0504497,1.70537,127.5,5.5034,6.28103494644165,0.785747918345,0.0,6.240855693817139,49.9374608886,-0.00495033,0.571882
200.0,0.328052,39.335233211517334,40,-0.0118698,0.032625,1.70289,132.5,5.48979,6.298173904418945,0.806449216559,100.0,6.226804971694946,46.837484988,0.00677969,0.570831
300.0,0.0920166,46.09489941596985,40,0.013047,0.0169935,1.70628,152.5,5.50843,6.744869947433472,0.72859385924,0.0,6.667553424835205,67.035438389,0.0223232,0.571366
