ExplainedVariance,MaxKL,LossBefore,LossAfter,MaxReturn,ItrTime,Perplexity,MeanKL,TotalExecTime,StdReturn,Entropy,AverageReturn,Time,AveragePolicyStd,MinReturn,NumTrajs
1,0.0,-0.0,-0.0,0.0,10.942607879638672,11.639,0.0,10.861148118972778,0.0,2.45436,0.0,10.942605257034302,0.827472,0.0,20
1,0.0,-0.0,-0.0,0.0,10.791590690612793,11.639,0.0,10.741080522537231,0.0,2.45436,0.0,21.738173246383667,0.827472,0.0,20
1,0.0,-0.0,-0.0,0.0,10.735275268554688,11.639,0.0,10.690454006195068,0.0,2.45436,0.0,32.477492570877075,0.827472,0.0,20
1,0.0,-0.0,-0.0,0.0,10.487905502319336,11.639,0.0,10.45727801322937,0.0,2.45436,0.0,42.96969723701477,0.827472,0.0,20
1,0.0,-0.0,-0.0,0.0,10.605290174484253,11.639,0.0,10.559489488601685,0.0,2.45436,0.0,53.57852053642273,0.827472,0.0,20
1,0.0,-0.0,-0.0,0.0,10.393015623092651,11.639,0.0,10.3676118850708,0.0,2.45436,0.0,63.97530746459961,0.827472,0.0,20
1,0.0,-0.0,-0.0,0.0,10.805250644683838,11.639,0.0,10.758747339248657,0.0,2.45436,0.0,74.78382635116577,0.827472,0.0,20
