ItrTime,MinReturn,Perplexity,LossAfter,AverageReturn,MaxKL,NumTrajs,LossBefore,MeanKL,ExplainedVariance,Entropy,TotalExecTime,MaxReturn,AveragePolicyStd,StdReturn,Time
26.533215522766113,2300.0,7.35273,-0.0246848,2646.5,1.62379,200,-0.0127357,0.146812,0.994265758082,1.99507,26.28827738761902,3000.0,0.6562,125.649313568,774.2017500400543
25.84351634979248,2200.0,7.30605,-0.0187648,2665.5,1.31151,200,-0.00834285,0.085534,0.993599271888,1.9887,25.592611074447632,3000.0,0.654126,137.330804993,800.0516529083252
26.1141459941864,2100.0,7.27564,-0.0260475,2662.0,1.15752,200,-0.0116192,0.175942,0.993759813004,1.98453,25.94663381576538,3000.0,0.652799,138.76599007,826.1703433990479
25.5237820148468,2400.0,7.23349,-0.0250116,2671.0,1.25723,200,-0.00861505,0.181567,0.994969021,1.97872,25.309566259384155,2900.0,0.650917,114.712684565,851.702966928482
26.480496883392334,2300.0,7.2024,-0.0345275,2648.0,1.49567,200,-0.0184884,0.259032,0.994249957707,1.97441,26.211596965789795,3000.0,0.649531,123.67699867,878.1965293884277
27.136219024658203,2200.0,7.13613,-0.0373486,2662.5,1.15555,200,-0.0272235,0.132754,0.993351461252,1.96517,26.969600439071655,3000.0,0.646535,129.783473524,905.3369443416595
26.203707456588745,2300.0,7.03965,-0.0210861,2646.5,1.35015,200,-0.0018775,0.267485,0.992408102456,1.95156,26.007413625717163,2900.0,0.642139,135.232207702,931.5483343601227
26.488678455352783,2300.0,7.03305,-0.0107336,2667.0,0.805135,200,-0.00424013,0.0607473,0.994291347712,1.95062,26.297248363494873,2900.0,0.641792,117.09397935,958.0583164691925
25.82331657409668,2000.0,7.01815,0.000394054,2659.5,0.136686,200,0.0029089,0.0130438,0.993284512082,1.9485,25.55890464782715,2900.0,0.641082,143.212255062,983.8849468231201
26.700841188430786,2300.0,7.02837,-0.0218897,2678.5,1.33024,200,-0.00833119,0.148267,0.993606706768,1.94995,26.505066394805908,3000.0,0.641554,128.404633873,1010.5909421443939
26.611336708068848,2200.0,6.99915,-0.025607,2670.0,1.10558,200,-0.00866443,0.214908,0.994104533465,1.94579,26.378130197525024,3000.0,0.640229,125.6980509,1037.2152976989746
25.508986234664917,2400.0,6.96889,-0.00276425,2679.0,0.772702,200,0.0053889,0.082287,0.995222930377,1.94146,25.354230880737305,2900.0,0.638849,116.871724553,1062.730575799942
23.803848266601562,2400.0,6.9877,-0.0204405,2674.0,3.68368,200,0.00460113,0.257653,0.994476285406,1.94415,23.677900314331055,2900.0,0.639713,119.264412127,1086.5410103797913
24.15084147453308,2300.0,7.00379,-0.0218764,2673.5,2.23287,200,0.00210818,0.319183,0.994564634302,1.94645,23.847601175308228,3000.0,0.640462,117.676463237,1110.721340894699
24.095932722091675,2400.0,7.01118,-0.0103067,2688.0,1.31312,200,0.00472897,0.105827,0.995200702574,1.94751,23.890430450439453,3000.0,0.640787,118.135515405,1134.8332333564758
25.037094116210938,2400.0,7.02778,-0.0184524,2695.5,1.24236,200,-0.0128136,0.113702,0.995791653513,1.94987,24.757537364959717,3000.0,0.641557,107.841318612,1159.885637998581
25.617528438568115,2400.0,6.98289,-0.0150431,2673.0,0.322508,200,-0.00942817,0.0408271,0.99477093253,1.94346,25.35139298439026,2900.0,0.639483,117.349904133,1185.5072875022888
26.560163974761963,2300.0,6.95005,-0.027182,2679.5,0.892059,200,-0.0165145,0.111934,0.994978598436,1.93875,26.34412407875061,3000.0,0.637944,118.447245641,1212.0721530914307
27.358137845993042,2300.0,6.8929,-0.0161693,2694.5,1.92936,200,-0.00505298,0.127794,0.994872374256,1.93049,27.11059546470642,3000.0,0.63538,118.826554271,1239.4623634815216
26.25321674346924,2200.0,6.87551,-0.0443899,2672.0,2.44608,200,-0.0263554,0.250129,0.994468888107,1.92797,26.063002586364746,3000.0,0.634588,121.720992438,1265.7390723228455
26.911037921905518,2400.0,6.7855,-0.0180132,2694.5,2.04482,200,-0.000148375,0.217066,0.995069757195,1.91479,26.73331356048584,3000.0,0.630413,114.541477204,1292.6733741760254
