Time,LossAfter,MeanKL,ExplainedVariance,ItrTime,MaxKL,Entropy,NumTrajs,MaxReturn,AverageReturn,MinReturn,AveragePolicyStd,StdReturn,LossBefore,TotalExecTime,Perplexity
448.1062521934509,-0.00231386,0.0324271,0.995013249916,15.025814056396484,0.386662,2.16336,200,2900.0,2678.5,2400.0,0.71468,117.846298202,0.00249243,14.966396570205688,8.70031
462.6686499118805,-0.0289327,0.0443212,0.994516980081,14.556989908218384,0.273975,2.1646,200,2900.0,2669.0,2300.0,0.715088,114.188440746,-0.0222313,14.462065696716309,8.71115
477.3842284679413,-0.0214882,0.019594,0.994448754536,14.708581924438477,0.107965,2.15349,200,3000.0,2677.5,2200.0,0.711006,125.474100913,-0.0181819,14.58009648323059,8.61486
492.0185191631317,-0.014602,0.102956,0.993994325132,14.626848697662354,0.580463,2.1444,200,2900.0,2660.5,2200.0,0.707589,130.727770577,0.000451265,14.478595972061157,8.5369
506.75378131866455,-0.00791419,0.0372019,0.993578380357,14.73062014579773,0.544743,2.14462,200,3000.0,2669.5,2300.0,0.707642,137.185093942,-0.000536125,14.622729301452637,8.53882
520.6461789608002,-0.0271445,0.0394379,0.994301376255,13.887481689453125,0.40836,2.14436,200,3100.0,2686.0,2300.0,0.707443,116.636186495,-0.0209986,13.762808561325073,8.53654
535.1253287792206,-0.0232668,0.0446493,0.994735780808,14.474277019500732,0.231622,2.13386,200,2900.0,2672.0,2300.0,0.703774,114.525106418,-0.0132393,14.347047090530396,8.44738
551.3255965709686,-0.0146115,0.0536857,0.994624282211,16.195528507232666,1.23168,2.12724,200,3000.0,2673.0,2400.0,0.701584,119.042009392,-0.00758533,16.080537796020508,8.39165
567.023627281189,-0.00384762,0.0220997,0.995264730048,15.689673900604248,0.270837,2.12344,200,3000.0,2675.0,2400.0,0.700352,116.940155635,0.000125153,15.623537302017212,8.35988
582.7989094257355,-0.0230389,0.144314,0.994878949496,15.768409729003906,0.85827,2.12351,200,2900.0,2665.0,2300.0,0.700266,115.650335062,-0.00599141,15.712520360946655,8.3604
598.5150887966156,-0.0133235,0.160517,0.994738884095,15.712210655212402,1.27582,2.12051,200,3000.0,2670.0,2300.0,0.699332,113.13708499,0.00405532,15.527840852737427,8.33539
613.7183218002319,-0.0165046,0.0464974,0.994709085794,15.19368290901184,0.311325,2.12254,200,3000.0,2677.0,2200.0,0.69994,123.97983707,-0.00839951,15.021960496902466,8.35232
630.5573117733002,-0.0395058,0.0925639,0.993783419099,16.8287672996521,1.3764,2.11834,200,2900.0,2674.5,2300.0,0.698523,123.692158199,-0.024253,16.751184940338135,8.31731
645.5297570228577,-0.022719,0.0767366,0.994637530151,14.966647386550903,0.508444,2.10621,200,2900.0,2678.0,2300.0,0.694336,114.087685576,-0.0133438,14.791323184967041,8.21706
660.3977448940277,-0.0158852,0.107521,0.995223605611,14.861910104751587,1.04869,2.09954,200,2900.0,2671.5,2300.0,0.691999,108.801424623,0.00133823,14.768750429153442,8.16242
675.0862863063812,-0.0163127,0.0676647,0.995312874972,14.684103965759277,0.896082,2.10021,200,2900.0,2674.0,2300.0,0.692274,113.683771929,-0.00999131,14.5645751953125,8.16788
691.0818464756012,-0.0103877,0.0499366,0.994512867125,15.984243631362915,0.665809,2.09521,200,3100.0,2679.5,2300.0,0.690624,125.4183001,-0.00353317,15.92251992225647,8.12717
705.7621603012085,-0.0131902,0.0284727,0.994966225046,14.67617654800415,0.21552,2.09345,200,2900.0,2688.5,2400.0,0.689972,112.328758562,-0.00860501,14.578099727630615,8.11283
722.2602634429932,-0.0145802,0.0193703,0.99486679639,16.490721940994263,0.176005,2.08915,200,2900.0,2666.5,2300.0,0.68843,119.280132461,-0.0114358,16.351059913635254,8.07801
738.1573164463043,-0.0278629,0.134762,0.994497600567,15.890321731567383,0.810879,2.08343,200,3000.0,2692.5,2300.0,0.686475,119.556472012,-0.0126369,15.782491683959961,8.03195
765.256908416748,-0.0185558,0.146862,0.993893294008,27.088074445724487,0.967196,2.07711,200,2900.0,2661.0,2200.0,0.68431,128.759465671,-0.00404375,26.923787355422974,7.98136
