1MaxReturn,LossBefore,1EnvExecTime,1AverageReturn,1ProcessExecTime,MeanKLBefore,0MinReturn,0ExplainedVariance,LossAfter,MeanKL,0PolicyExecTime,0StdReturn,0EnvExecTime,0AveragePolicyStd,0Perplexity,1ExplainedVariance,1AveragePolicyStd,0NumTrajs,dLoss,1StdReturn,0Entropy,ItrTime,0MaxReturn,1Entropy,ComputeUpdatedDistTime,Time,1PolicyExecTime,1NumTrajs,1Perplexity,1MinReturn,0ProcessExecTime,0AverageReturn
3900.0,-7.36326943862e-10,58.985979318618774,70.25,1.9113612174987793,-1.0550140761e-09,0.0,0.0482917862488,-0.00206620013341,0.00610148953274,13.50114393234253,156.359961307,49.84666132926941,1.0,17.0795,0.0552750481527,0.999355,400,0.00206619939709,324.48410978,2.83788,199.0892777442932,1700.0,2.83657,4.869127035140991,199.08927392959595,57.00396370887756,400,17.0571,0.0,1.7152206897735596,31.25
3200.0,-3.60887486561e-10,69.61583948135376,117.75,2.0296971797943115,4.07454348039e-11,0.0,0.0650731613268,-0.00242807017639,0.00960545800626,12.299813032150269,366.102444679,48.00766921043396,1.00054,17.098,0.0876572259166,1.00109,400,0.00242806981551,379.947282527,2.83896,205.16626262664795,3200.0,2.84004,0.3305532932281494,405.1678068637848,64.17500114440918,400,17.1165,0.0,1.5261266231536865,87.0
9600.0,-2.91038304567e-10,72.52102088928223,369.0,2.0977606773376465,9.59697987746e-10,0.0,0.0622081166015,-0.00221411231905,0.00795472506434,12.356837272644043,786.758539833,45.8417809009552,0.99742,16.9914,0.0971576878583,0.996704,400,0.00221411202801,1224.49540628,2.83271,207.4489438533783,5700.0,2.83124,0.35980677604675293,612.626877784729,65.72705411911011,400,16.9664,0.0,1.502432107925415,231.0
25000.0,-1.16415321827e-10,70.92431235313416,455.5,2.060511589050293,6.55418297413e-09,0.0,0.0437220286874,-0.00179513345938,0.00672741327435,10.616353988647461,684.799970794,37.66508769989014,0.999158,17.0471,0.0629436469878,1.0016,400,0.00179513334297,1934.68854083,2.83598,195.16961908340454,5300.0,2.84081,0.31787824630737305,808.4968762397766,65.10363984107971,400,17.1297,0.0,1.1900277137756348,207.0
14200.0,-2.32830615898e-10,70.11910033226013,563.5,2.0564682483673096,1.68801961298e-09,0.0,0.0518440170698,-0.00150608830154,0.00912320241332,12.536931276321411,1048.19738122,47.73319172859192,1.00779,17.3425,0.0548791370528,1.00702,400,0.00150608806871,1651.0202149,2.85316,206.71415495872498,7100.0,2.85161,0.3825199604034424,1015.2242274284363,64.95573043823242,400,17.3156,0.0,1.511803150177002,363.5
37000.0,1.26601673589e-10,72.69753909111023,517.25,2.0731964111328125,-4.61005233987e-09,0.0,0.0583163132546,-0.0029791072011,0.00821511913091,11.98326826095581,1187.6690406,44.26524543762207,1.00428,17.2227,0.0655064983202,1.00487,400,0.0029791073277,2893.42831905,2.84623,206.2570765018463,13400.0,2.84732,0.6698756217956543,1222.1649634838104,66.0349371433258,400,17.2415,0.0,1.409834623336792,243.5
12200.0,-1.94268046094e-10,73.25519514083862,396.75,2.14241623878479,-4.44705916536e-09,0.0,0.0601467865202,-0.00313362618908,0.00704404059798,11.450328826904297,719.451005976,42.27593374252319,0.998041,17.0114,0.0696955816673,0.999006,400,0.00313362599481,1191.91628796,2.83388,203.8496859073639,9000.0,2.83577,0.32733893394470215,1426.0266983509064,66.01628875732422,400,17.0435,0.0,1.3137738704681396,165.5
7800.0,-2.70665628799e-10,72.62675046920776,664.5,2.055875301361084,8.02681388024e-09,0.0,0.051524813579,-0.00286902859807,0.00970517005771,10.520442485809326,953.741808615,36.95808005332947,0.998138,17.0154,0.0511198648206,0.996907,400,0.0028690283274,1129.70781621,2.83412,196.4510362148285,7100.0,2.83158,0.33992767333984375,1623.1145565509796,65.69044709205627,400,16.9722,0.0,1.1745800971984863,441.25
9000.0,4.22005541623e-10,73.18864941596985,743.25,2.092132091522217,1.47847090126e-09,0.0,0.0291822510875,-0.00278079044074,0.00891489069909,11.158209085464478,1035.055071,39.79353904724121,0.99085,16.7681,0.055288442812,0.991083,400,0.00278079086274,1424.55411884,2.81948,200.9037687778473,7700.0,2.81989,0.3524281978607178,1824.0237710475922,66.0702474117279,400,16.775,0.0,1.2817609310150146,469.0
16600.0,-6.22821960672e-10,72.77142691612244,1165.25,2.0017306804656982,-1.14086984304e-09,0.0,0.0463200795623,-0.00248857447878,0.00663593458012,11.257380247116089,1643.73277558,40.79407787322998,0.988581,16.6916,0.0445248580949,0.989111,400,0.00248857385595,2141.42883083,2.8149,201.363356590271,11200.0,2.81593,0.3283054828643799,2026.0568857192993,65.81139302253723,400,16.7086,0.0,1.3499040603637695,885.25
20600.0,1.30967264811e-10,72.00437259674072,1146.5,2.080897331237793,8.14616551992e-09,0.0,0.0271275539422,-0.00237165228464,0.00702799577266,10.678054809570312,2011.3147286,38.178670167922974,0.994648,16.897,0.0490092969032,0.994509,400,0.0023716524156,2349.56118243,2.82714,196.8829596042633,10700.0,2.82681,0.3295409679412842,2222.9481151103973,65.30733323097229,400,16.8914,0.0,1.1900193691253662,975.75
8400.0,1.52067539116e-10,71.97804617881775,1061.75,2.105576753616333,2.60770827154e-09,0.0,0.0308107142036,-0.00229197228327,0.00659246463329,10.778520107269287,1281.46781075,38.77867603302002,0.982775,16.4959,0.0570225038551,0.98348,400,0.00229197243534,1496.65023887,2.80311,197.81803679466248,8200.0,2.80452,0.3252389430999756,2421.4734003543854,65.53885865211487,400,16.5191,0.0,1.2334392070770264,715.5
18200.0,1.2467353816e-09,76.46306014060974,1665.5,2.0359792709350586,4.0046823635e-09,0.0,0.0302701418916,-0.00311434129253,0.00717317219824,10.3677396774292,1702.36042012,35.47955894470215,0.985188,16.5767,0.0718791172658,0.98557,400,0.00311434253927,2695.59079795,2.808,199.6474928855896,15200.0,2.80873,0.35767102241516113,2621.1286301612854,66.73599481582642,400,16.5888,0.0,1.1428215503692627,813.0
28300.0,-6.25732410331e-10,73.44982361793518,2092.75,1.9504575729370117,9.0803981001e-10,0.0,0.0454310854229,-0.0039261225611,0.00994826387614,11.71085262298584,2562.9509847,43.04048013687134,0.979909,16.3976,0.100995447762,0.979545,400,0.00392612193536,3564.67704533,2.79713,204.33450984954834,19800.0,2.7964,0.3160583972930908,2826.0910024642944,65.5860390663147,400,16.3855,0.0,1.2282028198242188,1388.5
17900.0,5.80621439816e-10,73.948805809021,2182.5,1.8894131183624268,-7.63683960514e-09,0.0,0.0440466718342,-0.00317419483326,0.00907301809639,10.298148393630981,2240.03208682,35.293740034103394,0.990836,16.7674,0.0704660599959,0.990988,400,0.00317419541389,3151.60177529,2.81944,195.7873158454895,12600.0,2.81968,0.3371155261993408,3021.885224342346,65.89768815040588,400,16.7714,0.0,1.0404937267303467,1352.5
14300.0,-8.26548884891e-10,72.9150538444519,1839.0,1.9476361274719238,-1.39698042023e-09,0.0,0.0275825258913,-0.00335585093126,0.00997163448483,10.519222021102905,1954.5842109,37.03786110877991,0.977973,16.3353,0.0722247449217,0.977257,400,0.00335585010471,2523.60436677,2.79333,196.22065925598145,11600.0,2.79182,0.38768672943115234,3218.808344602585,65.26649641990662,400,16.3107,0.0,1.1105265617370605,1213.25
39900.0,1.89320426003e-09,73.18827509880066,3440.5,1.9888780117034912,-1.86265114444e-10,0.0,0.0243829250701,-0.00293382164091,0.00833050627261,10.135604858398438,2550.62050049,35.295742988586426,0.964612,15.891,0.11450925533,0.96523,400,0.00293382353411,6795.16811786,2.76575,194.64212656021118,14800.0,2.76699,0.3337440490722656,3413.4590985774994,65.69445586204529,400,15.9107,0.0,1.0615804195404053,1479.75
21600.0,-8.73107142141e-12,72.497722864151,2796.0,1.917600154876709,-4.74974504172e-09,0.0,0.0734676762781,-0.0031311486382,0.00944744609296,11.237505197525024,3081.3438221,40.76670598983765,0.963952,15.8681,0.115297219624,0.963229,400,0.00313114862947,4118.25618436,2.76431,200.30074453353882,17900.0,2.76273,0.36119556427001953,3614.429697036743,65.20828366279602,400,15.8431,0.0,1.2075071334838867,1870.5
16200.0,1.36205935419e-09,73.98740553855896,2833.75,2.0159754753112793,4.19095602666e-09,0.0,0.0312669112799,-0.00354450312443,0.00858857762069,9.937415838241577,2207.04049578,34.079238176345825,0.952721,15.5005,0.171872014037,0.952005,400,0.00354450448649,3706.12815989,2.74088,194.8814435005188,13500.0,2.73932,0.3192877769470215,3809.323181629181,66.53741192817688,400,15.4765,0.0,1.0321903228759766,1491.5
29100.0,-1.12340781122e-09,73.02420425415039,4401.0,1.9504106044769287,-1.164152863e-08,0.0,0.0276069727162,-0.00383203686215,0.00953392498195,10.42056655883789,3306.79739325,35.53330898284912,0.964023,15.8684,0.143903546866,0.961698,400,0.00383203573874,5460.88353657,2.76433,194.65499186515808,19400.0,2.75945,0.3374960422515869,4004.6394634246826,65.4880313873291,400,15.7911,0.0,1.0417230129241943,1921.0
24500.0,3.37604416645e-10,73.50619459152222,3430.25,1.8751797676086426,-1.11758757804e-09,0.0,0.0438232267517,-0.00375981605612,0.0096586951986,10.77331018447876,2977.63319391,37.836926221847534,0.965927,15.9283,0.0902230929103,0.965423,400,0.00375981639372,4954.77647705,2.7681,198.20769691467285,17900.0,2.76707,0.32589197158813477,4202.855371713638,65.8113009929657,400,15.912,0.0,1.1243479251861572,1813.25
27700.0,1.15251164168e-09,73.13970446586609,3723.0,1.964606523513794,2.32830621449e-09,0.0,0.0641032748013,-0.0036289691925,0.00971977319568,10.813187599182129,3822.28910471,38.567713260650635,0.96151,15.789,0.218675812523,0.96108,400,0.00362897034502,5678.51397815,2.75932,198.61711621284485,20600.0,2.7584,0.33963847160339355,4402.149341583252,65.69960069656372,400,15.7746,0.0,1.1059300899505615,2284.0
