0Perplexity,1AveragePolicyStd,Time,1Entropy,1MaxReturn,0Entropy,0NumTrajs,1StdReturn,MeanKLBefore,1ProcessExecTime,MeanKL,1PolicyExecTime,0AveragePolicyStd,1NumTrajs,0ProcessExecTime,dLoss,ComputeUpdatedDistTime,LossAfter,1MinReturn,1AverageReturn,0EnvExecTime,0MaxReturn,1Perplexity,0MinReturn,ItrTime,0AverageReturn,0StdReturn,0ExplainedVariance,1ExplainedVariance,0PolicyExecTime,LossBefore,1EnvExecTime
17.0795,0.999466,135.94851398468018,2.8368,1700.0,2.83788,400,94.2307672684,1.10594589042e-10,1.4502313137054443,0.00657315459102,39.196821212768555,1.0,400,1.1195752620697021,0.000941810046788,4.876540899276733,-0.000941810372751,0.0,6.75,28.702067136764526,1100.0,17.0611,0.0,135.94852018356323,4.25,62.505499758,0.108807290906,0.0516773001021,7.683080673217773,-3.25962895564e-10,44.258880615234375
17.1174,1.00078,263.86218214035034,2.83941,600.0,2.84009,400,38.9543001477,-1.73472347598e-18,1.4542765617370605,0.00803995598108,38.99754881858826,1.00113,400,1.0078678131103516,0.00169451915426,0.3081839084625244,-0.00169451953843,0.0,2.75,28.731582164764404,2400.0,17.1056,0.0,127.08842825889587,7.25,122.361911966,0.107970849391,0.100024882062,7.359632253646851,-3.84170556478e-10,44.1474986076355
17.2613,1.00531,395.64926266670227,2.84847,300.0,2.84847,400,18.648056199,0.0,1.4330406188964844,0.00697430642322,39.611324310302734,1.00531,400,1.0143685340881348,0.000818904009066,0.3287770748138428,-0.000818904256448,0.0,1.5,30.774672985076904,0.0,17.2613,0.0,131.77945733070374,0.0,0.0,1,0.11766303529,7.666208505630493,-2.47382558882e-10,45.690190076828
17.2657,1.00505,528.9257867336273,2.84789,1900.0,2.84872,400,146.577411288,-6.40284048004e-10,1.4374563694000244,0.00868839491159,40.581265687942505,1.00544,400,0.9573280811309814,0.0024475022452,0.30136561393737793,-0.00244750245474,0.0,19.75,29.45181965827942,4800.0,17.2514,0.0,132.5898745059967,32.75,314.249005567,0.0863282684108,0.11572556886,7.50091814994812,-2.09547573737e-10,47.47274708747864
17.5627,1.01348,658.4011244773865,2.86459,3600.0,2.86578,400,412.82078436,-5.23869081448e-09,1.4208984375,0.00680513447151,40.28044891357422,1.01406,400,0.922757625579834,0.00215982724039,0.3209097385406494,-0.00215982692316,0.0,123.0,28.486936569213867,5700.0,17.5419,0.0,129.46960377693176,105.25,462.436414548,0.137674179598,0.163863615189,7.291650772094727,3.17231740876e-10,45.77079510688782
17.6054,1.0159,788.3218741416931,2.86936,4700.0,2.8682,400,686.892959274,-6.51926623796e-10,1.3854780197143555,0.00723560433835,40.23730802536011,1.01528,400,0.9489090442657471,0.00275422598352,0.2976722717285156,-0.00275422632694,0.0,314.25,28.066060304641724,3600.0,17.6257,0.0,129.23955845832825,193.5,535.217479162,0.207721501529,0.186385312962,7.315449476242065,-3.43425232696e-10,46.06749773025513
17.6078,1.01601,915.9996480941772,2.86958,5900.0,2.86834,400,753.023862504,-6.10016792635e-09,1.4385747909545898,0.00824870634824,39.63675570487976,1.01535,400,0.9302759170532227,0.00334168899572,0.722137451171875,-0.00334168900736,0.0,339.75,27.680650234222412,5400.0,17.6296,0.0,127.66800832748413,266.75,727.646505867,0.119343644203,0.128769048905,7.183750867843628,-1.1641548836e-11,45.14762496948242
17.5764,1.01472,1034.9742500782013,2.86702,8400.0,2.86656,400,1006.31676797,-5.00585439767e-09,1.223879098892212,0.00701313233003,36.821266174316406,1.01445,400,0.949312686920166,0.00250892388576,0.3257260322570801,-0.00250892527401,0.0,561.25,26.63437271118164,8600.0,17.5845,0.0,118.21731233596802,427.25,930.823526508,0.0982919411404,0.127563400826,6.954217910766602,-1.38825273499e-09,40.54401206970215
17.6646,1.01656,1149.9302451610565,2.87063,9300.0,2.87156,400,1527.77761389,3.65544239322e-09,1.078942060470581,0.00910084042698,32.99169063568115,1.01699,400,1.1162397861480713,0.00342574170209,0.3157992362976074,-0.00342574156821,0.0,1056.75,32.62053418159485,8100.0,17.648,0.0,114.94816780090332,719.5,1217.93667734,0.0995430173955,0.107154273846,7.8916308879852295,1.33877575692e-10,34.144043922424316
17.4133,1.01066,1261.0774567127228,2.859,8900.0,2.85724,400,1562.6458132,-7.45058514884e-10,1.0474109649658203,0.00814652070403,30.798757791519165,1.00973,400,1.133288860321045,0.00349336244981,0.32273244857788086,-0.00349336164072,0.0,1361.75,32.66647958755493,7300.0,17.4441,0.0,110.39593839645386,816.25,1207.33629843,0.0906656032994,0.0930508687326,7.9181883335113525,8.09086464493e-10,31.845450162887573
17.418,1.01087,1378.1261854171753,2.85944,11200.0,2.8575,400,2042.48720926,-5.54136914133e-09,1.049767017364502,0.00840931013227,33.08001470565796,1.00986,400,1.140737533569336,0.00274120273389,0.31577563285827637,-0.00274120178074,0.0,1586.0,33.758527755737305,10100.0,17.4518,0.0,117.04002070426941,1249.5,1725.0071739,0.101768170821,0.0959514343406,8.038267374038696,9.53150447458e-10,34.7850878238678
17.5676,1.01372,1498.120798587799,2.86487,8600.0,2.86605,400,1620.54743837,4.24333634896e-09,1.098332405090332,0.00678399577737,33.85641860961914,1.01426,400,1.1140623092651367,0.00235948113841,0.3259615898132324,-0.0023594815284,0.0,1426.0,34.795961141586304,6500.0,17.5468,0.0,119.29779553413391,895.25,1295.87902117,0.0565598520796,0.0738164271252,8.098265171051025,-3.8999142804e-10,35.271400451660156
17.1832,1.00135,1615.122549533844,2.84039,12500.0,2.84393,400,1862.6652779,4.78467043763e-09,1.1683225631713867,0.00856308173388,32.81979775428772,1.00308,400,1.0806803703308105,0.00351521716366,0.31453514099121094,-0.0035152155906,0.0,1585.75,33.41427683830261,6000.0,17.1224,0.0,116.9925606250763,798.75,1217.26062842,0.0578545838611,0.0640742951999,7.785403490066528,1.573062125e-09,35.6705367565155
17.5218,1.01141,1734.1482648849487,2.86028,12100.0,2.86345,400,2269.89370621,7.33416494203e-10,1.0863151550292969,0.00976847205311,34.26804566383362,1.013,400,1.0850658416748047,0.00454659368843,0.33257079124450684,-0.00454659294337,0.0,2502.75,34.247255086898804,7900.0,17.4664,0.0,118.19703459739685,1219.25,1610.12559681,0.15424489445,0.159502177237,7.8725996017456055,7.45058070795e-10,34.416687965393066
17.3252,1.00823,1855.3321621418,2.85416,10200.0,2.85216,400,1632.15187712,-5.12232034566e-10,1.089381217956543,0.0078552654013,34.59366774559021,1.00721,400,1.2299909591674805,0.00384541010135,0.32901787757873535,-0.00384541111998,0.0,1255.5,35.12701630592346,8700.0,17.3598,0.0,121.17816925048828,768.75,1409.18360674,0.0576408993728,0.0729814674388,8.145731925964355,-1.01863406599e-09,35.870237827301025
17.1978,1.00555,1976.8051414489746,2.84857,15800.0,2.84478,400,2449.70190789,2.32830732472e-09,1.0796229839324951,0.00711813569069,34.77924871444702,1.00361,400,1.0653507709503174,0.00309614983271,0.4412837028503418,-0.00309614953585,0.0,2209.25,34.992403745651245,13100.0,17.2631,0.0,120.77634000778198,1424.5,2122.06261689,0.112422508984,0.107794795879,8.027999877929688,2.96859148374e-10,35.512489795684814
16.8969,0.995022,2091.8687987327576,2.82715,16200.0,2.82713,400,3234.67261674,-4.65661259552e-10,1.057417392730713,0.00978800281882,32.500978231430054,0.994965,400,1.0925042629241943,0.00386616604519,0.33561134338378906,-0.00386616494507,0.0,2795.75,34.02286982536316,9000.0,16.8973,0.0,115.05818581581116,1654.75,1978.66809685,0.155075155644,0.155341753137,7.878343105316162,1.10012476906e-09,33.32354116439819
16.962,0.997003,2210.161201953888,2.83149,17400.0,2.83097,400,3006.74864887,3.88827636755e-09,1.111600399017334,0.00854170508683,33.412272214889526,0.996771,400,1.0757875442504883,0.00291064677294,0.31125426292419434,-0.00291064940393,0.0,2025.25,32.93042993545532,15800.0,16.9708,0.0,117.6133394241333,1662.25,2870.63580719,0.0899728299847,0.113477365106,8.650891542434692,-2.6309863177e-09,35.32766127586365
16.9082,0.993662,2326.0796127319336,2.82481,21300.0,2.8278,400,4485.09506588,-2.56112603347e-10,1.1323857307434082,0.00763408187777,32.90491962432861,0.995125,400,1.0452122688293457,0.00343658858328,0.2906508445739746,-0.00343658798374,0.0,4041.5,32.216758012771606,17600.0,16.8577,0.0,115.90816473960876,2423.25,3261.72261811,0.0882724380079,0.111789922847,8.533745050430298,5.99538918511e-10,34.97108197212219
16.8204,0.993185,2438.541330099106,2.82402,22400.0,2.82259,400,3862.60634158,-2.38650810225e-09,1.0223701000213623,0.00803697388619,31.16110134124756,0.992447,400,1.114135503768921,0.00234829333494,0.3045680522918701,-0.0023482942488,0.0,3183.5,32.36982202529907,14200.0,16.8444,0.0,111.75886988639832,2002.25,2534.01261589,0.0561257585218,0.0987901204697,8.685303211212158,-9.1386032075e-10,32.41403532028198
17.029,0.999563,2548.10955286026,2.8369,17400.0,2.83492,400,3602.34336925,5.68106806043e-09,0.9482111930847168,0.00734200049192,30.11638116836548,0.998541,400,1.0508558750152588,0.00280851528514,0.38389134407043457,-0.00280851405114,0.0,4183.5,32.08012247085571,10400.0,17.0628,0.0,109.56095385551453,1459.25,1932.722028,0.0662890629131,0.124438604595,8.717294454574585,1.23400245577e-09,31.48735761642456
17.0406,1.00074,2662.0617501735687,2.83927,18800.0,2.8356,400,3301.5762902,-2.32830282831e-10,1.0152671337127686,0.00886797066778,31.283976793289185,0.998882,400,1.0230014324188232,0.00278331445879,0.33353710174560547,-0.00278331479058,0.0,2512.0,32.824830055236816,11200.0,17.1033,0.0,113.10560846328735,1049.5,1886.27934039,0.0588396930514,0.0661889023184,8.957132816314697,-3.31783656105e-10,32.46607565879822
17.1248,1.00177,2775.483768939972,2.84131,13900.0,2.84053,400,2997.95320802,-5.01750241355e-09,1.0656688213348389,0.00880481489003,32.41297173500061,1.00134,400,1.0990197658538818,0.00378721812158,0.3169746398925781,-0.00378721742891,0.0,3538.75,31.930731296539307,11700.0,17.1383,0.0,113.41561126708984,1559.75,2004.32156539,0.0779594409713,0.15284403542,7.8313658237457275,6.92671253688e-10,33.90318202972412
17.2357,1.00299,2891.942574262619,2.84373,21200.0,2.84699,400,4421.27741722,-1.10128848263e-08,1.0670750141143799,0.00835100188851,32.41503930091858,1.00457,400,1.1221351623535156,0.00302195708791,0.31853318214416504,-0.00302195665427,0.0,4566.0,34.050780296325684,10000.0,17.1797,0.0,115.69341611862183,2436.25,2548.3545549,0.131836586484,0.166195083823,8.161413431167603,4.33647034948e-10,33.779284954071045
17.085,0.998753,3008.4633564949036,2.83526,14300.0,2.8382,400,3119.16940066,3.46917761185e-09,1.0829098224639893,0.00709525449201,32.314204931259155,1.00019,400,1.082085132598877,0.0034391618552,0.3258531093597412,-0.00343916239217,0.0,2088.5,33.53295421600342,15600.0,17.0349,0.0,116.51121830940247,1675.75,2729.17330661,0.0681053106602,0.072592344711,8.01969838142395,-5.3696563862e-10,35.24845838546753
