Time,LossAfter,MaxReturn,TotalExecTime,AveragePolicyStd,ItrTime,MinReturn,Perplexity,LossBefore,NumTrajs,MaxKL,StdReturn,ExplainedVariance,MeanKL,Entropy,AverageReturn
1000.8453271389008,0.00158393,2900.0,31.427558183670044,0.895557,31.609242916107178,2200.0,13.6901,0.00803181,200,1.30318,133.007518584,0.993817486903,0.0456465,2.61667,2653.0
1032.3437898159027,-0.0378429,2900.0,31.34744906425476,0.897265,31.469544410705566,2100.0,13.7452,-0.0316975,200,0.581442,142.442093498,0.992773194247,0.0190084,2.62069,2635.5
1065.4812746047974,-0.0485506,2900.0,32.86787033081055,0.890174,33.131638288497925,2000.0,13.5291,-0.0413572,200,0.140352,148.3163848,0.991929124786,0.014032,2.60484,2623.5
1098.7525124549866,-0.00321789,2900.0,32.99016332626343,0.881009,33.2578067779541,2200.0,13.2522,0.00300207,200,0.338771,142.095038619,0.99284870925,0.0288716,2.58416,2653.0
1132.4647233486176,-0.0315482,3000.0,33.309481382369995,0.881663,33.694846630096436,2000.0,13.2721,-0.025894,200,0.0603847,141.314365866,0.992431540558,0.0129385,2.58566,2644.5
1166.0437245368958,-0.0156649,3000.0,33.27465534210205,0.876029,33.57208752632141,2200.0,13.1013,-0.0121428,200,0.502624,144.843881472,0.992515163104,0.0089987,2.57272,2654.5
1199.139694929123,-0.0295141,3000.0,32.75322508811951,0.873402,33.074368715286255,2200.0,13.022,-0.0184552,200,3.37225,137.767013468,0.992717549951,0.0651441,2.56664,2645.5
1230.5487027168274,-0.024986,2900.0,31.083117485046387,0.869471,31.39150381088257,2300.0,12.9024,-0.0133381,200,1.91239,120.040618126,0.994312470314,0.0699174,2.55742,2659.5
1265.1239099502563,-0.0114702,2900.0,34.345494508743286,0.866488,34.56668663024902,2300.0,12.8167,-0.00739435,200,0.437983,119.656800893,0.994144391821,0.00976512,2.55075,2663.5
1299.153668165207,0.00732915,2900.0,33.66321325302124,0.864897,34.003467321395874,2300.0,12.7694,0.00972763,200,0.044844,114.803092293,0.994936307365,0.0045535,2.54705,2670.5
1332.0773844718933,-0.0173844,3000.0,32.585827350616455,0.866957,32.91092300415039,2100.0,12.8316,-0.013662,200,0.269721,136.958935451,0.993654514181,0.0109012,2.55191,2668.5
1368.389654159546,-0.0357545,2900.0,36.048967123031616,0.863997,36.29848599433899,2200.0,12.7443,-0.0294093,200,0.324031,128.038080273,0.994000442774,0.0247726,2.54508,2667.5
1402.5447359085083,-0.023443,3000.0,33.82103872299194,0.857644,34.14337515830994,2300.0,12.5583,-0.0207019,200,0.451999,128.856509343,0.993928937882,0.0109119,2.53038,2664.0
1436.592265844345,-0.0202853,2900.0,33.692543029785156,0.853237,34.023207664489746,2200.0,12.4289,-0.0166031,200,0.13112,122.310056823,0.994413026707,0.0114265,2.52003,2665.5
1471.767216205597,-0.00508246,3100.0,34.901798486709595,0.849679,35.157002687454224,2300.0,12.3262,-0.00304575,200,0.107821,127.983397361,0.99367562669,0.00732511,2.51173,2670.5
1504.5065648555756,-0.0226065,3000.0,32.48216247558594,0.849082,32.71629047393799,2200.0,12.3074,-0.0194931,200,0.0259881,135.069426592,0.993277055958,0.00376418,2.5102,2657.5
1538.2745904922485,-0.0135699,3000.0,33.5006890296936,0.845,33.744465351104736,2300.0,12.1881,-0.00843647,200,0.415641,123.353151561,0.99469896701,0.0190113,2.50046,2678.0
1569.9253413677216,-0.00656865,2900.0,31.381770849227905,0.843198,31.637108087539673,2400.0,12.1368,-0.0016999,200,1.27838,112.356575242,0.995173853326,0.0353884,2.49624,2676.0
1602.9365150928497,-0.00240599,2900.0,32.722063064575195,0.842742,32.996593713760376,2400.0,12.1264,0.00122796,200,3.11027,122.628504027,0.994156237247,0.0305575,2.49539,2671.5
1636.4871890544891,-0.00778724,3000.0,33.27558946609497,0.843008,33.537126302719116,2200.0,12.1339,-0.0045545,200,0.593838,116.378692208,0.995124642401,0.0167703,2.496,2684.0
1669.8715798854828,0.000534416,2900.0,33.13083004951477,0.842056,33.371925830841064,2200.0,12.1063,0.00695397,200,0.716785,123.894108012,0.99403073434,0.0372044,2.49372,2675.5
