AverageReturn,ItrTime,LossAfter,MaxKL,Time,Perplexity,ExplainedVariance,MinReturn,NumTrajs,Entropy,AveragePolicyStd,MeanKL,LossBefore,StdReturn,MaxReturn
2665.5,16.41773819923401,-0.0173908,0.189777,541.888637304306,12.0431,0.994098712105,2300.0,200,2.48849,0.840131,0.0351546,-0.00976719,121.90057424,2900.0
2667.5,16.656762838363647,-0.0118115,0.0487138,558.7359461784363,11.9844,0.9938608317,2200.0,200,2.48361,0.838054,0.0137151,-0.00741718,133.767522217,3000.0
2656.5,16.599772930145264,-0.00478916,0.0365317,575.5386879444122,11.94,0.99392825218,2300.0,200,2.4799,0.836551,0.00685354,-0.00321724,126.719177712,3000.0
2676.5,16.66801643371582,-0.0312856,0.0859024,592.3895280361176,11.9208,0.993826676786,2200.0,200,2.47829,0.835939,0.017967,-0.0256804,128.443567375,3000.0
2678.5,16.468270540237427,0.00424464,0.157412,609.1667332649231,11.7688,0.993879407597,2300.0,200,2.46545,0.830526,0.0258844,0.00794831,133.745093368,3000.0
2687.5,16.37836217880249,-0.0100787,0.130487,625.7317790985107,11.8156,0.994520331275,2200.0,200,2.46942,0.832209,0.0127362,-0.00685934,126.466398699,3000.0
2670.5,16.547162771224976,-0.0230678,0.429695,642.4841849803925,11.7752,0.993932361459,2000.0,200,2.46599,0.830876,0.0816676,-0.0118333,130.68951756,3000.0
2672.5,16.56566619873047,0.0149338,0.0480543,659.2411148548126,11.7057,0.994971386957,2400.0,200,2.46008,0.828247,0.00717799,0.0171508,117.020297385,3100.0
2676.5,16.504122257232666,-0.00939856,0.0478443,675.9790852069855,11.8065,0.993796999487,2300.0,200,2.46865,0.831813,0.00837377,-0.00653914,128.053699673,3000.0
2671.5,16.7914137840271,-0.0156917,0.153283,692.9612243175507,11.768,0.994548346702,2300.0,200,2.46538,0.830434,0.0301914,-0.0115701,116.351837115,2900.0
2673.5,16.402579069137573,-0.0111127,0.0406379,709.5968127250671,11.7001,0.994265840373,2300.0,200,2.4596,0.828014,0.00511108,-0.00872722,124.28897779,3000.0
2678.5,16.4691641330719,-0.00879534,0.0475462,726.26207280159,11.6492,0.993952391889,2200.0,200,2.45523,0.826201,0.00872772,-0.00752471,131.10205948,3100.0
2677.0,16.346012353897095,-0.011704,0.0166872,742.7853655815125,11.6054,0.994464051207,2400.0,200,2.45147,0.824645,0.00291061,-0.0103024,116.064637164,3000.0
2673.5,16.368773460388184,-0.011895,0.0434039,759.3447709083557,11.5458,0.995387494942,2300.0,200,2.44632,0.822539,0.00571224,-0.0106537,110.216831745,2900.0
2661.5,16.368030071258545,-0.00743362,0.032906,775.9137492179871,11.4844,0.993946907098,2400.0,200,2.44099,0.820362,0.00631268,-0.00570499,125.967257651,3000.0
2666.0,16.20460796356201,-0.00600564,0.090027,792.3393878936768,11.4517,0.994802483589,2300.0,200,2.43814,0.819125,0.0214281,-0.00225678,116.378692208,2900.0
2678.5,16.333844900131226,-0.00745706,0.240573,808.9953813552856,11.4388,0.994059528543,2300.0,200,2.43701,0.818624,0.0288518,-2.10442e-05,124.449789072,3000.0
2672.0,16.356815814971924,-0.0237493,0.0403502,825.547358751297,11.4387,0.99477441122,2200.0,200,2.437,0.818764,0.00639362,-0.021538,119.230868486,2900.0
2680.0,16.29785704612732,-0.0147183,0.0419847,842.0555140972137,11.3162,0.993826196324,2200.0,200,2.42623,0.814396,0.0110679,-0.0114413,128.452325787,3000.0
