1NumTrajs,dLoss,ComputeUpdatedDistTime,0Perplexity,0AverageReturn,ItrTime,0EnvExecTime,0MaxReturn,1AveragePolicyStd,0Entropy,1AverageReturn,0ProcessExecTime,1StdReturn,Time,0NumTrajs,0StdReturn,1EnvExecTime,0ExplainedVariance,MeanKLBefore,1MaxReturn,LossBefore,MeanKL,1ExplainedVariance,0MinReturn,1ProcessExecTime,0AveragePolicyStd,1Perplexity,LossAfter,0PolicyExecTime,1MinReturn,1PolicyExecTime,1Entropy
1200,0.00533110799734,0.7480602264404297,17.0795,15.0833333333,72.2271637916565,14.056374073028564,1600.0,0.999726,2.83788,40.1666666667,0.6331300735473633,221.66785714,72.22716045379639,1200,120.058984346,13.395390748977661,0.0602553251909,1.84809378911e-09,2300.0,-3.49245965481e-10,0.00819087214768,0.189847814589,0.0,0.5737109184265137,1.0,17.0699,-0.00533110834658,15.567303657531738,0.0,22.44565773010254,2.83732
1200,0.00527521735057,0.07831478118896484,17.17,14.25,72.09543919563293,13.946543216705322,1700.0,1.00397,2.84316,59.0,0.6206808090209961,258.944653031,146.32858872413635,1200,116.641634219,13.686509132385254,0.0538739914653,-2.78523764052e-08,2200.0,-1.39698386192e-09,0.00652767159045,0.169822328642,0.0,0.5958812236785889,1.00265,17.215,-0.00527521874756,15.484626293182373,0.0,23.372201442718506,2.84578
1200,0.00654810189735,0.09095335006713867,16.9275,15.0,71.2723617553711,14.197593212127686,1600.0,0.994633,2.82894,119.583333333,0.6333990097045898,375.599289654,219.71372652053833,1200,111.242977306,13.41404414176941,0.0552014699636,-4.94765428627e-09,2400.0,8.14907252789e-10,0.00731736049056,0.231001562166,0.0,0.5893864631652832,0.99556,16.896,-0.00654810108244,15.781434297561646,0.0,22.691487789154053,2.82708
1200,0.00684418191668,0.0723426342010498,16.5058,23.75,70.283935546875,13.84912395477295,1400.0,0.981872,2.80371,95.4166666667,0.623680830001831,318.518434405,292.14505410194397,1200,137.638188136,13.413469076156616,0.0608680359816,5.82077219757e-10,2200.0,-1.16415321827e-10,0.00712867686525,0.191144561015,0.0,0.5830528736114502,0.983099,16.4636,-0.00684418203309,15.489656209945679,0.0,22.635904788970947,2.80115
1200,0.00842219940387,0.10304045677185059,16.442,23.1666666667,70.24602389335632,13.928959131240845,1400.0,0.978248,2.79984,213.583333333,0.626943826675415,545.06008206,364.4289243221283,1200,142.758440109,13.542852401733398,0.0674653491991,-2.32830732472e-09,2800.0,-2.32830643654e-10,0.00791011191905,0.3212926352,0.0,0.5920810699462891,0.981291,16.3391,-0.0084221996367,14.7751944065094,0.0,23.37456703186035,2.79356
1200,0.00797644932754,0.07643318176269531,16.446,25.25,70.22854566574097,13.893964529037476,1500.0,0.97955,2.80008,244.166666667,0.6268436908721924,572.479378571,436.7328975200653,1200,146.016337556,13.434123277664185,0.049483442584,-5.23868837199e-10,2500.0,-6.98491930962e-10,0.00736681232229,0.380503398999,0.0,0.582155704498291,0.9814,16.3835,-0.00797645002604,14.397602319717407,0.0,23.847973108291626,2.79627
1200,0.00685077480739,0.08015084266662598,16.1423,22.5,71.44298768043518,13.998585939407349,1400.0,0.970142,2.78144,355.916666667,0.6337964534759521,720.70451161,510.1332995891571,1200,126.070416831,13.658023834228516,0.045763434091,5.82077774869e-10,2800.0,-2.38651409745e-09,0.00846659671515,0.432705093459,0.0,0.6028554439544678,0.972286,16.0702,-0.0068507771939,14.625531196594238,0.0,24.85550594329834,2.77696
1200,0.00607574859168,0.07813215255737305,15.894,42.25,72.01578330993652,13.986362934112549,1900.0,0.966352,2.76594,382.083333333,0.6407225131988525,752.443127234,584.30442237854,1200,186.386527142,13.903078079223633,0.065942533812,-4.88944351673e-09,2700.0,-1.97906047106e-09,0.00748978648335,0.390351655064,0.0,0.6077609062194824,0.96477,15.9462,-0.00607575057074,14.528426885604858,0.0,25.266990184783936,2.76922
1200,0.00589740584837,0.08507299423217773,15.4825,48.3333333333,72.02707076072693,14.251060247421265,1700.0,0.950945,2.73971,428.666666667,0.646766185760498,809.348434785,657.9384477138519,1200,208.559876827,13.748243570327759,0.0689877478094,2.79396616953e-09,2800.0,2.61934474111e-09,0.0079440549016,0.428165082463,0.0,0.6046640872955322,0.952159,15.4421,-0.00589740322903,14.54416799545288,0.0,25.16626524925232,2.7371
1200,0.00655384518905,0.09502387046813965,15.1879,62.6666666667,71.36560583114624,14.186877965927124,1800.0,0.94233,2.7205,542.583333333,0.6603074073791504,878.177085249,731.1643030643463,1200,252.3348745,13.642713785171509,0.0881876111746,2.88709927077e-08,2900.0,-1.22236087918e-09,0.00783506128937,0.439844419572,0.0,0.596796989440918,0.94311,15.1612,-0.00655384641141,14.70443868637085,0.0,24.48088526725769,2.71874
1200,0.00481291531469,0.08039283752441406,14.6788,49.0,71.20525121688843,14.023769855499268,1800.0,0.926056,2.6864,385.583333333,0.6453382968902588,770.021964874,804.4566695690155,1200,220.300552277,13.72085976600647,0.0726314182123,-1.86264437207e-09,2800.0,-2.91038304567e-11,0.00711781997234,0.399403527444,0.0,0.6044228076934814,0.927108,14.6457,-0.00481291534379,14.597738981246948,0.0,24.487666368484497,2.68415
1200,0.00386974873254,0.08461642265319824,14.4646,56.25,71.46930408477783,14.169197797775269,1700.0,0.915372,2.6717,495.25,0.6500239372253418,886.360970956,878.2684977054596,1200,227.912857982,13.585867881774902,0.0607647489372,-3.53902471772e-08,2900.0,3.55066731572e-09,0.00648749014363,0.439664075701,0.0,0.5933778285980225,0.920304,14.3093,-0.00386974518187,14.64823031425476,0.0,24.69110608100891,2.66091
