0Perplexity,0Entropy,LossAfter,MeanKLBefore,0NumTrajs,1NumTrajs,0MinReturn,1StdReturn,1Perplexity,0ExplainedVariance,0AveragePolicyStd,0ProcessExecTime,1PolicyExecTime,ItrTime,0EnvExecTime,1MaxReturn,dLoss,1Entropy,1ProcessExecTime,1MinReturn,1AverageReturn,ComputeUpdatedDistTime,LossBefore,0PolicyExecTime,0StdReturn,0MaxReturn,1ExplainedVariance,1AveragePolicyStd,MeanKL,0AverageReturn,1EnvExecTime,Time
17.0795,2.83788,-0.008032316342,-2.51657095163e-09,1600,1600,0.0,563.547025544,17.026,0.0850743715769,1.0,0.8516545295715332,30.6263325214386,109.51417660713196,25.1058509349823,2700.0,0.0080323148286,2.83474,0.8237273693084717,0.0,223.5,0.7952969074249268,-1.51339918375e-09,21.764820337295532,421.013244855,2600.0,0.14382810993,0.998439,0.00759406480938,131.6875,24.34496831893921,109.51417469978333
17.0818,2.83801,-0.00551239121705,2.73576450383e-09,1600,1600,0.0,632.152050415,17.1113,0.101497990734,1.00007,0.8594484329223633,32.008108377456665,110.82470989227295,24.633938550949097,2900.0,0.00551239342894,2.83974,0.8138823509216309,0.0,259.8125,0.08797669410705566,2.21189111471e-09,24.00174331665039,447.572336158,2700.0,0.162300337017,1.00098,0.00838357582688,145.9375,24.325073719024658,223.03188252449036
17.1648,2.84286,-0.0059222728014,-6.54834686475e-10,1600,1600,0.0,597.557629935,17.0633,0.071895573474,1.0025,0.8882665634155273,34.9780592918396,115.79937100410461,24.985244274139404,2800.0,0.00592227408197,2.83693,0.8852252960205078,0.0,242.9375,0.09200072288513184,1.2805685401e-09,24.466829299926758,403.044643154,2800.0,0.152645668309,0.999539,0.00824564043432,120.125,25.041847229003906,341.62227487564087
16.8116,2.82207,-0.00517364498228,-5.82075809774e-09,1600,1600,0.0,571.377444072,16.7818,0.0959974749681,0.992128,0.9170968532562256,33.426605224609375,115.95914268493652,25.241896867752075,2700.0,0.00517364408734,2.8203,0.8520982265472412,0.0,222.5625,0.08972573280334473,-8.94942786545e-10,25.49824857711792,444.449760765,2900.0,0.146685994801,0.991292,0.00629601348191,144.8125,24.634340286254883,460.3085608482361
16.3223,2.79253,-0.00568330055103,3.95811561305e-09,1600,1600,0.0,627.039917863,16.2105,0.123964754944,0.977604,0.889399528503418,34.103851556777954,112.60527682304382,24.994654417037964,2900.0,0.00568329842645,2.78566,0.8384795188903809,0.0,267.5625,0.09015369415283203,-2.12457962334e-09,23.11291813850403,472.816358213,2700.0,0.143174282226,0.974255,0.00824380014092,157.5625,24.370851755142212,575.605402469635
15.8643,2.76407,-0.00152972678188,-3.72529118664e-09,1600,1600,0.0,661.872049096,15.846,0.0911487765336,0.963797,0.8943033218383789,37.62757658958435,117.46527194976807,24.89594292640686,2700.0,0.0015297268983,2.76292,0.9057772159576416,0.0,300.625,0.09206151962280273,1.16415321827e-10,22.751830101013184,482.795877546,2800.0,0.161441747251,0.963265,0.00862239301205,173.625,25.900166511535645,695.945907831192
15.6005,2.74731,-0.00533803226426,-3.02679765696e-08,1600,1600,0.0,692.588261523,15.5137,0.0923314292391,0.955742,0.9442148208618164,39.04408884048462,122.8126814365387,26.0509192943573,2700.0,0.00533803469443,2.74172,0.8955972194671631,0.0,322.0,0.1010885238647461,2.43016984314e-09,25.74896001815796,471.723419362,2600.0,0.175587706523,0.953108,0.0066151781939,165.875,25.695837020874023,821.6407651901245
15.4202,2.73568,-0.00492527429014,-3.72528585757e-09,1600,1600,0.0,690.064532195,15.3641,0.0813942983573,0.950197,0.9367246627807617,38.93564009666443,123.3966760635376,25.92077088356018,2900.0,0.00492527439201,2.73204,0.9108970165252686,0.0,312.4375,0.09120988845825195,1.01863406599e-10,26.057480335235596,466.151732272,2700.0,0.176516487558,0.948484,0.00769441435114,157.25,26.066890239715576,948.113095998764
14.967,2.70585,-0.00418584840372,5.55111512313e-17,1600,1600,0.0,699.37520945,14.8462,0.0927804778565,0.936155,0.9368174076080322,37.68494129180908,122.89669680595398,26.10832142829895,2700.0,0.00418584980071,2.69775,0.8839890956878662,0.0,333.4375,0.11002874374389648,1.39698386192e-09,27.266080379486084,544.268301828,2600.0,0.161779149601,0.932358,0.00722189759836,212.125,25.588142156600952,1073.9773483276367
14.4668,2.67185,-0.00446587242186,-3.72528741188e-09,1600,1600,0.0,713.739054207,14.4121,0.111623367748,0.920341,0.9318075180053711,40.75989270210266,127.26945161819458,25.903545379638672,2800.0,0.00446587102488,2.66807,0.9564535617828369,0.0,331.25,0.09206867218017578,-1.39698386192e-09,27.113364696502686,543.823094943,2800.0,0.145680147219,0.918623,0.00686012441292,203.5625,26.976990938186646,1203.950223684311
14.4019,2.66736,-0.00250041321851,1.30385044983e-08,1600,1600,0.0,733.484766266,14.3287,0.116104985266,0.91828,0.9779529571533203,37.413962602615356,125.45061182975769,26.404315948486328,2800.0,0.00250041919935,2.66226,0.9000532627105713,0.0,349.6875,0.09383940696716309,5.98083715886e-09,29.41319704055786,555.920460672,2700.0,0.168671625586,0.915954,0.00520266732201,208.4375,25.814111948013306,1332.477923154831
14.3685,2.66504,-0.005046880804,3.725291009e-08,1600,1600,0.0,683.496408069,14.2417,0.0781852978375,0.91722,0.9421210289001465,36.660247564315796,123.46229290962219,26.064985036849976,2700.0,0.00504688161891,2.65617,0.8961336612701416,0.0,298.8125,0.11069798469543457,8.14907252789e-10,28.56858491897583,529.319787558,2700.0,0.133049382633,0.913178,0.00970150902867,193.25,25.869014501571655,1458.6734912395477
13.8584,2.62889,-0.00710241403431,-5.58793189498e-09,1600,1600,0.0,723.637340109,13.8233,0.0877444956521,0.90082,0.946016788482666,39.477046489715576,126.23604822158813,26.02888560295105,2800.0,0.00710241252091,2.62635,0.912691593170166,0.0,332.0,0.11158061027526855,-1.51339918375e-09,28.082247495651245,542.698951854,2600.0,0.138473301927,0.899688,0.00957785453647,207.6875,26.29325842857361,1587.8261635303497
13.7606,2.62181,-0.00461246911436,-1.90819582357e-16,1600,1600,0.0,786.3140276,13.6877,0.0758224220035,0.89771,0.9400203227996826,38.072924852371216,123.33416676521301,26.05080270767212,3000.0,0.00461247097701,2.61649,0.9123411178588867,0.0,410.5,0.10923027992248535,1.86264514923e-09,26.865396976470947,528.736642857,2700.0,0.18293920378,0.89534,0.00752779841423,200.25,25.987528562545776,1714.0928382873535
13.1835,2.57897,-0.00409201811999,7.45057482376e-09,1600,1600,0.0,725.327469148,13.1027,0.0981091957368,0.878582,0.9563782215118408,38.418155908584595,123.90320134162903,26.06398296356201,2700.0,0.00409202076844,2.57281,0.8962976932525635,0.0,325.25,0.11307668685913086,2.64844857156e-09,27.159040689468384,591.567617516,2700.0,0.134656214523,0.875901,0.00784569047391,235.9375,25.925331592559814,1841.1516427993774
12.63,2.53607,-0.00632239831612,0.0,1600,1600,0.0,786.86362184,12.6522,0.100794000653,0.860128,0.9678092002868652,39.792548418045044,125.58163213729858,26.325160264968872,2700.0,0.00632239883998,2.53783,0.9105701446533203,0.0,407.625,0.10155391693115234,5.23868948221e-10,27.038689374923706,616.382795023,2700.0,0.153939170997,0.860929,0.00798314251006,258.5,26.057156801223755,1969.5258255004883
12.1478,2.49715,-0.00378545862623,-2.22044604925e-16,1600,1600,0.0,764.862313998,12.0963,0.083965995661,0.843656,0.9532113075256348,38.16257381439209,123.7960045337677,26.0335111618042,2800.0,0.00378545885906,2.4929,0.903285026550293,0.0,367.625,0.09987974166870117,2.32830643654e-10,27.330811500549316,578.174926898,2600.0,0.128537183281,0.841897,0.00710280844942,231.9375,25.988948106765747,2096.275471687317
11.7869,2.46699,-7.56699591875e-10,0.0,1600,1600,0.0,847.686463171,11.8167,0.0860889086326,0.831321,0.931328535079956,32.94861435890198,115.16320872306824,25.115642786026,2800.0,2.03726813197e-10,2.46951,0.8668777942657471,0.0,458.8125,0.10416722297668457,-5.52972778678e-10,25.320676565170288,618.147636087,2800.0,0.166130484796,0.832368,0.0,259.0,24.952840566635132,2214.5221042633057
11.7869,2.46699,-0.00601435173303,1.49011487593e-08,1600,1600,0.0,791.765975131,11.7032,0.0952969102708,0.831321,0.9096395969390869,34.528733015060425,114.65268063545227,25.230862379074097,2800.0,0.00601435167482,2.45986,0.8657219409942627,0.0,425.625,0.10051155090332031,-5.82076609135e-11,23.670913696289062,615.814691587,2800.0,0.156149006143,0.828382,0.00803846493363,246.875,24.98006296157837,2331.9966900348663
11.627,2.45333,-0.00554497493431,0.0,1600,1600,0.0,853.554148015,11.6047,0.101123116051,0.825526,0.9120080471038818,34.178478717803955,114.31922745704651,25.21837282180786,2900.0,0.00554497464327,2.45141,0.8707647323608398,0.0,462.5625,0.0971364974975586,-2.91038304567e-10,23.64321541786194,636.159666353,2700.0,0.159374194351,0.824714,0.00789063423872,269.0625,25.26496434211731,2449.101129770279
11.497,2.44209,-5.82076609135e-11,-4.09782039412e-08,1600,1600,0.0,846.521464491,11.4423,0.0808164837572,0.820822,0.9118449687957764,35.17053580284119,115.50832319259644,25.228940725326538,2900.0,5.23868948221e-10,2.43732,0.879392147064209,0.0,448.8125,0.1027519702911377,4.65661287308e-10,23.473963022232056,630.544131956,2700.0,0.162675669815,0.818825,-4.47035191087e-08,262.3125,24.984734773635864,2567.499302148819
11.497,2.44209,-2.91038304567e-11,0.0,1600,1600,0.0,830.867383747,11.3774,0.0898269574453,0.820822,0.9234426021575928,35.72190809249878,115.6305034160614,25.385379791259766,2900.0,-9.31322574615e-10,2.43162,0.890528678894043,0.0,418.625,0.10736489295959473,-9.60426405072e-10,22.648613452911377,667.384818597,2800.0,0.118498483873,0.816544,0.0,298.0625,25.29367232322693,2686.3778545856476
11.497,2.44209,-0.00298305554315,1.11758602372e-08,1600,1600,0.0,782.369757532,11.4637,0.0958287709346,0.820822,0.9017941951751709,36.07104158401489,114.82427763938904,25.004425525665283,2800.0,0.00298305775868,2.43918,0.8698921203613281,0.0,395.25,0.09305047988891602,2.21552909352e-09,22.530051231384277,636.243258805,2800.0,0.120977435204,0.819612,0.00973998382688,267.875,25.028945207595825,2804.106557369232
11.5017,2.44249,-0.00216763024218,-7.45057704421e-09,1600,1600,0.0,868.413331798,11.5092,0.0857700336764,0.820999,0.9254343509674072,35.47654390335083,115.16903829574585,25.364627599716187,2800.0,0.00216763089702,2.44315,0.8770205974578857,0.0,488.1875,0.08934593200683594,6.54836185277e-10,23.00722050666809,647.071660927,2600.0,0.213988274844,0.82122,0.00883304420859,277.125,25.209648609161377,2922.255081176758
11.5413,2.44593,-0.0061914967373,3.72528896619e-09,1600,1600,0.0,818.778625454,11.4879,0.0902888276266,0.822446,0.9172024726867676,35.33661890029907,114.39451956748962,25.284011125564575,2900.0,0.00619149708655,2.4413,0.8739004135131836,0.0,421.25,0.08494877815246582,3.49245965481e-10,22.581121683120728,629.965199312,2800.0,0.132817508579,0.820596,0.00880638696253,259.6875,25.082643747329712,3039.692506313324
11.2032,2.4162,-1.36788003147e-09,0.0,1600,1600,0.0,842.832776916,11.1672,0.0787969128502,0.81022,0.9159133434295654,34.415873289108276,115.4959647655487,25.227179765701294,2900.0,1.13504938781e-09,2.41298,0.8709468841552734,0.0,452.8125,0.11549663543701172,-2.32830643654e-10,24.020411491394043,623.353076991,2800.0,0.177330258331,0.8089,0.0,252.4375,25.089765071868896,3158.1520733833313
11.2032,2.4162,-1.9499566406e-09,-1.55431223448e-15,1600,1600,0.0,928.86346674,11.192,0.0996360579901,0.81022,0.9070603847503662,33.767085313797,114.5603563785553,24.911247491836548,3000.0,-4.07453626394e-10,2.4152,0.881016731262207,0.0,573.1875,0.12332272529602051,-2.357410267e-09,24.12946319580078,652.328638298,2700.0,0.220754212176,0.809849,-3.72528763393e-09,276.3125,25.195213556289673,3276.1978731155396
11.2032,2.4162,-0.00377456285059,-1.11022302463e-16,1600,1600,0.0,886.412150187,11.0892,0.091288755072,0.81022,0.9076962471008301,33.50098252296448,114.7117247581482,25.120511770248413,2800.0,0.00377456273418,2.40597,0.87705397605896,0.0,494.0,0.08302164077758789,-1.16415321827e-10,25.008538484573364,636.121057661,2700.0,0.193586526038,0.806156,0.00913520716131,270.0,25.034558534622192,3393.805541753769
11.1801,2.41414,-0.00171651679557,-1.11022302463e-16,1600,1600,0.0,843.112701448,11.0491,0.0988559704748,0.809294,0.9473392963409424,33.03284025192261,117.61023712158203,25.783079862594604,2800.0,0.00171651819255,2.40235,0.8560535907745361,0.0,446.6875,0.0870201587677002,1.39698386192e-09,27.592859745025635,650.741296042,2800.0,0.166593227049,0.804497,0.00640346016735,277.125,24.876583099365234,3514.5107729434967
11.1923,2.41522,-0.00187799101695,3.72528763393e-09,1600,1600,0.0,822.292061481,11.1565,0.0874706219626,0.809722,0.8808183670043945,32.4549605846405,111.69043135643005,24.6369411945343,2800.0,0.00187798973639,2.41202,0.8480663299560547,0.0,420.875,0.10708117485046387,-1.2805685401e-09,23.829533576965332,640.923942446,2800.0,0.145439268435,0.808437,0.00660644238815,273.0,24.682702779769897,3629.127489089966
11.2113,2.41692,-1.36788003147e-09,0.0,1600,1600,0.0,835.318651773,11.147,0.0880040659977,0.810386,0.9028968811035156,33.36919355392456,113.84376645088196,25.02639412879944,2800.0,-2.61934474111e-10,2.41117,0.860109806060791,0.0,419.5,0.1013331413269043,-1.62981450558e-09,23.90914034843445,656.097732335,2700.0,0.132938431981,0.808049,-3.72528963233e-09,277.125,24.919278860092163,3746.213659286499
11.2113,2.41692,-0.0037102708593,1.86264443869e-08,1600,1600,0.0,845.229145613,11.1674,0.0874152565994,0.810386,0.8993732929229736,32.73766016960144,112.1691620349884,25.207377672195435,2800.0,0.00371026806533,2.413,0.856175422668457,0.0,449.5625,0.09873509407043457,-2.79396772385e-09,23.30486750602722,665.515765685,2700.0,0.150856791485,0.808763,0.00797505024821,298.875,24.865702867507935,3861.346633195877
11.0801,2.40515,-0.00444477051497,-3.72528963233e-09,1600,1600,0.0,780.53891639,10.9989,0.0944494519077,0.805564,0.8912250995635986,32.70853352546692,111.83458209037781,24.7643039226532,2800.0,0.00444477282144,2.39779,0.8766858577728271,0.0,403.0,0.08529949188232422,2.3064785637e-09,22.99555516242981,634.266850387,2700.0,0.12032504062,0.802605,0.00874005723745,266.75,25.183863878250122,3976.015006542206
10.9263,2.39117,-0.00238017644733,0.0,1600,1600,0.0,815.969608713,10.897,0.086932857645,0.799942,0.9030654430389404,31.49384832382202,112.11269211769104,24.83556628227234,2800.0,0.00238017732045,2.38849,0.8482015132904053,0.0,413.6875,0.09408974647521973,8.73114913702e-10,24.300910234451294,623.577001936,2700.0,0.123642447296,0.798884,0.00870940554887,248.6875,24.931263208389282,4091.0966362953186
10.9368,2.39214,-0.000193404615857,7.45057793239e-09,1600,1600,0.0,757.589918343,10.9177,0.081357844722,0.800299,0.9077253341674805,31.59866213798523,113.48760843276978,25.050703525543213,2700.0,0.000193403335288,2.39039,0.8531639575958252,0.0,369.875,0.10730457305908203,-1.2805685401e-09,24.41834330558777,630.533996779,2600.0,0.116377008088,0.79962,0.00612451089546,265.0625,24.74005389213562,4207.380440711975
10.9219,2.39077,1.16415321827e-10,-1.11758575727e-08,1600,1600,0.0,868.763396929,10.9275,0.0942257071268,0.799748,0.9203548431396484,32.96635341644287,114.72536587715149,25.335253477096558,2900.0,-1.2805685401e-09,2.39128,0.8816425800323486,0.0,461.1875,0.08474946022033691,-1.16415321827e-09,24.375230312347412,665.346993,2600.0,0.144181374194,0.799941,-3.72528763393e-09,290.9375,25.227648735046387,4325.025024175644
10.9219,2.39077,-0.00382927013561,-1.86264479396e-08,1600,1600,0.0,872.649411902,10.8874,0.0868649579034,0.799748,0.925459623336792,35.44719982147217,116.73085331916809,25.547998905181885,2800.0,0.00382926939346,2.3876,0.872220516204834,0.0,462.0625,0.09386086463928223,-7.42147676647e-10,24.528650522232056,632.87283663,2700.0,0.174712311154,0.798506,0.00687732454389,265.3125,25.095489978790283,4444.811465024948
10.7603,2.37587,-0.00285043986514,0.0,1600,1600,0.0,801.040105113,10.7717,0.108962840594,0.793774,0.9212532043457031,34.845813035964966,113.91552686691284,25.543315172195435,2800.0,0.0028504372458,2.37692,0.8610286712646484,0.0,391.5,0.09264755249023438,-2.61934474111e-09,22.576443195343018,661.271963246,2800.0,0.126883228203,0.794219,0.00875260401517,278.625,24.855064392089844,4561.536881446838
10.7537,2.37525,-0.0045213997364,-7.45057526785e-09,1600,1600,0.0,841.699617496,10.6461,0.0938442536188,0.793514,0.9572815895080566,40.43257236480713,122.63071584701538,26.278024196624756,2800.0,0.00452140191555,2.36519,0.9194929599761963,0.0,452.0625,0.1040945053100586,2.17914930545e-09,23.610294103622437,680.403071601,2700.0,0.156833319677,0.78954,0.00661865621805,302.8125,26.059643983840942,4687.192360162735
