Entropy,MinReturn,AveragePolicyStd,LossBefore,MaxKL,Perplexity,ExplainedVariance,NumTrajs,StdReturn,Time,ItrTime,AverageReturn,LossAfter,MaxReturn,TotalExecTime,MeanKL
2.849,0.0,1.00568,-0.0,0.0,17.2706,1,20,0.0,12.582457780838013,12.582465171813965,0.0,-0.0,0.0,12.382211446762085,0.0
2.849,0.0,1.00568,-0.0,0.0,17.2706,1,20,0.0,24.583253860473633,11.988936185836792,0.0,-0.0,0.0,11.900329113006592,0.0
2.849,0.0,1.00568,-0.0,0.0,17.2706,1,20,0.0,36.63650345802307,12.049928665161133,0.0,-0.0,0.0,12.013736486434937,0.0
2.849,0.0,1.00568,-0.0,0.0,17.2706,1,20,0.0,48.97306799888611,12.332022666931152,0.0,-0.0,0.0,12.202155590057373,0.0
2.849,0.0,1.00568,-0.0267299,25.0613,17.2706,0.255469789939,20,21.7944947177,60.67482280731201,11.695334434509277,5.0,-0.230859,100.0,11.648388862609863,0.123588
2.83564,0.0,0.99894,-0.0,0.0,17.0413,1,20,0.0,72.64963746070862,11.96612286567688,0.0,-0.0,0.0,11.836865425109863,0.0
2.83564,0.0,0.99894,-0.0,0.0,17.0413,1,20,0.0,83.82344007492065,11.170656204223633,0.0,-0.0,0.0,11.133620977401733,0.0
