Entropy,AveragePolicyStd,Time,ExplainedVariance,AverageReturn,NumTrajs,MinReturn,TotalExecTime,LossBefore,StdReturn,ItrTime,LossAfter,Perplexity,MaxKL,MeanKL,MaxReturn
2.64941,0.917354,11.973116397857666,0.0246400508877,70.0,20,0.0,11.874130964279175,0.0273346,283.019433962,11.973122596740723,0.00910025,14.1457,0.491872,0.105593,1300.0
2.67675,0.928879,23.59896421432495,0.353618280577,5175.0,20,400.0,11.489054918289185,-0.025165,2099.25582052,11.621267795562744,-0.0738151,14.5378,0.340901,0.150372,8900.0
2.66417,0.923373,35.024041175842285,0.850978191706,18580.0,20,13900.0,11.241173028945923,-0.020729,2002.89790054,11.420841217041016,-0.083969,14.356,1.42712,0.312352,22100.0
2.6538,0.918746,46.22986841201782,0.949081226213,20895.0,20,17900.0,11.036417245864868,-0.010245,1409.42364107,11.199942350387573,-0.0326528,14.2079,0.207749,0.0612168,22700.0
2.64868,0.916966,57.85968375205994,0.914219624466,20025.0,20,16400.0,11.521541357040405,-0.00567525,1690.82080659,11.620808124542236,-0.0610052,14.1354,0.766797,0.232031,22200.0
2.64584,0.915966,69.79849886894226,0.815178875692,17740.0,20,11500.0,11.876536130905151,-0.0250818,2389.644325,11.933136701583862,-0.0837466,14.0953,0.52603,0.19655,22400.0
2.6333,0.910405,81.36370611190796,0.932581601888,20015.0,20,17300.0,11.509874105453491,-0.0475864,1316.91875224,11.553800821304321,-0.0725943,13.9196,0.342202,0.0831143,21800.0
