LossAfter,StdReturn,ExplainedVariance,MinReturn,AverageReturn,TotalExecTime,Perplexity,AveragePolicyStd,MeanKL,LossBefore,MaxKL,MaxReturn,Entropy,NumTrajs,ItrTime,Time
-0.0338022,138.834433769,0.594016350061,0.0,185.0,11.826276302337646,14.1457,0.917354,0.242891,0.0112311,2.41842,400.0,2.64941,20,11.949998140335083,11.949994325637817
-0.00772624,57.2276157113,0.893823275642,200.0,285.0,11.28660774230957,14.3055,0.922898,0.0326274,0.00328637,0.465338,400.0,2.66065,20,11.378523349761963,23.33127999305725
-0.0118967,83.0662386292,0.854924212059,200.0,290.0,11.71226978302002,14.329,0.92366,0.0371281,-0.000811558,0.322352,500.0,2.66229,20,11.802197933197021,35.140480279922485
-0.0174933,116.081867662,0.845092661744,200.0,395.0,11.841752052307129,14.3232,0.923502,0.0785422,0.0144591,0.627106,600.0,2.66188,20,11.919124603271484,47.066269397735596
-0.00918007,920.054346221,0.322462985788,500.0,1750.0,11.569318771362305,14.4272,0.927207,0.063252,0.0163491,0.233943,3600.0,2.66911,20,11.725805044174194,58.80234503746033
-0.0420667,3299.46586586,0.429066416903,4400.0,10005.0,11.472354412078857,14.5456,0.930617,0.158517,0.0143468,0.423913,16500.0,2.67729,20,11.504742860794067,70.31293678283691
-0.0553953,853.975994979,0.972588770668,19100.0,21315.0,10.850491762161255,14.6503,0.933767,0.0304438,-0.0443086,0.16913,22300.0,2.68446,20,10.924057483673096,81.25605797767639
