LossBefore,MinReturn,MaxReturn,AveragePolicyStd,TotalExecTime,Time,Entropy,MaxKL,ExplainedVariance,ItrTime,AverageReturn,StdReturn,MeanKL,LossAfter,Perplexity,NumTrajs
0.026187,0.0,500.0,0.58088,6.214285850524902,6.313848495483398,1.73658,0.435418,0.393842648638,6.313854217529297,125.0,91.5150260886,0.0957283,0.0010224,5.67789,40
0.0235647,0.0,1200.0,0.589511,6.928772449493408,13.325749397277832,1.76277,0.730407,0.260069974951,6.994685888290405,422.5,269.710492936,0.292552,-0.0523094,5.82854,40
0.00583788,1200.0,5500.0,0.593342,7.522709131240845,20.957271814346313,1.77455,0.996467,0.54781376505,7.62251353263855,3155.0,1076.32476512,0.495644,-0.12267,5.89762,40
-0.0473574,2600.0,7600.0,0.594884,6.513221502304077,27.52263355255127,1.77747,0.323039,0.889314783295,6.560866117477417,6570.0,976.780425684,0.0844942,-0.0718464,5.91486,40
-0.0546806,6100.0,7700.0,0.587909,5.944599151611328,33.55996298789978,1.75379,0.326448,0.977690463384,6.023480176925659,7165.0,360.936282465,0.0428313,-0.0779092,5.77645,40
-0.0551767,5500.0,7700.0,0.578496,6.034828186035156,39.65282988548279,1.72645,0.574871,0.971671007617,6.087547540664673,7077.5,441.86394965,0.166955,-0.0962407,5.62066,40
-0.0598103,4900.0,7900.0,0.569641,6.271870136260986,46.008694648742676,1.69886,0.751221,0.956607395255,6.34303879737854,7070.0,577.14816122,0.511568,-0.132512,5.46771,40
