0AverageReturn,1AverageReturn,MeanKL,0AveragePolicyStd,0ExplainedVariance,1MaxReturn,0Entropy,1AveragePolicyStd,0MaxReturn,Time,1Entropy,ItrTime,0ProcessExecTime,0NumTrajs,LossAfter,0EnvExecTime,1NumTrajs,1Perplexity,0MinReturn,0PolicyExecTime,0StdReturn,0Perplexity,1EnvExecTime,MeanKLBefore,dLoss,1PolicyExecTime,LossBefore,ComputeUpdatedDistTime,1ProcessExecTime,1MinReturn,1ExplainedVariance,1StdReturn
55.0,101.25,0.00651023583487,1.0,0.0536040157055,1700.0,2.83788,1.00257,1600.0,70.57656288146973,2.84278,70.57656764984131,0.3502674102783203,400,-0.0101447394118,22.244472980499268,400,17.1634,0.0,2.59077525138855,161.012421881,17.0795,22.356526613235474,-8.58564053186e-10,0.0101447368448,10.021820783615112,-2.56695797951e-09,5.749098539352417,0.31658458709716797,0.0,0.0707139568147,200.682429475
106.0,176.0,0.00920959562063,1.00224,0.0848653296383,1800.0,2.84235,1.00349,1600.0,134.23588490486145,2.84464,62.866591930389404,0.3349637985229492,400,-0.0114172007889,22.35818123817444,400,17.1954,0.0,2.2042341232299805,194.458221734,17.156,23.33775806427002,1.12922804441e-09,0.0114171997906,10.516719341278076,-9.98261362462e-10,0.35942959785461426,0.3146705627441406,0.0,0.0998321912861,270.599334811
170.75,228.0,0.00714678689837,1.00658,0.0863632877333,1600.0,2.85098,1.00369,1700.0,198.7713885307312,2.84493,64.53027272224426,0.3715705871582031,400,-0.0099262772128,23.470887184143066,400,17.2003,0.0,2.3515477180480957,250.438490452,17.3048,23.479610204696655,-8.84754547403e-10,0.00992627736123,11.030783414840698,1.4842949092e-10,0.38022351264953613,0.3337435722351074,0.0,0.112221911955,285.860105646
197.75,331.75,0.00674252258614,1.00181,0.0811930909645,2800.0,2.84141,1.00295,2500.0,264.84932041168213,2.84345,65.27972435951233,0.34644556045532227,400,-0.00993354804814,22.96486759185791,400,17.175,0.0,2.800147771835327,255.675453456,17.1399,23.893118858337402,-7.19446724418e-09,0.00993354882521,11.060780763626099,7.7707235091e-10,0.36484217643737793,0.31954312324523926,0.0,0.100539968334,447.847002335
264.25,402.75,0.00698081357405,1.0026,0.099807318374,4200.0,2.84295,1.00043,2300.0,329.61066579818726,2.83833,64.75389504432678,0.361417293548584,400,-0.00891381874681,22.84450888633728,400,17.0873,0.0,2.395193576812744,321.94244439,17.1663,23.45919156074524,6.98492064188e-09,0.00891381691908,10.956878662109375,-1.8277206415e-09,0.348416805267334,0.3148214817047119,0.0,0.135439975625,505.586231517
268.75,398.25,0.00680316612124,1.00097,0.108098487982,2800.0,2.83933,1.00013,2100.0,397.02751326560974,2.83753,66.5858690738678,0.35017824172973633,400,-0.0094886329025,23.226507663726807,400,17.0735,0.0,2.827421188354492,300.24729391,17.1043,23.71580958366394,8.94070684154e-09,0.00948863278609,11.23966670036316,-1.16415210805e-10,0.3670675754547119,0.3225514888763428,0.0,0.15757183989,372.789401003
302.75,536.25,0.00960258487612,1.00025,0.106610988285,4100.0,2.8377,1.00251,2400.0,463.1183445453644,2.84198,66.08444714546204,0.3530299663543701,400,-0.0109226107597,22.59637689590454,400,17.1497,0.0,2.323560953140259,367.243022398,17.0764,24.289682149887085,-2.32783740201e-11,0.0109226112603,11.835651874542236,5.00585795038e-10,0.3871755599975586,0.33231306076049805,0.0,0.140630123863,646.46031394
306.5,415.25,0.00936051364988,0.998428,0.107262272465,2100.0,2.83405,0.999186,1800.0,531.5147883892059,2.83557,67.55119776725769,0.37891554832458496,400,-0.00921436585486,23.552611351013184,400,17.0401,0.0,3.137453079223633,313.540667219,17.0143,24.311960220336914,-3.6088743105e-10,0.00921436788922,11.458231925964355,2.03435779333e-09,0.3638432025909424,0.3242678642272949,0.0,0.136501259714,408.769418499
430.75,746.75,0.00697126379237,0.996295,0.153000091973,6100.0,2.82937,0.993216,2000.0,599.2184240818024,2.82312,67.6974241733551,0.3600006103515625,400,-0.00900785252452,23.807419538497925,400,16.8293,0.0,2.5076801776885986,369.024982217,16.9348,24.058484315872192,7.45058126306e-10,0.00900785384001,11.815306901931763,1.31549315885e-09,0.3919486999511719,0.3563258647918701,0.0,0.127443798398,851.521836185
376.0,701.25,0.00693203695118,0.990291,0.116976077221,4500.0,2.81664,0.988411,2300.0,666.2015368938446,2.81287,66.18925309181213,0.35857701301574707,400,-0.008405899629,23.074947834014893,400,16.6576,0.0,2.9473953247070312,364.313052195,16.7206,23.9122793674469,6.42612629775e-09,0.00840589756554,11.391438007354736,-2.06346162379e-09,0.34611058235168457,0.3372626304626465,0.0,0.154979414606,695.178709038
387.0,657.0,0.00923152640462,0.982811,0.124611388815,2800.0,2.8016,0.980762,2100.0,731.2141237258911,2.79764,65.00474786758423,0.36012864112854004,400,-0.00705877970904,22.747999668121338,400,16.4058,0.0,2.5049197673797607,348.612965909,16.471,23.90986919403076,-1.67638081194e-09,0.00705877850996,11.707177877426147,-1.199077726e-09,0.3595554828643799,0.3299539089202881,0.0,0.18259163409,579.094983574
514.75,966.5,0.00994219444692,0.990427,0.151481022745,6400.0,2.81738,0.989254,3200.0,798.015704870224,2.81477,66.07581543922424,0.36410093307495117,400,-0.0103361159563,23.2597017288208,400,16.6894,0.0,2.960036277770996,446.550599037,16.733,23.955670595169067,-5.35510613631e-09,0.0103361175163,11.144654035568237,1.55996526807e-09,0.37050342559814453,0.31897687911987305,0.0,0.217911835668,967.226834822
