MeanKL,NumTrajs,MaxReturn,AveragePolicyStd,LossBefore,ItrTime,Entropy,ExplainedVariance,StdReturn,MaxKL,MinReturn,Perplexity,LossAfter,TotalExecTime,AverageReturn,Time
2.73644,40,6300.0,0.58088,-0.022491,6.492047548294067,1.73658,0.756304482457,852.316695836,6.01974,2200.0,5.67789,-0.274115,6.403964519500732,4217.5,6.49204158782959
0.0537169,40,8200.0,0.575297,-0.028091,6.039886474609375,1.71409,0.990479380652,293.161644831,0.159169,6700.0,5.55161,-0.0489099,5.9870147705078125,7382.5,12.538636922836304
0.0937216,40,8100.0,0.571128,-0.0248608,6.02227783203125,1.70004,0.989321483728,303.273803682,0.243373,6900.0,5.47418,-0.0488097,5.986461162567139,7445.0,18.566635608673096
0.0772945,40,8100.0,0.56704,-0.0434976,6.138447999954224,1.68761,0.99064428576,307.317018728,0.271573,6600.0,5.40656,-0.0678049,6.088686227798462,7457.5,24.716994285583496
0.0777954,40,8200.0,0.561006,-0.0351399,6.136059999465942,1.66586,0.985709814391,374.666518387,0.272381,6400.0,5.29024,-0.058942,6.096265554428101,7525.0,30.858529329299927
0.244142,40,8200.0,0.55562,-0.00106228,6.6607465744018555,1.64829,0.991663599245,300.998338866,1.15503,7100.0,5.1981,-0.0593176,6.603427410125732,7670.0,37.53234338760376
0.028056,40,8300.0,0.555381,-0.0236013,6.872872829437256,1.64776,0.992495952906,281.957443597,0.484576,7300.0,5.19534,-0.0476366,6.828023672103882,7850.0,44.418216943740845
