StdReturn,Time,MeanKL,AverageReturn,Perplexity,MinReturn,LossAfter,ExplainedVariance,MaxKL,ItrTime,LossBefore,MaxReturn,Entropy,AveragePolicyStd,NumTrajs,TotalExecTime
76.6485485838,12.22711968421936,0.211629,25.0,14.777,0.0,-0.0479525,0.0835034635095,3.58155,12.227126836776733,-0.00719872,300.0,2.69307,0.930467,20,12.007762670516968
70.7106781187,23.465517282485962,0.0826904,200.0,14.671,0.0,-0.0265571,0.8261461724,1.94324,11.228741884231567,0.0131744,300.0,2.68587,0.927306,20,11.107282161712646
69.8212002188,34.8858916759491,0.0385164,225.0,14.768,0.0,-0.0162465,0.838329350347,0.460579,11.412199020385742,0.000516432,300.0,2.69246,0.930427,20,11.3750741481781
47.6969600708,46.53947710990906,0.0291402,235.0,14.7718,200.0,-0.0317547,0.888970562814,1.08386,11.644640922546387,-0.0215881,300.0,2.69272,0.930587,20,11.511131525039673
100.498756211,58.47472643852234,0.0304668,330.0,14.6132,200.0,-0.0104427,0.827828631044,1.04033,11.92976713180542,0.00126782,700.0,2.68193,0.925482,20,11.807552814483643
711.688133946,70.31591534614563,0.0275652,550.0,14.6225,0.0,-0.00468774,0.218648999165,0.410548,11.826287031173706,0.00766477,2600.0,2.68256,0.925831,20,11.730413675308228
672.681202354,81.63208341598511,0.00974728,450.0,14.6786,0.0,0.00556834,0.167157388062,0.360805,11.310817956924438,0.0129745,2500.0,2.68639,0.927546,20,11.250495910644531
