NumTrajs,AveragePolicyStd,ItrTime,MaxReturn,Time,MaxKL,LossAfter,Perplexity,Entropy,TotalExecTime,AverageReturn,MinReturn,ExplainedVariance,StdReturn,MeanKL,LossBefore
20,0.956152,17.92697787284851,0.0,17.926970958709717,0.0,-0.0,15.613,2.7481,17.830047369003296,0.0,0.0,1,0.0,0.0,-0.0
20,0.956152,17.737083196640015,0.0,35.673094511032104,0.0,-0.0,15.613,2.7481,17.640681743621826,0.0,0.0,1,0.0,0.0,-0.0
20,0.956152,17.563013553619385,800.0,53.24212455749512,0.045466,-0.00246073,15.613,2.7481,17.501245498657227,50.0,0.0,0.0861392578557,177.482393493,0.00517583,0.000839628
20,0.95636,18.269368648529053,2200.0,71.52297616004944,0.114128,-0.00211523,15.6196,2.74852,18.206859827041626,265.0,0.0,0.187580345485,611.780189284,0.0278582,0.00502888
20,0.95755,17.743269443511963,14000.0,89.27753853797913,0.658182,-0.0309014,15.6589,2.75104,17.668482780456543,2340.0,0.0,0.638123815989,4395.49769651,0.100948,-0.00396421
20,0.956588,17.602988481521606,35300.0,106.89376711845398,0.0183422,-0.0126989,15.6279,2.74906,17.54648232460022,9125.0,0.0,0.673339414554,12414.5428832,0.00370042,-0.0111658
20,0.953918,17.56988286972046,18300.0,124.47618412971497,0.0140722,-0.00860195,15.5409,2.74347,17.509246349334717,2065.0,0.0,0.594943552147,4635.00539374,0.00317709,-0.0042787
