0StdReturn,1MaxReturn,0Entropy,0AveragePolicyStd,1AverageReturn,0PolicyExecTime,LossBefore,1NumTrajs,0Perplexity,ItrTime,0AverageReturn,0ProcessExecTime,1MinReturn,1AveragePolicyStd,1ExplainedVariance,1ProcessExecTime,MeanKLBefore,0NumTrajs,LossAfter,dLoss,1Entropy,1StdReturn,MeanKL,0MinReturn,Time,0EnvExecTime,ComputeUpdatedDistTime,0MaxReturn,0ExplainedVariance,1Perplexity,1PolicyExecTime,1EnvExecTime
120.058984346,2300.0,2.83788,1.0,40.1666666667,21.209085941314697,2.32830643654e-10,1200,17.0795,102.77428007125854,15.0833333333,0.8693544864654541,0.0,0.999726,0.189847810978,0.8546953201293945,1.73167635786e-09,1200,-0.00533109065145,0.00533109088428,2.83732,221.66785714,0.00819058716297,0.0,102.77427577972412,20.647170543670654,0.6864864826202393,1600.0,0.0602553251909,17.0699,33.82937026023865,20.58193612098694
116.641634219,2200.0,2.84316,1.00265,59.0,21.02221918106079,2.32830643654e-10,1200,17.17,99.46332335472107,14.25,0.8752820491790771,0.0,1.00397,0.169843094172,0.8302891254425049,1.3969827517e-09,1200,-0.00529549084604,0.00529549107887,2.84578,258.944653031,0.00647972896695,0.0,204.19921278953552,20.614434719085693,0.08236908912658691,1700.0,0.0538722306929,17.215,32.82637310028076,19.8439679145813
111.02148816,2400.0,2.82897,0.995579,123.0,20.89400339126587,-4.65661287308e-10,1200,16.9281,93.53351545333862,15.25,0.8806240558624268,0.0,0.99469,0.235940336938,0.7606587409973145,1.86264803581e-09,1200,-0.00735942088068,0.00735942041501,2.82719,382.562848867,0.00996420998126,0.0,299.49012899398804,20.52692484855652,0.0844120979309082,1600.0,0.0550135444425,16.8979,29.174676418304443,17.893457651138306
161.151326399,2300.0,2.80554,0.983992,113.75,18.32264757156372,5.82076609135e-10,1200,16.536,89.98392677307129,30.5,0.7869572639465332,0.0,0.981954,0.189823724911,0.7948198318481445,-1.50175711866e-08,1200,-0.00690931081772,0.0069093113998,2.80134,348.596142884,0.00790291745216,0.0,391.3128709793091,17.9533634185791,0.08419680595397949,1600.0,0.0658047619198,16.4667,30.325289011001587,18.452805280685425
152.478687035,2800.0,2.79536,0.979105,238.25,19.531503438949585,2.18278728426e-10,1200,16.3686,89.00350713729858,24.5,0.8286187648773193,0.0,0.976314,0.324838746332,0.7577934265136719,-2.32830843494e-09,1200,-0.00898291263729,0.00898291285557,2.78958,572.635955473,0.0097180493176,0.0,482.1084177494049,19.169133186340332,0.07813549041748047,1400.0,0.0578638066109,16.2743,28.2542827129364,17.190237998962402
175.454884989,2600.0,2.7974,0.980091,353.416666667,20.396971464157104,1.62981450558e-09,1200,16.402,98.08241248130798,36.5,0.8581750392913818,0.0,0.98012,0.401185200085,0.8421432971954346,-3.02680369657e-09,1200,-0.00738906767219,0.00738906930201,2.79741,673.836028315,0.00838080514222,0.0,582.1624467372894,19.980799674987793,0.09813904762268066,1700.0,0.0601934130612,16.4022,32.66219758987427,20.000412702560425
161.37066975,2800.0,2.77924,0.971326,386.166666667,18.643949031829834,-1.45519152284e-09,1200,16.1067,79.85454416275024,34.4166666667,0.7920119762420654,0.0,0.969536,0.42619942935,0.6211566925048828,9.77889236253e-09,1200,-0.00747293140739,0.0074729299522,2.77543,761.090427537,0.00760077312589,0.0,663.9423582553864,18.221789360046387,0.08244538307189941,1500.0,0.0629112767679,16.0454,23.83080220222473,14.565438270568848
208.27264116,2600.0,2.75657,0.960335,373.166666667,15.023219108581543,-3.63797880709e-10,1200,15.7458,73.22893738746643,52.4166666667,0.6545355319976807,0.0,0.959789,0.377094826454,0.6055793762207031,-1.39698330681e-09,1200,-0.00663968967274,0.00663968930894,2.75543,720.888321602,0.00937689002603,0.0,739.1544046401978,14.962528705596924,0.07563352584838867,1700.0,0.0677312381146,15.7278,23.668184995651245,14.390599250793457
250.638060757,2800.0,2.71489,0.94058,458.416666667,14.98130178451538,-4.65661287308e-10,1200,15.1029,72.68664598464966,66.75,0.6430959701538086,0.0,0.938742,0.409848015549,0.6168923377990723,1.76951484576e-08,1200,-0.00519397249445,0.00519397202879,2.71095,843.017888139,0.00970492698252,0.0,813.381677865982,14.904411792755127,0.09211230278015137,1700.0,0.0734095085344,15.0436,23.87863826751709,14.47220253944397
306.409130992,2900.0,2.69132,0.929682,540.166666667,15.660677433013916,1.16415321827e-09,1200,14.7512,73.23651766777039,96.3333333333,0.6461474895477295,0.0,0.930249,0.391381607354,0.6145732402801514,9.31319299458e-10,1200,-0.00500848982483,0.00500849098898,2.69235,906.928868337,0.00774743687361,0.0,888.5332586765289,14.724993705749512,0.10057306289672852,1900.0,0.0818169116778,14.7663,23.941561937332153,14.543121337890625
336.202815772,2900.0,2.6836,0.925944,468.0,15.72230339050293,1.32422428578e-09,1200,14.6377,72.90027642250061,101.0,0.6365242004394531,0.0,0.924446,0.37957353084,0.6254520416259766,-1.52655665886e-16,1200,-0.00555739784613,0.00555739917036,2.68041,818.449346834,0.00862163864076,0.0,963.6545622348785,14.592175960540771,0.10316920280456543,2100.0,0.0840765468074,14.591,23.547168731689453,14.559795618057251
