LossBefore,Time,NumTrajs,Entropy,LossAfter,ItrTime,MeanKL,AverageReturn,AveragePolicyStd,MinReturn,MaxKL,ExplainedVariance,Perplexity,MaxReturn,StdReturn,TotalExecTime
0.0080318,380.2802813053131,200,2.61667,0.00158394,12.475518941879272,0.0456466,2653.0,0.895557,2200.0,1.30318,0.993817486857,13.6901,2900.0,133.007518584,12.417448997497559
-0.0316975,392.915732383728,200,2.62069,-0.0378429,12.617934942245483,0.0190083,2635.5,0.897265,2100.0,0.581445,0.992773194162,13.7452,2900.0,142.442093498,12.505582571029663
-0.0413572,406.1110656261444,200,2.60484,-0.0485506,13.192199945449829,0.0140319,2623.5,0.890174,2000.0,0.140352,0.991929124697,13.5291,2900.0,148.3163848,13.09721326828003
0.00300206,417.56742429733276,200,2.58416,-0.0032179,11.453809261322021,0.0288717,2653.0,0.881009,2200.0,0.33877,0.992848708899,13.2522,2900.0,142.095038619,11.349658966064453
-0.025894,427.6221652030945,200,2.58566,-0.0315482,10.052068948745728,0.0129385,2644.5,0.881663,2000.0,0.0603847,0.992431540423,13.2721,3000.0,141.314365866,9.996052265167236
-0.0121428,437.9605531692505,200,2.57272,-0.0156649,10.322800874710083,0.0089986,2654.5,0.876029,2200.0,0.502615,0.992515163256,13.1013,3000.0,144.843881472,10.251996994018555
-0.0184552,448.09010791778564,200,2.56664,-0.0295141,10.12383246421814,0.0651443,2645.5,0.873402,2200.0,3.37228,0.992717550098,13.022,3000.0,137.767013468,10.04655385017395
-0.0133381,458.21078181266785,200,2.55742,-0.024986,10.113940954208374,0.0699172,2659.5,0.869471,2300.0,1.91239,0.994312470406,12.9024,2900.0,120.040618126,10.043713569641113
-0.00739435,469.02547335624695,200,2.55075,-0.0114702,10.799366474151611,0.00976518,2663.5,0.866488,2300.0,0.437978,0.99414439194,12.8167,2900.0,119.656800893,10.708195924758911
0.00972763,479.3956139087677,200,2.54705,0.00732917,10.366262912750244,0.00455349,2670.5,0.864897,2300.0,0.0448449,0.994936307418,12.7694,2900.0,114.803092293,10.297685146331787
-0.013662,489.96713185310364,200,2.55191,-0.0173844,10.56355595588684,0.010901,2668.5,0.866957,2100.0,0.269722,0.993654514218,12.8316,3000.0,136.958935451,10.510815858840942
-0.0294093,500.1224377155304,200,2.54508,-0.0357545,10.151120662689209,0.0247727,2667.5,0.863997,2200.0,0.324033,0.994000442876,12.7443,2900.0,128.038080273,10.069636821746826
-0.0207019,510.1997261047363,200,2.53038,-0.0234429,10.062121152877808,0.010912,2664.0,0.857644,2300.0,0.451999,0.993928937942,12.5583,3000.0,128.856509343,10.00827670097351
-0.0166031,521.1538953781128,200,2.52003,-0.0202853,10.943449258804321,0.0114265,2665.5,0.853237,2200.0,0.131121,0.994413026652,12.4289,2900.0,122.310056823,10.809795379638672
-0.00304575,534.9371621608734,200,2.51173,-0.00508245,13.778623104095459,0.00732521,2670.5,0.849679,2300.0,0.107824,0.993675626472,12.3262,3100.0,127.983397361,13.709622144699097
-0.0194931,549.3579816818237,200,2.5102,-0.0226065,14.3960599899292,0.00376408,2657.5,0.849082,2200.0,0.0259882,0.993277055595,12.3074,3000.0,135.069426592,14.33023715019226
-0.00843646,563.4568200111389,200,2.50046,-0.0135698,14.083508968353271,0.0190112,2678.0,0.845,2300.0,0.415642,0.994698966998,12.1881,3000.0,123.353151561,13.99205732345581
-0.00169988,577.5877091884613,200,2.49624,-0.00656863,14.12516188621521,0.0353886,2676.0,0.843198,2400.0,1.27839,0.99517385324,12.1368,2900.0,112.356575242,14.065174102783203
0.00122796,591.8392770290375,200,2.49539,-0.00240603,14.237457990646362,0.030558,2671.5,0.842742,2400.0,3.11033,0.994156237155,12.1264,2900.0,122.628504027,14.16377329826355
-0.00455449,605.9875729084015,200,2.496,-0.00778724,14.139827966690063,0.0167702,2684.0,0.843009,2200.0,0.593836,0.99512464224,12.1339,3000.0,116.378692208,14.061843156814575
0.00695398,620.400732755661,200,2.49372,0.000534421,14.407782554626465,0.0372043,2675.5,0.842056,2200.0,0.716782,0.99403073439,12.1063,2900.0,123.894108012,14.30873966217041
