NumTrajs,MinReturn,StdReturn,ExplainedVariance,TotalExecTime,MaxReturn,MeanKL,LossBefore,Time,MaxKL,AveragePolicyStd,Perplexity,ItrTime,LossAfter,AverageReturn,Entropy
200,0.0,1023.02248265,0.711433760641,34.53807258605957,2800.0,0.0101984,-0.0112585,1035.2149589061737,0.505041,0.96962,16.0532,34.84865069389343,-0.0198401,655.0,2.77591
200,0.0,1020.04595485,0.759947790362,34.4109091758728,2800.0,0.00677014,0.00436733,1069.816729068756,0.114544,0.966829,15.9631,34.57953381538391,-0.000185326,672.5,2.77028
200,0.0,1118.90292251,0.772584556149,33.583181858062744,2900.0,0.004223,-0.0380425,1103.8083729743958,0.0310795,0.967882,15.998,33.94843769073486,-0.0415929,837.5,2.77246
200,0.0,947.236902786,0.701365283257,33.694342374801636,2800.0,0.00928866,-0.0170614,1137.8048214912415,0.501317,0.958726,15.6966,33.98576736450195,-0.0226705,568.5,2.75344
200,0.0,1105.52431,0.747978799822,34.97478938102722,2900.0,0.0247326,-0.0048985,1173.091140985489,0.713784,0.954604,15.5632,35.27229928970337,-0.0221268,896.0,2.74491
200,0.0,1115.67009013,0.747065947015,33.23013615608215,2900.0,0.000918993,-0.00190912,1206.6630020141602,0.0379497,0.953416,15.5252,33.567694902420044,-0.00428866,830.5,2.74246
200,0.0,1048.38160991,0.770482649975,34.76658248901367,2800.0,0.00289078,-0.0110957,1241.7792778015137,0.0245743,0.952958,15.5104,35.103264808654785,-0.0140773,764.0,2.74151
200,0.0,1131.21074518,0.765456160778,35.70408535003662,2800.0,0.00651777,-0.00837129,1277.819854259491,0.146302,0.950323,15.4246,36.028435945510864,-0.0134413,928.5,2.73596
200,0.0,1141.70388017,0.75433306292,33.710427045822144,2900.0,0.0164347,-0.0241719,1311.9240274429321,1.29947,0.948346,15.3601,34.0797336101532,-0.0367597,946.5,2.73177
200,0.0,1097.81134536,0.746782490029,32.73684287071228,2800.0,0.00845988,-0.00842381,1344.9788327217102,0.287071,0.942644,15.1756,33.039689779281616,-0.0163282,860.5,2.71969
200,0.0,1103.78609794,0.750326960579,33.94543695449829,2800.0,0.0248078,-0.0202849,1379.1441524028778,0.956752,0.940675,15.1118,34.161537885665894,-0.031688,757.5,2.71548
200,0.0,1085.48376312,0.712909558146,34.602906227111816,2800.0,0.014111,-0.00730027,1414.026300907135,0.749517,0.935906,14.9593,34.8684024810791,-0.0182889,875.0,2.70533
200,0.0,1151.1628903,0.747500269505,34.29229402542114,2900.0,0.0063778,-0.00801798,1448.5455327033997,0.143641,0.934201,14.9048,34.50681400299072,-0.0129527,918.0,2.70168
200,0.0,1106.45198721,0.738939020321,34.88608717918396,2900.0,0.0396121,0.000567466,1483.758006811142,1.01759,0.932337,14.8452,35.1928448677063,-0.0218887,908.0,2.69767
200,0.0,1132.59701571,0.739685106337,33.722169399261475,2900.0,0.00705916,-0.00839947,1517.785847902298,0.240671,0.932484,14.8494,34.01193070411682,-0.0131765,932.0,2.69796
200,0.0,1165.72552516,0.744140005758,33.989975929260254,2800.0,0.0245383,-0.00382375,1552.0968551635742,0.306487,0.930515,14.7872,34.296608686447144,-0.0154204,1022.0,2.69376
200,0.0,1182.82669906,0.7660175907,33.87545585632324,2900.0,0.00969541,-0.00940153,1586.2232513427734,0.190681,0.929625,14.7589,34.11622643470764,-0.0134013,1089.0,2.69185
200,0.0,1141.58562973,0.778794063212,35.01943278312683,2900.0,0.00222906,-0.0110824,1621.5331664085388,0.0348236,0.927448,14.6897,35.28645062446594,-0.013671,988.5,2.68715
200,0.0,1184.37483509,0.764576271456,35.44738435745239,3000.0,0.00358462,-0.0142111,1657.2690160274506,0.0792761,0.924893,14.6085,35.714919328689575,-0.0183351,1037.5,2.68161
200,0.0,1119.87320711,0.74831944009,34.601553201675415,2900.0,0.0188836,0.0053202,1692.1968863010406,0.716005,0.921629,14.5051,34.908870220184326,-0.00769325,1028.0,2.6745
200,0.0,1126.93877385,0.739277432816,32.379995346069336,2900.0,0.0046728,-0.011387,1724.9129695892334,0.0691125,0.922863,14.5437,32.70280480384827,-0.0148767,1003.0,2.67716
