AveragePolicyStd,MeanKL,ExplainedVariance,AverageReturn,MaxReturn,StdReturn,LossBefore,Perplexity,Time,LossAfter,MaxKL,NumTrajs,ItrTime,Entropy,TotalExecTime,MinReturn
0.805297,1.10219,0.850475693606,5267.5,7000.0,766.611863983,-0.058817,11.0609,5.155773639678955,-0.224856,26.8453,40,5.155777931213379,2.40341,5.091735601425171,3500.0
0.782156,0.442979,0.43008660172,1687.5,3700.0,711.402663757,0.00840321,10.429,10.098283052444458,-0.115533,3.49763,40,4.9384074211120605,2.34459,4.874452590942383,600.0
0.78409,0.174524,0.832847844551,5610.0,7600.0,1473.90637423,-0.0180559,10.473,14.912015676498413,-0.0708398,1.05007,40,4.806352853775024,2.3488,4.7795798778533936,2700.0
0.78023,0.0440337,0.924032650901,6087.5,7300.0,622.168586478,-0.0390154,10.3788,19.476258277893066,-0.0608082,0.501919,40,4.552823543548584,2.33977,4.4875476360321045,4800.0
0.77269,0.0954413,0.922685009879,6180.0,7600.0,643.89440128,-0.045268,10.1783,24.3494610786438,-0.0753013,5.2422,40,4.857354640960693,2.32026,4.826796531677246,4900.0
0.76382,0.0496459,0.878033687363,6312.5,7600.0,1100.9512932,-0.0702555,9.95054,29.294403791427612,-0.0945952,12.8144,40,4.939968585968018,2.29763,4.8900980949401855,3100.0
0.750298,0.0768493,0.910043729276,6725.0,8100.0,928.102903777,-0.0766998,9.60707,35.45319724082947,-0.110169,3.1317,40,6.151839971542358,2.2625,6.122890472412109,4400.0
