0NumTrajs,0ExplainedVariance,0EnvExecTime,MeanKLBefore,1PolicyExecTime,1EnvExecTime,1AveragePolicyStd,0AveragePolicyStd,0ProcessExecTime,ComputeUpdatedDistTime,1ProcessExecTime,0MinReturn,0StdReturn,1StdReturn,LossAfter,0Entropy,0Perplexity,dLoss,ItrTime,Time,1Entropy,1Perplexity,0AverageReturn,0MaxReturn,1MaxReturn,1AverageReturn,1NumTrajs,0PolicyExecTime,MeanKL,LossBefore,1MinReturn,1ExplainedVariance
2000,0.0596787106465,169.79253792762756,1.20781082913e-08,340.58504033088684,225.51165390014648,1.00056,1.0,6.838823318481445,0.9566259384155273,8.880182981491089,0.0,1011.96995509,1277.33362517,-0.00217426940799,2.83788,17.0794,0.00217426960808,955.8754451274872,955.8754441738129,2.83899,17.0984,154.1,13900.0,16500.0,239.1,2000,178.65606427192688,0.00667558796704,2.0008883439e-10,0.0,0.0902431583323
2000,0.06865700754,214.11642217636108,-1.44427945159e-08,310.8931338787079,201.97261595726013,1.00108,1.00158,8.357413053512573,0.2716865539550781,7.814771890640259,0.0,1456.88002166,1576.31207253,-0.00131663354114,2.84103,17.1335,0.00131663278444,976.3745768070221,1936.3166589736938,2.84004,17.1165,303.95,18600.0,14900.0,339.5,2000,208.32061004638672,0.00885671563447,-7.56699591875e-10,0.0,0.0860374083181
2000,0.0686199043964,149.5952115058899,-2.98023721257e-08,220.00902462005615,142.47552180290222,1.00058,1.00088,6.0540547370910645,0.43175578117370605,5.665823936462402,0.0,2110.79623839,2485.76209189,-0.0013266641181,2.83955,17.1081,0.00132666478748,694.8974437713623,2635.19727230072,2.83894,17.0976,438.2,20200.0,20000.0,586.15,2000,147.18980193138123,0.00591279193759,6.69388100505e-10,0.0,0.0839083617376
2000,0.0867494239972,144.37391066551208,2.82889445202e-08,249.3700020313263,144.8805480003357,0.997235,0.997054,5.836565971374512,0.28330206871032715,5.796857595443726,0.0,2760.8216345,2827.34403814,-0.00134193408303,2.8319,16.9776,0.00134193254053,726.7844462394714,3366.4692833423615,2.83228,16.9841,679.05,21000.0,20600.0,733.7,2000,153.0710256099701,0.00783357676119,-1.54250301421e-09,0.0,0.0918261775229
2000,0.0941103298295,144.19176149368286,-4.65662119975e-10,249.76562786102295,145.1217601299286,0.997943,0.99771,5.890066623687744,0.2563760280609131,5.779250621795654,0.0,3405.35968144,3540.31137614,-0.00150078092702,2.83322,17.0001,0.00150078194565,727.3306896686554,4098.063002824783,2.83369,17.0082,988.8,21500.0,21400.0,1074.4,2000,153.17940831184387,0.006626566872,1.01863406599e-09,0.0,0.098671361338
2000,0.0894744073432,145.11151576042175,1.74623648874e-10,249.70082783699036,144.98098587989807,0.993087,0.993774,5.92663311958313,0.26784539222717285,5.8195271492004395,0.0,4086.77645309,4524.32129468,-0.00134693097789,2.82528,16.8656,0.00134693115729,730.8631081581116,4833.391332626343,2.8239,16.8424,1336.65,21900.0,21500.0,1613.85,2000,156.2581844329834,0.00793845858425,1.79397829925e-10,0.0,0.10251949266
2000,0.0917043649539,145.3819432258606,8.14907974434e-10,250.78658485412598,145.42159795761108,0.992786,0.993078,5.939538478851318,0.2611103057861328,5.823866605758667,0.0,4801.25498151,5434.25449694,-0.00133051048033,2.82386,16.8417,0.00133051021839,729.568240404129,5567.55421090126,2.82328,16.8319,1703.95,22600.0,22100.0,2194.25,2000,153.1147437095642,0.00831419974566,-2.61934474111e-10,0.0,0.112771218351
2000,0.106954827202,145.80513167381287,-3.49245787845e-09,250.18075609207153,145.57396936416626,0.992147,0.991438,5.952394247055054,0.2759091854095459,5.820212125778198,0.0,5869.07659176,5797.07853815,-0.00170192553196,2.82042,16.784,0.00170192554287,729.7652850151062,6301.702651977539,2.82186,16.8081,2438.6,22800.0,23100.0,2438.15,2000,153.37180185317993,0.00995438359678,1.09139364213e-11,0.0,0.0919075182171
2000,0.0830479959269,147.08884286880493,-2.79396719094e-08,249.27599430084229,145.82439827919006,0.98179,0.983338,6.060528993606567,0.2834181785583496,5.832135915756226,0.0,6591.82690895,6971.31997383,-0.00158130435739,2.80409,16.5121,0.00158130481941,734.9053649902344,7041.146905660629,2.80092,16.4598,3069.95,23100.0,22700.0,3531.35,2000,157.76515078544617,0.00795834325254,4.62023308501e-10,0.0,0.0816565603991
2000,0.0760913934659,146.67095756530762,-3.72529163073e-09,250.48963832855225,146.37867903709412,0.969026,0.970042,6.008276700973511,0.2630894184112549,5.85170841217041,0.0,6915.38464567,7474.96205676,-0.0015150543768,2.77699,16.0706,0.0015150550571,732.2326014041901,7777.961786031723,2.7749,16.037,3399.55,23500.0,23300.0,4026.5,2000,153.67100477218628,0.00995029509068,6.80302036926e-10,0.0,0.0811859708981
2000,0.0671694760633,146.60917234420776,1.86264370594e-09,253.15193557739258,146.99579286575317,0.9639,0.964976,6.026312828063965,0.2518730163574219,5.8730175495147705,0.0,7084.74945499,7745.79274042,-0.00138559914194,2.76643,15.9018,0.001385600699,735.8758733272552,8518.123858690262,2.76421,15.8666,3625.4,23200.0,23200.0,4458.65,2000,153.9210286140442,0.00729638477787,1.55705492944e-09,0.0,0.0860059636608
2000,0.0645489982498,146.32106518745422,1.86264303981e-09,249.38249802589417,146.55100536346436,0.951823,0.953413,6.0126051902771,0.2644805908203125,5.8712053298950195,0.0,7054.60144232,8155.04879446,-0.00169798708521,2.74224,15.5217,0.00169798712886,734.1252944469452,9256.505099058151,2.73889,15.4698,3570.7,23400.0,23100.0,4994.6,2000,156.74174976348877,0.00716077303514,4.36557456851e-11,0.0,0.104770062741
