Perplexity,TotalExecTime,Entropy,LossBefore,AverageReturn,MaxReturn,Time,MinReturn,ItrTime,MaxKL,MeanKL,ExplainedVariance,AveragePolicyStd,StdReturn,LossAfter,NumTrajs
12.9461,26.813685417175293,2.5608,0.0107864,45.0,400.0,26.98855185508728,0.0,26.988560676574707,2.68923,0.198302,0.233720337695,0.870797,111.691539518,-0.0188862,20
13.0865,26.138420820236206,2.57158,-0.00280361,355.0,500.0,53.25498127937317,300.0,26.23066258430481,0.299897,0.0347008,0.903675514202,0.875659,58.9491306128,-0.00923537,20
13.0682,26.686662912368774,2.57018,-0.00564504,420.0,500.0,80.16143298149109,300.0,26.900795459747314,0.24156,0.0154282,0.914680812568,0.875003,60.0,-0.011204,20
13.0314,26.373329401016235,2.56736,-0.00610127,470.0,600.0,106.57730007171631,400.0,26.413031339645386,0.035505,0.00161343,0.917115931993,0.873776,64.0312423743,-0.00869291,20
12.9917,26.27436923980713,2.56431,-0.00942344,535.0,800.0,132.9086730480194,400.0,26.326852798461914,0.19248,0.0108866,0.902831590456,0.872532,96.3068014213,-0.01455,20
12.9306,28.15923833847046,2.5596,0.0030911,580.0,700.0,161.30296349525452,400.0,28.381006956100464,0.218532,0.0208093,0.895399787531,0.870426,102.95630141,-0.00150494,20
12.9506,27.898731231689453,2.56114,-0.00781167,620.0,1000.0,189.41579508781433,0.0,28.095862865447998,0.182707,0.0371711,0.819371673532,0.871032,211.187120819,-0.0161875,20
