ExplainedVariance,ItrTime,MinReturn,StdReturn,MaxReturn,LossBefore,MeanKL,Entropy,AverageReturn,LossAfter,NumTrajs,Perplexity,Time,MaxKL,AveragePolicyStd,TotalExecTime
0.973953933832,21.287193536758423,1300.0,224.182403413,2900.0,-0.0234248,0.452402,1.97737,2556.5,-0.0582948,200,7.22373,634.5047416687012,1.76331,0.650486,21.18710708618164
0.991658740093,21.09984302520752,2000.0,147.729482501,2900.0,-0.0243962,0.0773809,1.96566,2626.0,-0.0350593,200,7.13962,655.6109101772308,0.71731,0.64674,20.957972049713135
0.991147368559,21.446667194366455,2000.0,146.149751967,3000.0,-0.011004,0.0727314,1.95346,2634.5,-0.0219639,200,7.05306,677.0659861564636,0.411088,0.642822,21.309922695159912
0.992905277693,21.626068592071533,2200.0,135.347700387,3000.0,-0.0112097,0.245994,1.94796,2641.0,-0.0319062,200,7.01436,698.6961216926575,1.05004,0.641046,21.535150289535522
0.993385433989,20.926687955856323,2300.0,135.68253388,3000.0,-0.00312835,0.0966514,1.94235,2659.5,-0.0152891,200,6.97515,719.6267035007477,1.03492,0.639437,20.834128856658936
0.993526510219,21.11827850341797,2300.0,130.911229465,2900.0,-0.00657325,0.0933268,1.94079,2671.5,-0.0153265,200,6.96425,740.7497661113739,0.581732,0.638893,21.020512342453003
0.99375938507,22.762102127075195,2300.0,144.069427708,3000.0,0.00830921,0.0447116,1.9375,2662.0,0.00214579,200,6.9414,763.5163974761963,0.258978,0.637803,22.658797025680542
0.994594961102,23.573387384414673,2300.0,121.835955284,3000.0,-0.00995435,0.304404,1.94166,2666.0,-0.0302778,200,6.9703,787.0956282615662,4.93077,0.63905,23.472700357437134
0.993923203815,23.327784538269043,2200.0,131.748814036,3000.0,0.00753279,0.113331,1.93668,2668.5,-0.00156105,200,6.9357,810.4276812076569,0.839795,0.637469,23.202953100204468
0.994010069875,23.165299892425537,2300.0,130.029804276,3000.0,0.00331886,0.104335,1.94045,2681.5,-0.00681237,200,6.96187,833.5986652374268,0.719004,0.638685,23.066039562225342
