AveragePolicyStd,TotalExecTime,StdReturn,ItrTime,MinReturn,MeanKL,Time,MaxReturn,Perplexity,AverageReturn,Entropy,LossAfter,NumTrajs,LossBefore,ExplainedVariance,MaxKL
0.58088,6.169230222702026,35.2668399492,6.259645462036133,0.0,0.0664647,6.259641170501709,200.0,5.67789,97.5,1.73658,-0.0362925,40,-0.00728897,0.813774068111,0.380372
0.578414,6.068246841430664,48.9897948557,6.1681365966796875,0.0,0.0991714,12.433174133300781,200.0,5.63665,90.0,1.72929,-0.0469163,40,-0.0119475,0.688995953757,0.596461
0.576876,6.223611116409302,55.6214886532,6.258540153503418,0.0,0.0310115,18.69600200653076,400.0,5.60308,112.5,1.72332,0.0115745,40,0.0264203,0.594120610163,0.141974
0.581046,6.311030387878418,33.0718913883,6.38392972946167,100.0,0.0749349,25.08949589729309,200.0,5.67759,112.5,1.73653,-0.0388131,40,-0.0118933,0.856742914886,0.450158
0.579034,6.995299339294434,94.5714015969,7.038227558135986,100.0,0.0359874,32.131826877593994,600.0,5.64393,157.5,1.73058,-0.0329441,40,-0.0162016,0.567490328288,0.163626
0.576765,6.118155002593994,73.9932429347,6.217773675918579,100.0,0.0467254,38.35553812980652,400.0,5.59839,195.0,1.72248,-0.00973357,40,0.00539301,0.719206543716,0.256956
0.577657,6.068970203399658,193.633029207,6.124650478363037,100.0,0.121497,44.49572277069092,800.0,5.61351,327.5,1.72518,-0.0126784,40,0.0278179,0.313446985953,0.301434
