LossBefore,ItrTime,ExplainedVariance,StdReturn,Time,MaxReturn,NumTrajs,Entropy,MinReturn,LossAfter,AverageReturn,Perplexity,MaxKL,AveragePolicyStd,MeanKL
-0.0,16.083634614944458,1,0.0,675.6548933982849,0.0,200,2.84565,0.0,-0.0,0.0,17.2128,0.0,1.0039,0.0
-0.0,16.247178077697754,1,0.0,692.0854756832123,0.0,200,2.84565,0.0,-0.0,0.0,17.2128,0.0,1.0039,0.0
-0.0,16.752861261367798,1,0.0,709.0496752262115,0.0,200,2.84565,0.0,-0.0,0.0,17.2128,0.0,1.0039,0.0
-0.0,16.75995969772339,1,0.0,726.0237827301025,0.0,200,2.84565,0.0,-0.0,0.0,17.2128,0.0,1.0039,0.0
-0.0,17.234419107437134,1,0.0,743.4707815647125,0.0,200,2.84565,0.0,-0.0,0.0,17.2128,0.0,1.0039,0.0
-0.0,16.28894829750061,1,0.0,759.9527626037598,0.0,200,2.84565,0.0,-0.0,0.0,17.2128,0.0,1.0039,0.0
-0.0,16.366798400878906,1,0.0,776.5143566131592,0.0,200,2.84565,0.0,-0.0,0.0,17.2128,0.0,1.0039,0.0
-0.0,16.554707050323486,1,0.0,793.2682540416718,0.0,200,2.84565,0.0,-0.0,0.0,17.2128,0.0,1.0039,0.0
-0.0,16.67112684249878,1,0.0,810.2778871059418,0.0,200,2.84565,0.0,-0.0,0.0,17.2128,0.0,1.0039,0.0
-0.0,16.4753999710083,1,0.0,826.9556894302368,0.0,200,2.84565,0.0,-0.0,0.0,17.2128,0.0,1.0039,0.0
-0.0,16.294169425964355,1,0.0,843.4436390399933,0.0,200,2.84565,0.0,-0.0,0.0,17.2128,0.0,1.0039,0.0
