0ExplainedVariance,1AverageReturn,0PolicyExecTime,0AverageReturn,1StdReturn,MeanKLBefore,ItrTime,0StdReturn,1PolicyExecTime,LossAfter,0MinReturn,1NumTrajs,1AveragePolicyStd,0EnvExecTime,1Entropy,0NumTrajs,1ProcessExecTime,1ExplainedVariance,LossBefore,1EnvExecTime,MeanKL,1MinReturn,Time,dLoss,ComputeUpdatedDistTime,0Perplexity,0ProcessExecTime,0AveragePolicyStd,1Perplexity,1MaxReturn,0Entropy,0MaxReturn
0.101460372401,191.0,18.70286273956299,91.25,526.294277631,4.01632460623e-09,113.06189775466919,349.759590052,39.45610332489014,-0.00703673623502,0.0,1200,0.997865,19.108072996139526,2.83358,1200,1.1261749267578125,0.172738721695,1.2805685401e-09,28.72586727142334,0.00671371072531,0.0,113.06189298629761,0.00703673751559,0.6906940937042236,17.0795,0.7953734397888184,1.0,17.0062,2700.0,2.83788,2600.0
0.103180409439,180.666666667,18.044553756713867,107.916666667,491.995483267,-3.20696642575e-08,109.1157112121582,383.247952448,39.08971309661865,-0.00951528549194,0.0,1200,0.998783,18.089567184448242,2.83541,1200,1.1284794807434082,0.189246327168,-4.07453626394e-10,28.35676336288452,0.00926125701517,0.0,224.10279536247253,0.00951528508449,0.08238339424133301,17.1277,0.7580654621124268,1.00141,17.0373,2700.0,2.8407,2400.0
0.10004063516,203.833333333,19.552117824554443,108.333333333,525.707750455,2.78523479835e-08,113.69481348991394,370.918529539,39.476452589035034,-0.00596639793366,0.0,1200,0.99485,20.191569566726685,2.82751,1200,1.1312110424041748,0.200637375541,5.82076609135e-11,28.840740203857422,0.0065734051168,0.0,339.62106013298035,0.00596639799187,0.08205747604370117,17.026,0.8408792018890381,0.998435,16.9033,2900.0,2.83474,2400.0
0.104020908198,215.5,18.89295482635498,111.333333333,558.354502086,2.44472508903e-09,110.33934354782104,380.641855584,38.51735234260559,-0.00923166796565,0.0,1200,0.994377,19.379703283309937,2.82658,1200,1.1091258525848389,0.171066332571,1.97906047106e-09,27.984511852264404,0.0099181542173,0.0,451.80457639694214,0.00923166994471,0.08146476745605469,16.9549,0.8085615634918213,0.996349,16.8876,2700.0,2.83056,2500.0
0.0990586780853,210.333333333,17.741952657699585,114.583333333,540.718554847,2.79396505931e-09,107.32777976989746,392.974545048,38.31423616409302,-0.00326601997949,0.0,1200,0.991853,17.970606088638306,2.82151,1200,1.1093065738677979,0.147625818149,-1.97906047106e-09,27.856966733932495,0.00683674309403,0.0,560.9715139865875,0.00326601800043,0.08138656616210938,16.8164,0.7577495574951172,0.992271,16.8021,2800.0,2.82236,2500.0
0.101263634761,252.666666667,18.39998960494995,143.083333333,605.028557636,-2.32832281233e-10,110.08116745948792,439.718273127,38.86466121673584,-0.00744537776336,0.0,1200,0.970934,18.865359783172607,2.77869,1200,1.1299200057983398,0.20798248665,-9.60426405072e-10,28.397092580795288,0.00742568122223,0.0,672.8870697021484,0.00744537680293,0.08153510093688965,16.2149,0.7969105243682861,0.974419,16.098,2700.0,2.78593,2400.0
0.0965359246018,295.166666667,18.96878409385681,132.0,672.044124709,1.7695100496e-08,110.91861939430237,418.480584974,38.68600654602051,-0.00746707618237,0.0,1200,0.969937,19.54518747329712,2.77673,1200,1.1155238151550293,0.231235778112,4.65661287308e-10,28.120429039001465,0.0094820484519,0.0,785.7043726444244,0.00746707664803,0.08053898811340332,16.2155,0.8204066753387451,0.974414,16.0664,2800.0,2.78597,2600.0
0.0932424587287,277.75,18.551597833633423,136.666666667,638.96786891,-3.49245965481e-09,109.06106638908386,432.576261741,38.28890514373779,-0.00431608222425,0.0,1200,0.982891,19.095115423202515,2.80332,1200,1.1067512035369873,0.160955840018,2.81215761788e-09,27.61640191078186,0.00960050523281,0.0,896.6241328716278,0.00431608503641,0.07843279838562012,16.5667,0.8084585666656494,0.984886,16.4994,2700.0,2.8074,2500.0
0.100351039429,312.916666667,17.74550199508667,155.75,677.10769187,4.65661686988e-09,103.47860217094421,461.880508537,35.955721616744995,-0.00693753920496,0.0,1200,0.972482,18.563581466674805,2.78195,1200,1.0166347026824951,0.190251480256,-4.65661287308e-10,25.90307641029358,0.00675594899803,0.0,1001.6428685188293,0.00693753873929,0.0807502269744873,16.1817,0.7750887870788574,0.973368,16.1504,2800.0,2.78388,2600.0
0.104162914982,247.833333333,19.522274255752563,152.25,592.49076411,-4.65664506955e-10,110.38571047782898,451.731783436,37.73102569580078,-0.00749373622239,0.0,1200,0.968481,20.237370252609253,2.77378,1200,1.0673716068267822,0.164294485569,-3.29237082042e-10,27.462893962860107,0.00993857998401,0.0,1113.5372853279114,0.00749373589315,0.08713054656982422,16.166,0.8291387557983398,0.972906,16.0191,2700.0,2.78291,2400.0
0.0955475853303,286.0,18.73497724533081,167.0,639.938017832,4.65660843219e-09,111.78538298606873,500.227614858,39.03480625152588,-0.00615121051669,0.0,1200,0.974346,19.752766370773315,2.7858,1200,1.0920827388763428,0.167373345635,5.82076609135e-10,28.494749307632446,0.00685435486957,0.0,1227.1874356269836,0.00615121109877,0.3440072536468506,16.1889,0.8119213581085205,0.973603,16.2128,2800.0,2.78433,2500.0
0.092656309614,272.5,18.950785160064697,160.666666667,629.836288253,1.86264514923e-08,110.93640398979187,473.430271764,38.66638731956482,-0.0101398974657,0.0,1200,0.96473,19.665887117385864,2.76604,1200,1.0853698253631592,0.17618590288,6.98491930962e-10,28.195709943771362,0.00980244856328,0.0,1339.68052816391,0.0101398981642,0.0802299976348877,15.93,0.7917461395263672,0.965764,15.8956,2700.0,2.76821,2500.0
