ItrTime,Time,LossAfter,Perplexity,LossBefore,Entropy,MaxKL,TotalExecTime,StdReturn,MaxReturn,NumTrajs,AveragePolicyStd,ExplainedVariance,MinReturn,AverageReturn,MeanKL
31.62603759765625,1016.3231258392334,-0.0114932,12.6755,-0.00602032,2.53967,0.638628,31.39023494720459,118.232821162,3000.0,200,0.861692,0.994374372708,2300.0,2661.0,0.0224698
34.73576378822327,1051.0652315616608,-0.0235651,12.6374,-0.0123383,2.53666,1.45816,34.472193241119385,128.948633184,3000.0,200,0.860359,0.993763996535,2100.0,2666.5,0.0852466
33.7501003742218,1084.8399679660797,-0.0238025,12.5596,-0.0114489,2.53049,1.12619,33.50203728675842,118.486286126,2900.0,200,0.857727,0.994535764759,2300.0,2669.0,0.0783502
33.056180238723755,1117.9004957675934,-0.0180604,12.488,-0.0118473,2.52476,0.672967,32.80971312522888,131.452462891,3000.0,200,0.855307,0.994136753879,2300.0,2670.5,0.0154081
32.05450987815857,1149.9692585468292,-0.0325219,12.4142,-0.0276294,2.51884,0.343347,31.836737632751465,124.963994815,3000.0,200,0.852772,0.99421631737,2400.0,2672.0,0.0185307
33.582831621170044,1183.5796563625336,-0.0340913,12.2439,-0.013082,2.50503,19.2972,33.338921308517456,114.712684565,3000.0,200,0.8469,0.994671910875,2300.0,2679.0,0.230612
32.450888872146606,1216.0515820980072,-0.0947278,12.1641,-0.017609,2.49849,25.0183,32.12664580345154,124.658533603,3000.0,200,0.844064,0.994398713657,2300.0,2685.5,0.310696
34.03064298629761,1250.0979316234589,-0.0185931,12.0574,-0.0110567,2.48968,0.431036,33.751232862472534,121.815434162,3000.0,200,0.840336,0.994578846725,2300.0,2681.0,0.0293873
33.75705599784851,1283.8721816539764,-0.00907215,11.991,-0.0018627,2.48415,2.65788,33.4265513420105,123.684073348,3000.0,200,0.837971,0.994498540768,2300.0,2676.5,0.0522363
33.385833978652954,1317.2770488262177,-0.0415386,11.9798,-0.0194495,2.48322,1.62942,33.085582971572876,113.700263852,2900.0,200,0.837574,0.995043687396,2400.0,2666.5,0.0966664
31.566438913345337,1348.8546648025513,-0.00982774,11.8639,-0.00670008,2.4735,0.0471754,31.2983877658844,123.198011348,2900.0,200,0.833544,0.994435577658,2200.0,2683.5,0.00298602
33.37583661079407,1382.2350506782532,-0.0210978,11.8242,-0.00508078,2.47015,1.49991,33.114338874816895,119.829044893,3000.0,200,0.832183,0.994354344286,2400.0,2679.0,0.0742171
32.08563184738159,1414.3399465084076,-0.0130637,11.7942,-0.000142489,2.46761,9.1067,31.757879495620728,135.218341951,3000.0,200,0.831252,0.993253913366,2300.0,2654.0,0.180326
32.57873797416687,1446.933247089386,-0.0192892,11.7933,-0.0151503,2.46753,0.0869907,32.32056951522827,110.759875406,2900.0,200,0.831223,0.994774871787,2300.0,2686.5,0.00504452
35.55506682395935,1482.5032963752747,-0.00178747,11.7043,0.0111285,2.45996,2.71964,35.16753649711609,111.803398875,3000.0,200,0.828045,0.995559672406,2400.0,2670.0,0.103349
35.78109383583069,1518.2955305576324,-0.0154964,11.7696,-0.000621447,2.46552,1.74307,35.52325701713562,138.020831761,3000.0,200,0.830336,0.993422509204,2200.0,2675.5,0.0698105
33.8644597530365,1552.1832466125488,-0.0235944,11.766,-0.017665,2.46521,0.239326,33.66837763786316,110.358506695,3000.0,200,0.830217,0.99534491285,2400.0,2689.0,0.0089274
32.48184657096863,1584.6823070049286,-0.0149298,11.6625,-0.00456459,2.45638,1.95669,32.187071084976196,118.220133649,3000.0,200,0.826576,0.994800527444,2400.0,2682.0,0.0499575
33.76432275772095,1618.45157122612,-0.185506,11.6359,-0.0073671,2.4541,60.0425,33.423325300216675,117.473401245,3000.0,200,0.825616,0.995098746372,2400.0,2680.0,0.540106
32.0347318649292,1650.4970424175262,-0.00315055,11.5932,0.00990622,2.45041,2.16719,31.850284099578857,118.481011137,2900.0,200,0.824095,0.994638103732,2200.0,2671.5,0.114517
32.455111026763916,1682.9771130084991,-0.00282761,11.6507,0.00671042,2.45537,2.42826,32.208932876586914,129.228479833,3000.0,200,0.826131,0.994134797765,2300.0,2680.0,0.0925651
