NumTrajs,Entropy,StdReturn,ItrTime,ExplainedVariance,MeanKL,MinReturn,AveragePolicyStd,Time,TotalExecTime,MaxReturn,MaxKL,Perplexity,AverageReturn,LossBefore,LossAfter
20,2.69307,2921.51929653,11.172361612319946,0.330717141495,0.739047,2400.0,0.930467,11.172354698181152,10.998936414718628,15500.0,4.46848,14.777,7265.0,0.00239201,-0.121909
20,2.69547,2468.29394522,11.259130477905273,0.75561090063,0.0402425,10100.0,0.931471,22.439860820770264,11.201017379760742,19400.0,0.142881,14.8124,16395.0,-0.00805267,-0.0287959
20,2.69144,1493.14265896,11.844731092453003,0.942839790697,0.0280352,17600.0,0.929612,34.290838956832886,11.641152381896973,23000.0,0.371673,14.7529,20355.0,-0.0134621,-0.0250295
20,2.68471,1824.44512113,11.610538482666016,0.906829718064,0.0209123,15500.0,0.926598,45.90844774246216,11.545449018478394,22200.0,0.547574,14.6539,19780.0,-0.0125972,-0.0217813
20,2.67841,1204.98962651,11.670668601989746,0.963985453693,0.0657805,18100.0,0.923765,57.58716034889221,11.622361421585083,22700.0,1.01792,14.5619,21000.0,0.0115284,-0.0105293
20,2.68417,2752.38078761,11.436368465423584,0.838234172741,0.166789,10200.0,0.926467,69.02753615379333,11.338836193084717,22900.0,2.62949,14.6461,20420.0,-0.0157276,-0.0629259
20,2.67631,1805.12464944,12.00053858757019,0.892947279139,0.201151,15500.0,0.922715,81.03275966644287,11.950956583023071,22200.0,1.66074,14.5314,19155.0,-0.0113016,-0.0599349
