ItrTime,TotalExecTime,MaxReturn,MeanKL,Time,AveragePolicyStd,LossAfter,Entropy,MaxKL,MinReturn,LossBefore,NumTrajs,ExplainedVariance,StdReturn,AverageReturn,Perplexity
12.67559814453125,12.58083462715149,2900.0,0.00945527,383.9452877044678,0.947747,-0.00317254,2.73027,0.355361,0.0,0.00502523,200,0.728286661735,1060.75444849,740.0,15.337
12.746133089065552,12.638436555862427,2800.0,0.0304911,396.6955301761627,0.948958,0.00156299,2.73278,1.55731,0.0,0.0267128,200,0.721175395731,1028.47994633,723.0,15.3755
12.707521915435791,12.640249252319336,2900.0,0.0146717,409.40654015541077,0.955343,-0.0233754,2.74613,0.226142,0.0,-0.0146378,200,0.75564860914,1141.29652151,943.5,15.5823
12.519180059432983,12.47091007232666,2700.0,0.0362391,421.93394327163696,0.951879,-0.0183464,2.73882,1.44072,0.0,-0.000823738,200,0.753172751292,1043.97976513,852.5,15.4686
12.53652286529541,12.455981254577637,2900.0,0.00396736,434.4757328033447,0.951681,-0.019494,2.7384,0.0526464,0.0,-0.0157546,200,0.737373780072,1143.2108292,1063.0,15.4623
12.540225744247437,12.473021507263184,2900.0,0.0508664,447.0265145301819,0.947871,-0.0469226,2.73053,2.91365,0.0,-0.0156555,200,0.711496737221,1119.19334791,947.5,15.341
12.97000241279602,12.890128374099731,2900.0,0.0755553,460.00671005249023,0.944191,-0.0113478,2.7227,5.64621,0.0,0.0126628,200,0.739294399623,1183.15299095,1143.0,15.2213
12.819064378738403,12.748634576797485,2900.0,0.0388188,472.8379821777344,0.947127,-0.0392112,2.72903,0.865217,0.0,-0.0214591,200,0.717351767867,1107.62087377,1126.0,15.318
12.852625608444214,12.764346599578857,2900.0,0.0181222,485.697203874588,0.942042,-0.0235463,2.7183,0.64412,0.0,-0.0176557,200,0.725436471243,1078.73027213,1321.0,15.1545
13.214762926101685,13.12890338897705,2900.0,0.0136995,498.91676211357117,0.937859,-0.0441119,2.70947,0.257815,0.0,-0.034391,200,0.759446526426,1074.76032212,1559.5,15.0213
12.955240249633789,12.877521991729736,2900.0,0.0235171,511.87726068496704,0.929823,-0.0329213,2.69228,0.470443,0.0,-0.0177944,200,0.747854470615,988.075781507,1612.5,14.7653
13.536332607269287,13.419204235076904,2900.0,0.0309505,525.42156291008,0.925718,-0.0201618,2.68338,0.495231,0.0,-0.00420015,200,0.758775703784,933.380817244,1650.5,14.6345
13.068685293197632,13.008560419082642,2900.0,0.0756165,538.4946889877319,0.924756,-0.0437237,2.68128,2.0624,0.0,-0.0193183,200,0.819902829994,848.491455467,1928.5,14.6038
13.062763690948486,12.972988605499268,2900.0,0.0240958,551.5643489360809,0.920296,-0.0113852,2.67162,0.312687,0.0,-0.00181494,200,0.851575145427,733.195744669,2082.0,14.4634
12.885323286056519,12.81702470779419,2900.0,0.0252093,564.454606294632,0.91986,-0.052966,2.67071,0.417495,0.0,-0.0421798,200,0.904256342872,540.925133452,2280.0,14.4503
12.806238651275635,12.726062774658203,3000.0,0.0207013,577.2662198543549,0.910188,-0.0239961,2.64962,0.202538,0.0,-0.0133726,200,0.922808337065,506.921838157,2319.5,14.1487
12.567615985870361,12.506278276443481,2900.0,0.0231073,589.8428950309753,0.907129,-0.0599267,2.64294,0.589802,700.0,-0.0468007,200,0.933365512481,408.547426867,2367.0,14.0544
12.685158729553223,12.61665654182434,3000.0,0.026344,602.5381810665131,0.89658,-0.0251163,2.61954,0.370866,400.0,-0.0171038,200,0.950488544735,362.52965396,2433.5,13.7294
12.670554399490356,12.580060958862305,2900.0,0.0138868,615.2135157585144,0.892752,-0.0311278,2.61098,0.7576,600.0,-0.0221587,200,0.953846917887,327.687350992,2489.0,13.6124
12.681465864181519,12.568985939025879,2900.0,0.0394465,627.9004099369049,0.887821,-0.0267578,2.59991,0.473429,900.0,-0.0191404,200,0.974062566555,266.306214723,2559.0,13.4625
12.73360800743103,12.678079843521118,2900.0,0.00957418,640.6384353637695,0.883583,-0.0482048,2.59034,0.250289,1600.0,-0.0431267,200,0.978371119812,226.776872719,2558.5,13.3342
