Perplexity,MaxKL,MinReturn,TotalExecTime,MaxReturn,Time,StdReturn,ItrTime,LossAfter,AveragePolicyStd,Entropy,LossBefore,AverageReturn,MeanKL,ExplainedVariance,NumTrajs
8.55682,0.0,0.0,1.2483313083648682,0.0,1.3262560367584229,0.0,1.3262641429901123,-0.0,0.708267,2.14673,-0.0,0.0,0.0,1,20
8.55682,0.0,0.0,1.0979087352752686,0.0,2.4966769218444824,0.0,1.1636195182800293,-0.0,0.708267,2.14673,-0.0,0.0,0.0,1,20
