0AveragePolicyStd,0Perplexity,0EnvExecTime,1MaxReturn,0ProcessExecTime,1PolicyExecTime,Time,LossBefore,1ExplainedVariance,MeanKLBefore,0NumTrajs,1MinReturn,0Entropy,1ProcessExecTime,1Perplexity,0ExplainedVariance,0StdReturn,1EnvExecTime,1AveragePolicyStd,MeanKL,dLoss,LossAfter,ComputeUpdatedDistTime,0MaxReturn,ItrTime,1Entropy,1NumTrajs,0PolicyExecTime,1StdReturn,0AverageReturn,0MinReturn,1AverageReturn
1.0,17.0795,17.2407968044281,2900.0,0.6289248466491699,21.364532709121704,77.26704239845276,-2.56113708019e-09,0.167008946291,-1.06228892349e-09,1200,0.0,2.83788,0.5931780338287354,16.9834,0.0869745178807,423.162170122,16.67320990562439,0.997195,0.0091019263491,0.0120399121661,-0.0120399147272,0.6736292839050293,2600.0,77.2670464515686,2.83224,1200,16.251171827316284,586.355972417,132.666666667,0.0,234.083333333
0.998397,17.0243,17.37662410736084,2800.0,0.6480839252471924,21.901232719421387,157.03262877464294,-2.1536834538e-09,0.163629656638,-7.56698592674e-10,1200,0.0,2.83464,0.592383861541748,17.0352,0.120237202832,436.533026624,16.78708553314209,0.998719,0.009929635562,0.00805466034217,-0.00805466249585,0.07944822311401367,2700.0,77.71565675735474,2.83528,1200,17.177139043807983,574.144194045,133.5,0.0,224.666666667
0.999197,17.0515,17.373917818069458,2900.0,0.6510417461395264,21.65061378479004,236.36320805549622,-1.16415321827e-10,0.208189722329,-8.14908474034e-10,1200,0.0,2.83624,0.592334508895874,16.9,0.0882265206557,425.558423982,16.680134296417236,0.99474,0.00943318940699,0.00454199954402,-0.00454199966043,0.09471249580383301,2300.0,77.2603611946106,2.82731,1200,17.09301781654358,695.25462462,133.166666667,0.0,327.916666667
1.00821,17.3552,17.06188702583313,2800.0,0.6430301666259766,22.034711360931396,315.95988368988037,-1.25146470964e-09,0.152577608702,1.3969857493e-09,1200,0.0,2.85389,0.5969069004058838,17.2355,0.0822275393979,433.195843573,16.704366207122803,1.00475,0.00753603316844,0.00725045023137,-0.00725045148283,0.10656309127807617,2400.0,77.52876853942871,2.84697,1200,17.09837055206299,616.767356644,138.833333333,0.0,262.166666667
1.0031,17.1803,17.536569595336914,2700.0,0.6563575267791748,22.04274582862854,396.15373063087463,-2.91038304567e-10,0.14679805244,-1.3969847501e-09,1200,0.0,2.84377,0.6063826084136963,17.1298,0.0857323355095,439.441280365,16.892970085144043,1.00165,0.00735232466832,0.00657597341342,-0.00657597370446,0.10376977920532227,2700.0,78.07230710983276,2.84082,1200,17.046271085739136,629.344185773,138.833333333,0.0,277.25
0.993268,16.8451,17.590717315673828,2900.0,0.6638619899749756,21.95166802406311,476.97692608833313,-1.7462298274e-09,0.164034203922,4.38886011978e-08,1200,0.0,2.82406,0.6035342216491699,16.8192,0.0882548572236,464.199063801,16.777495622634888,0.992559,0.00839868094772,0.00652854435612,-0.00652854610234,0.08971786499023438,2600.0,78.92356204986572,2.82252,1200,17.170976161956787,612.160926554,157.25,0.0,253.0
0.984213,16.5419,17.735504627227783,2800.0,0.6707592010498047,23.2801730632782,557.8642218112946,-1.7462298274e-10,0.184264016916,-2.69229083472e-15,1200,0.0,2.8059,0.6214065551757812,16.425,0.119313338582,490.180741892,16.96504259109497,0.980769,0.00775952264667,0.00404665461974,-0.00404665479437,0.07488059997558594,2600.0,78.78200364112854,2.79881,1200,16.268528938293457,701.483170781,173.583333333,0.0,306.166666667
0.964403,15.8832,17.830005884170532,2800.0,0.6915180683135986,23.207743167877197,639.6028933525085,-7.1304384619e-10,0.157347762988,-1.3271335142e-08,1200,0.0,2.76526,0.6164441108703613,15.8187,0.0760338419837,460.741785663,17.10435390472412,0.962503,-1.02445483208e-08,-3.63797880709e-10,-3.49245965481e-10,0.08889055252075195,2500.0,79.79613757133484,2.76119,1200,16.68407440185547,647.083199184,150.583333333,0.0,290.0
0.964403,15.8832,17.514020204544067,2800.0,0.6788856983184814,23.190040349960327,720.1426677703857,1.51339918375e-09,0.139923203104,-3.07336520677e-08,1200,0.0,2.76526,0.6163163185119629,15.7847,0.0944764984329,481.631710093,17.07317590713501,0.961464,0.00830692518502,0.00576884776819,-0.0057688462548,0.07669615745544434,2500.0,78.81678056716919,2.75904,1200,16.446478366851807,664.685467596,167.25,0.0,298.75
0.951989,15.477,17.319392204284668,2800.0,0.6644566059112549,22.91861605644226,800.2341272830963,-2.03726813197e-09,0.157540347129,1.8626464815e-09,1200,0.0,2.73936,0.6161835193634033,15.3005,0.118576499222,516.267991346,16.883522033691406,0.946563,0.00907770451158,0.00693301000865,-0.00693301204592,0.07762312889099121,2800.0,78.34978222846985,2.72788,1200,16.607075214385986,658.064074683,194.166666667,0.0,306.583333333
0.940234,15.0986,17.440627574920654,2800.0,0.6622622013092041,23.52323079109192,881.5862033367157,-6.2573235482e-10,0.141705823904,-2.79396594749e-09,1200,0.0,2.7146,0.6286211013793945,15.0625,0.0889323750368,496.367632294,17.195231199264526,0.939131,0.00633452925831,0.0052448039205,-0.00524480454624,0.08228015899658203,2600.0,79.10248732566833,2.71221,1200,16.368765115737915,637.818760177,172.416666667,0.0,293.25
