MeanKLBefore,1Perplexity,ItrTime,1AverageReturn,1MaxReturn,1PolicyExecTime,0PolicyExecTime,1Entropy,1StdReturn,0AveragePolicyStd,Time,LossAfter,1MinReturn,1ProcessExecTime,0AverageReturn,0StdReturn,1AveragePolicyStd,0NumTrajs,1NumTrajs,0Perplexity,1ExplainedVariance,ComputeUpdatedDistTime,0MaxReturn,LossBefore,1EnvExecTime,0Entropy,0MinReturn,dLoss,0EnvExecTime,0ProcessExecTime,0ExplainedVariance,MeanKL
-2.54658605314e-09,17.0853,727.5703644752502,145.35,16400.0,255.17136430740356,142.05317759513855,2.83822,799.536351581,1.0,727.5703589916229,-0.00159420375712,0.0,5.89061427116394,87.2,563.166192167,1.00017,2000,2000,17.0794,0.0529740384438,1.121854543685913,8600.0,5.52972778678e-10,147.90628933906555,2.83788,0.0,0.00159420431009,145.7966935634613,6.081857442855835,0.0355834166474,0.00838471576571
-1.16415233009e-09,17.1635,846.1601877212524,459.35,15400.0,313.42426681518555,178.46541833877563,2.84279,1621.36441848,1.00292,1578.608360528946,-0.00133987155277,0.0,6.514183521270752,354.45,1460.38700265,1.00246,2000,2000,17.1794,0.0839918116767,0.262890100479126,16700.0,-1.89174897969e-10,159.30092072486877,2.84371,0.0,0.0013398713636,157.5656032562256,6.52435040473938,0.0641227085979,0.00608388567343
8.73114580635e-10,17.1797,860.9003551006317,673.6,17600.0,310.517991065979,192.51536011695862,2.84373,2347.5696028,1.00324,2444.1395235061646,-0.00167773268186,0.0,6.68102765083313,682.1,2371.67442749,1.00293,2000,2000,17.1905,0.09582560891,0.2910137176513672,19300.0,1.45519152284e-09,160.92228651046753,2.84436,0.0,0.00167773413705,158.90063643455505,6.692213535308838,0.0901170611108,0.00892851594836
1.46828877945e-08,17.0439,896.8803081512451,1584.25,20200.0,327.0259974002838,203.98513913154602,2.83579,4026.65083382,1.00011,3345.5977714061737,-0.00135545653757,0.0,6.775679111480713,1264.4,3408.81983097,0.998959,2000,2000,17.083,0.127596798246,0.24819397926330566,19800.0,1.04773789644e-09,164.56477570533752,2.83809,0.0,0.0013554575853,162.28988695144653,6.938740253448486,0.0917247079439,0.00752020580694
-3.49247575304e-10,16.765,900.5537965297699,2910.6,21600.0,322.127117395401,208.9360544681549,2.81929,5993.61640748,0.991227,4251.124399900436,-0.00152183230966,0.0,6.793806076049805,1966.7,4410.89686005,0.990753,2000,2000,16.7811,0.140878687571,0.25824403762817383,20400.0,-7.27595761418e-11,164.73950576782227,2.82025,0.0,0.0015218322369,163.6935396194458,6.899247884750366,0.080434053943,0.00951682403684
-4.6566284162e-10,16.3694,895.3756484985352,3604.2,22200.0,325.7059772014618,203.65667843818665,2.79541,6886.9167528,0.980139,5151.250115871429,-0.00139173108619,0.0,6.82053542137146,2120.1,4557.58883512,0.979024,2000,2000,16.4068,0.164215568221,0.25531601905822754,20600.0,3.39241523761e-10,164.58366322517395,2.7977,0.0,0.00139173142543,162.92972230911255,6.877588748931885,0.0690376416021,0.00682805618271
-4.65660066062e-10,16.2367,886.479288816452,3803.0,22200.0,320.8004903793335,203.02198362350464,2.78727,6932.15485978,0.975896,6042.200282096863,-0.0021142680198,0.0,6.268162965774536,1975.65,4380.54928947,0.975044,2000,2000,16.2653,0.166046118774,0.251079797744751,21200.0,5.23868948221e-10,162.6533224582672,2.78904,0.0,0.00211426854366,162.08059692382812,6.584315776824951,0.0591457548976,0.00700056646019
1.86264914603e-09,15.9122,890.2517507076263,4829.95,22800.0,319.7645502090454,204.99485516548157,2.76708,8130.85653529,0.967268,6937.064480066299,-0.00197038892657,0.0,6.352685928344727,2394.0,4817.1230003,0.965367,2000,2000,15.9755,0.211724941066,0.26052021980285645,21400.0,1.17142917588e-09,163.40770649909973,2.77106,0.0,0.00197039009799,162.05346608161926,6.393397092819214,0.0641032389406,0.00636556791142
1.86264559332e-09,15.6096,890.0329437255859,5659.0,23100.0,317.5890522003174,204.4187228679657,2.74788,8785.20796567,0.956925,7831.7315237522125,-0.00133109523449,0.0,6.348162412643433,2284.5,4738.47441166,0.956057,2000,2000,15.6382,0.215011607026,0.2531168460845947,21200.0,-1.92812876776e-10,163.72506880760193,2.74971,0.0,0.00133109504168,161.93044090270996,6.394123077392578,0.049223811925,0.00969747267663
-6.51925535777e-09,15.2499,891.8468735218048,6437.05,23100.0,316.3987970352173,205.15644145011902,2.72457,9307.04745327,0.945299,8728.544946670532,-0.00197296636179,0.0,6.35213041305542,2613.65,5206.30374426,0.945084,2000,2000,15.2577,0.294383953509,0.27140307426452637,22300.0,8.8766682893e-10,163.49835085868835,2.72508,0.0,0.00197296724946,162.19819474220276,6.44202184677124,0.0609912201203,0.00657581025735
9.31320576214e-10,15.1712,894.9384059906006,6638.5,23100.0,316.50744676589966,205.40331172943115,2.7194,9454.61991568,0.943909,9628.149771928787,-0.00273438496515,0.0,6.373142719268799,2501.7,4992.07543112,0.942595,2000,2000,15.2142,0.289035491654,0.26006388664245605,22400.0,3.78349795938e-10,164.26002311706543,2.72223,0.0,0.0027343853435,162.5614709854126,6.411454916000366,0.059822003489,0.0098122600466
3.72528763393e-09,15.179,893.5419874191284,8146.2,23600.0,315.77959275245667,205.59256553649902,2.71991,10233.4156351,0.943481,10526.554522514343,-0.00157779944129,0.0,6.345128297805786,1979.5,4186.02314255,0.942752,2000,2000,15.2026,0.305421444511,0.24855637550354004,22000.0,-4.14729584008e-10,164.86887645721436,2.72146,0.0,0.00157779902656,162.43917393684387,6.429402828216553,0.0563560542202,0.0089792041108
