NumTrajs,LossBefore,StdReturn,LossAfter,ItrTime,MaxKL,ExplainedVariance,MaxReturn,Entropy,Perplexity,MinReturn,AverageReturn,Time,MeanKL,TotalExecTime,AveragePolicyStd
200,0.00502628,1060.75444849,-0.00317261,28.672424793243408,0.355418,0.728288097715,2900.0,2.73027,15.337,0.0,740.0,859.3380901813507,0.00945775,28.425768613815308,0.947747
200,0.0267154,1028.47994633,0.00156516,28.36925768852234,1.5573,0.721174153174,2800.0,2.73278,15.3756,0.0,723.0,887.7373678684235,0.0304916,28.125734090805054,0.948958
200,-0.0146395,1141.29652151,-0.0233764,31.42343831062317,0.226202,0.755645657602,2900.0,2.74614,15.5823,0.0,943.5,919.1901619434357,0.0146722,31.189215898513794,0.955344
200,-0.000847556,1043.97976513,-0.0183707,29.987011671066284,1.44078,0.753173267181,2700.0,2.73882,15.4687,0.0,852.5,949.1933946609497,0.0362443,29.717862129211426,0.95188
200,-0.0156273,1143.2108292,-0.0193594,31.112359285354614,0.0531025,0.737387420954,2900.0,2.73839,15.4621,0.0,1063.0,980.3126108646393,0.00396642,30.861141443252563,0.951676
200,-0.0156806,1119.19334791,-0.0469269,30.23042607307434,2.9133,0.711501611879,2900.0,2.73058,15.3418,0.0,947.5,1010.568154335022,0.0508985,29.958236694335938,0.947897
200,0.0125728,1183.15299095,-0.0113928,31.644379377365112,5.62639,0.739321542851,2900.0,2.72274,15.222,0.0,1143.0,1042.2322487831116,0.07534,31.347941875457764,0.94421
200,-0.0215535,1108.00496389,-0.0392507,32.19646978378296,0.865672,0.717717841164,2900.0,2.72903,15.318,0.0,1125.0,1074.4428761005402,0.0387698,31.905847549438477,0.947126
200,-0.0177473,1077.73651697,-0.0236896,32.567845582962036,0.648354,0.72574260327,2900.0,2.71825,15.1538,0.0,1322.0,1107.0187449455261,0.0183372,32.341389894485474,0.942018
200,-0.0344578,1073.76859705,-0.0440901,32.23999500274658,0.25622,0.759075322161,2900.0,2.70937,15.0199,0.0,1561.0,1139.2882509231567,0.013557,31.984992504119873,0.937814
200,-0.0184002,988.200258045,-0.0335507,34.77004361152649,0.471085,0.748828121666,2900.0,2.69215,14.7633,0.0,1614.5,1174.0705907344818,0.0235025,34.51744627952576,0.929764
200,-0.00450233,934.184136025,-0.0205319,34.525688886642456,0.495468,0.759143203961,2900.0,2.68295,14.6281,0.0,1650.0,1208.617645740509,0.0312534,34.23299264907837,0.925522
200,-0.0191543,847.914500407,-0.0432602,32.368648529052734,2.03002,0.819576049028,2900.0,2.68069,14.5952,0.0,1929.0,1241.0126032829285,0.0747076,32.053977251052856,0.924491
200,-0.00219563,734.013623852,-0.0119874,33.906410455703735,0.32568,0.851359255529,2900.0,2.67112,14.4561,0.0,2082.0,1274.931256532669,0.0247908,33.642335653305054,0.920069
200,-0.0415562,540.619783212,-0.0524783,32.79547834396362,0.438574,0.904652984054,2900.0,2.67002,14.4403,0.0,2280.5,1307.7436945438385,0.0258837,32.55341172218323,0.919546
200,-0.0133564,505.485904848,-0.0239774,34.57565951347351,0.206426,0.922759252053,3000.0,2.64924,14.1433,0.0,2322.0,1342.3272213935852,0.0209864,34.23053956031799,0.910017
200,-0.0471199,408.091901414,-0.0605273,34.51542401313782,0.587663,0.933623059258,2900.0,2.64256,14.0492,700.0,2369.0,1376.8566324710846,0.0235975,34.27077293395996,0.90696
200,-0.0166311,360.402205876,-0.024753,33.31845235824585,0.382843,0.950987673558,3000.0,2.619,13.722,400.0,2435.5,1410.2052545547485,0.0263111,33.050846576690674,0.896341
200,-0.0221925,326.156020947,-0.0307109,33.223673582077026,0.698277,0.954254774908,2900.0,2.61069,13.6084,600.0,2491.5,1443.444041967392,0.0133416,32.949413776397705,0.89262
200,-0.0192894,259.595358202,-0.0268343,33.9682514667511,0.500269,0.975476173798,2900.0,2.59959,13.4582,1000.0,2560.5,1477.4236633777618,0.0389816,33.65744090080261,0.887681
200,-0.0439895,225.166604984,-0.0487755,33.316864013671875,0.253354,0.978727698987,2900.0,2.58995,13.3291,1600.0,2560.0,1510.7614495754242,0.00888153,32.95552587509155,0.883412
