Perplexity,MeanKL,ItrTime,NumTrajs,ExplainedVariance,LossBefore,Time,MinReturn,AveragePolicyStd,AverageReturn,Entropy,LossAfter,MaxKL,TotalExecTime,MaxReturn,StdReturn
17.2706,0.00306744,17.367330074310303,20,0.026337835272,-0.00805184,17.367323637008667,0.0,1.00568,5.0,2.849,-0.0113484,0.113515,17.0976243019104,100.0,21.7944947177
17.132,0.0,17.375164031982422,20,1,-0.0,34.7549352645874,0.0,1.00156,0.0,2.84095,-0.0,0.0,17.16840147972107,0.0,0.0
17.132,0.000247414,16.138915300369263,20,0.183002705285,-0.0100354,50.91027545928955,0.0,1.00156,120.0,2.84095,-0.0108472,0.00827378,15.851212501525879,1900.0,417.851648316
17.0463,0.134546,16.60916304588318,20,0.0742869709083,-0.00576065,67.54798293113708,0.0,0.999029,35.0,2.83593,0.0128528,24.5223,16.31653118133545,400.0,96.3068014213
16.9973,0.00356305,17.851670503616333,20,0.203104707237,0.0201915,85.40406322479248,0.0,0.997595,70.0,2.83305,0.0194858,0.532084,17.591912746429443,400.0,134.536240471
17.1697,0.000686653,17.66745376586914,20,0.0984775279108,0.0134745,103.09081411361694,0.0,1.00264,10.0,2.84315,0.0119141,0.0183682,17.470693111419678,100.0,30.0
17.2858,0.000628389,18.29206156730652,20,0.376216993464,0.00753095,121.39922380447388,0.0,1.00603,130.0,2.84989,0.00561553,0.00641517,18.037506103515625,1100.0,296.816441593
