Entropy,TotalExecTime,LossAfter,LossBefore,MeanKL,Time,NumTrajs,AverageReturn,StdReturn,AveragePolicyStd,Perplexity,ItrTime,ExplainedVariance,MaxKL,MinReturn,MaxReturn
2.72206,5.778898477554321,-0.0469217,0.00921801,0.400679,5.842511177062988,20,235.0,251.545224562,0.947542,15.2117,5.842514276504517,0.181760606891,3.70795,0.0,1100.0
2.73128,5.651791572570801,-0.0602865,-0.00772334,0.180593,11.575155973434448,20,15110.0,2739.14220149,0.951819,15.3525,5.7268126010894775,0.643965599195,0.291219,10600.0,19400.0
2.72742,5.911396265029907,-0.0442298,-0.0218232,0.0677667,17.550774097442627,20,21435.0,406.540280907,0.950283,15.2933,5.97146201133728,0.992735852428,0.272874,20600.0,22100.0
2.71651,5.59301495552063,-0.0382984,-0.022579,0.0512216,23.207900762557983,20,21810.0,749.599893276,0.945351,15.1274,5.637834787368774,0.980551259523,0.405374,19200.0,22700.0
2.70522,5.767333269119263,-0.0299802,-0.0223173,0.0227694,29.051419973373413,20,21605.0,465.268739547,0.940152,14.9576,5.832714319229126,0.988062109209,0.0498642,20100.0,22300.0
2.69406,5.749101638793945,-0.019012,-0.0103359,0.0132125,34.85636043548584,20,21975.0,396.074487944,0.934629,14.7916,5.797786712646484,0.991228323035,0.095932,20900.0,22600.0
2.68889,5.484330654144287,-0.0309132,-0.0141465,0.0559658,40.38504505157471,20,22130.0,586.600375042,0.932474,14.7153,5.524473428726196,0.986003212909,0.445315,20300.0,22700.0
