0Perplexity,1Entropy,0EnvExecTime,0MinReturn,Time,1Perplexity,ComputeUpdatedDistTime,0PolicyExecTime,ItrTime,dLoss,1ProcessExecTime,LossBefore,MeanKL,0MaxReturn,1AverageReturn,0ProcessExecTime,1NumTrajs,0ExplainedVariance,0NumTrajs,1StdReturn,1PolicyExecTime,0AveragePolicyStd,1AveragePolicyStd,1ExplainedVariance,0StdReturn,0AverageReturn,0Entropy,1EnvExecTime,MeanKLBefore,1MinReturn,LossAfter,1MaxReturn
17.0795,2.83676,12.632500171661377,0.0,46.33446407318115,17.0604,4.916989088058472,2.201596260070801,46.33446764945984,0.00722311984282,0.28787970542907715,-1.16415377338e-10,0.00805419683456,1500.0,86.25,0.36056089401245117,400,0.0301264852481,400,212.098886136,8.682859659194946,1.0,0.99955,0.0587359909826,179.320941331,62.0,2.83788,10.815407514572144,6.30098029308e-10,0.0,-0.00722311995924,1300.0
16.8083,2.82649,12.02580714225769,0.0,85.35426545143127,16.886,0.45745372772216797,1.8430395126342773,38.14432406425476,0.00627071359195,0.2953977584838867,2.28174035222e-09,0.00649934448302,1200.0,98.75,0.30587291717529297,400,0.0433754880372,400,203.527485859,9.259201526641846,0.992069,0.994522,0.0455995051223,186.775098715,80.25,2.82188,11.531409502029419,2.94530888567e-09,0.0,-0.00627071131021,1500.0
16.962,2.82789,12.207718133926392,0.0,122.49194574356079,16.9097,0.27864742279052734,1.5930125713348389,37.13305687904358,0.00824160047632,0.2642858028411865,1.05064823508e-09,0.00951483845711,2700.0,199.25,0.319854736328125,400,0.0349672065797,400,406.293536129,8.67298173904419,0.996558,0.99512,0.0555735728386,333.157245156,137.5,2.83097,10.95564866065979,-2.32815433598e-11,0.0,-0.00824159942567,2800.0
17.1137,2.84016,12.084753036499023,0.0,160.22937488555908,17.1186,0.31359100341796875,1.62099289894104,36.8979172706604,0.00667429268069,0.2777581214904785,-7.47968464943e-10,0.00925672054291,2200.0,254.75,0.3198716640472412,400,0.0366914629667,400,369.631488783,8.717616558074951,1.00101,1.00128,0.0925344433658,237.902159511,105.25,2.83988,11.183811664581299,-5.88479664998e-09,0.0,-0.00667429342866,2500.0
16.9203,2.81899,12.160154342651367,0.0,196.9449622631073,16.7599,0.2906806468963623,1.6739013195037842,36.710978507995605,0.00636226118077,0.2676205635070801,-1.0011717011e-09,0.00685007125139,2900.0,295.0,0.33091068267822266,400,0.0269054607658,400,372.659361884,8.828196048736572,0.995331,0.990734,0.101482354043,277.506306235,115.5,2.82851,10.812822580337524,-2.99187297159e-09,0.0,-0.00636226218194,2000.0
17.2335,2.83676,12.490253686904907,0.0,234.67195057868958,17.0604,0.3130052089691162,1.691896677017212,36.87734937667847,0.00722574405372,0.2600586414337158,1.0244549653e-09,0.00683128321543,1600.0,311.75,0.31731128692626953,400,0.0385655810757,400,365.837310153,8.650009870529175,1.0045,0.999545,0.103612959277,257.378612165,132.5,2.84685,10.661961317062378,1.27474863998e-09,0.0,-0.00722574302927,2300.0
17.3835,2.85029,12.499864101409912,0.0,272.04000210762024,17.2929,0.3020975589752197,1.8873963356018066,37.36330437660217,0.0075709583587,0.2683901786804199,1.52504076034e-09,0.0091956127435,2600.0,602.0,0.327343225479126,400,0.0349986030947,400,856.297845379,8.685138702392578,1.00892,1.00645,0.0838112037611,351.9970703,178.25,2.85552,11.174975156784058,-2.13622075584e-09,0.0,-0.00757095683366,6300.0
17.0669,2.8339,11.854071617126465,0.0,308.21751165390015,17.0117,0.2936723232269287,1.489302396774292,35.36081004142761,0.00726750716567,0.2631192207336426,-9.31323906883e-11,0.00872041564435,1600.0,489.25,0.30761122703552246,400,0.04654670538,400,574.420958444,8.417704343795776,0.999786,0.998342,0.104334550101,302.224978286,170.25,2.83714,10.410475254058838,-4.19094758897e-10,0.0,-0.0072675072588,3500.0
17.0816,2.83674,11.902521133422852,0.0,345.81786727905273,17.06,0.39838385581970215,1.4748122692108154,37.595876932144165,0.00783510168549,0.33574533462524414,3.14321368933e-09,0.00930958986282,1700.0,690.5,0.3361165523529053,400,0.04619071949,400,907.804907455,9.432750701904297,1.00013,0.999589,0.115541735566,275.589255052,149.25,2.838,11.352088689804077,-3.49245721232e-09,0.0,-0.00783509854227,6800.0
16.5752,2.80169,11.381391525268555,0.0,382.82772302627563,16.4725,0.3236119747161865,1.7864172458648682,36.178109645843506,0.00639363202499,0.2748231887817383,-8.26548884891e-10,0.00656282575801,2100.0,607.75,0.3189723491668701,400,0.0395720703378,400,506.867771218,8.764906644821167,0.985272,0.982373,0.154384642069,338.69012386,183.0,2.80791,10.963845014572144,-3.9581093958e-10,0.0,-0.00639363285154,2800.0
16.5349,2.79846,11.589478731155396,0.0,418.0562870502472,16.4194,0.3371589183807373,1.4731206893920898,35.22133207321167,0.00743522327393,0.25696372985839844,3.44589379253e-09,0.00911149010062,1900.0,730.0,0.308335542678833,400,0.0493832284994,400,657.305104194,8.564600229263306,0.984107,0.98082,0.141479118712,341.730522488,195.5,2.80547,10.432777881622314,3.95812105314e-10,0.0,-0.00743521982804,3900.0
16.3677,2.80197,11.553112506866455,0.0,455.82306694984436,16.4771,0.3103353977203369,1.7140562534332275,36.96099138259888,0.00803693080088,0.28501296043395996,6.86850409881e-10,0.00659102527425,2300.0,782.25,0.2997395992279053,400,0.0573059996459,400,756.445594541,8.7640962600708,0.978944,0.982329,0.153321137368,461.432281055,269.5,2.79531,11.348233222961426,-1.93249349856e-09,0.0,-0.00803693011403,4400.0
16.2319,2.79324,11.690127611160278,0.0,492.45515418052673,16.3338,0.28797245025634766,1.515594720840454,36.627864599227905,0.00736317932606,0.2691817283630371,-1.76951275854e-09,0.00887381471694,1600.0,837.75,0.31192851066589355,400,0.0400414970815,400,834.356001656,9.075170755386353,0.974874,0.978089,0.178742956195,314.130148187,166.5,2.78698,11.003225088119507,-3.25962729031e-10,0.0,-0.00736318109557,5300.0
