LossAfter,MaxKL,TotalExecTime,Time,ExplainedVariance,StdReturn,AveragePolicyStd,ItrTime,LossBefore,MaxReturn,MeanKL,Perplexity,MinReturn,Entropy,AverageReturn,NumTrajs
-0.083744,4.21013,4.967320680618286,5.063128471374512,0.134764773321,212.588216983,0.805297,5.063130617141724,0.0220592,800.0,0.761927,11.0609,0.0,2.40341,232.5,40
-0.0944878,1.85531,4.718728065490723,9.837423324584961,0.705932992885,980.175366962,0.813975,4.769725322723389,-0.0321014,5800.0,0.187437,11.3075,1700.0,2.42547,3997.5,40
-0.0805485,0.836319,4.804008722305298,14.697479486465454,0.89379686283,743.21934851,0.807566,4.854018926620483,-0.0542195,7000.0,0.0331516,11.1275,3700.0,2.40942,5725.0,40
-0.0694184,2.98408,4.677768230438232,19.466281414031982,0.879020485892,1048.49594658,0.796803,4.756430149078369,-0.0361149,7800.0,0.0691223,10.8299,3400.0,2.38231,6462.5,40
-0.0952264,1.17525,4.553387403488159,24.08091425895691,0.881992487896,1027.54257819,0.789468,4.6090004444122314,-0.0597049,8000.0,0.0975108,10.6361,3700.0,2.36425,6537.5,40
-0.0831822,3.1313,4.852839946746826,28.987294912338257,0.90111922513,1054.03688266,0.777771,4.892743110656738,-0.0487806,7800.0,0.109711,10.3233,3000.0,2.3344,6627.5,40
-0.040378,4.0578,4.787539958953857,33.872684478759766,0.882057303009,1047.09120902,0.768193,4.874093770980835,-0.0179115,7700.0,0.0764267,10.0745,2800.0,2.31001,6490.0,40
