AveragePolicyStd,StdReturn,ExplainedVariance,Entropy,MaxKL,LossBefore,MaxReturn,NumTrajs,Perplexity,LossAfter,ItrTime,MinReturn,AverageReturn,Time,MeanKL,TotalExecTime
0.95435,533.291665039,0.139377799849,2.74043,0.435025,0.00416569,2300.0,20,15.4937,-0.0247774,5.334814786911011,100.0,540.0,5.334809303283691,0.141056,5.26272177696228
0.955986,2806.77751167,0.521730298734,2.7446,0.20523,-0.000454442,17400.0,20,15.5584,-0.0297192,5.168147563934326,6800.0,11700.0,10.505773544311523,0.0893844,5.110309362411499
0.955818,1573.56283637,0.909069327376,2.74437,0.173069,-0.0263287,20900.0,20,15.5548,-0.0478985,5.185645580291748,15800.0,18870.0,15.69783878326416,0.0485227,5.145959138870239
0.949939,1303.63913718,0.939497367879,2.73121,0.251984,-0.00165078,20800.0,20,15.3514,-0.0225888,5.62644362449646,15800.0,19405.0,21.327894687652588,0.0697442,5.5415709018707275
0.949413,1462.62606294,0.923870847006,2.73038,0.183877,-0.0373809,21100.0,20,15.3387,-0.0554172,9.342264652252197,16600.0,19515.0,30.674181699752808,0.0555025,9.309738397598267
0.940711,1033.97292034,0.953469955869,2.71169,0.176286,5.07236e-05,20800.0,20,15.0547,-0.0133844,4.995292901992798,17400.0,19470.0,35.67302846908569,0.0387829,4.955425977706909
0.941111,1149.30413729,0.940304325338,2.71172,0.211592,0.000497967,21400.0,20,15.0551,-0.0231957,5.197201251983643,17000.0,19910.0,40.87549805641174,0.0831377,5.167871713638306
