AveragePolicyStd,MaxReturn,NumTrajs,Time,MinReturn,TotalExecTime,ExplainedVariance,MaxKL,Entropy,AverageReturn,Perplexity,StdReturn,ItrTime,LossAfter,MeanKL,LossBefore
1.0,200.0,20,16.105071544647217,0.0,15.73914384841919,0.140344338978,3004.85,2.83788,10.0,17.0795,43.5889894354,16.105077743530273,7.08928,49.7134,0.0132907
1.00668,500.0,20,33.74150371551514,0.0,17.33121657371521,0.0939175334027,28.5906,2.85117,25.0,17.308,108.972473589,17.620054006576538,0.0891375,0.512598,0.0192459
1.01154,400.0,20,48.96947002410889,0.0,15.116040229797363,0.103627948189,9.80883,2.86079,20.0,17.4753,87.1779788708,15.216835021972656,-0.00120245,0.112878,-0.00268643
1.01086,400.0,20,65.72354173660278,0.0,16.558889150619507,0.266289773231,3918.79,2.85945,20.0,17.4519,87.1779788708,16.703919649124146,9.76694,35.3023,-0.00467287
1.00967,0.0,20,82.10178852081299,0.0,16.188765287399292,1,0.0,2.85711,0.0,17.4111,0.0,16.370888710021973,-0.0,0.0,-0.0
1.00967,0.0,20,94.89565515518188,0.0,12.574972152709961,1,0.0,2.85711,0.0,17.4111,0.0,12.768760681152344,-0.0,0.0,-0.0
1.00967,0.0,20,109.97751665115356,0.0,14.924796104431152,1,0.0,2.85711,0.0,17.4111,0.0,15.071304082870483,-0.0,0.0,-0.0
