Entropy,StdReturn,MaxReturn,AverageReturn,MaxKL,ExplainedVariance,LossBefore,TotalExecTime,Time,LossAfter,NumTrajs,ItrTime,Perplexity,MeanKL,MinReturn,AveragePolicyStd
2.60212,167.4246099,2900.0,2587.0,1.23889,0.988960872637,-0.0205906,34.20100164413452,1000.8559966087341,-0.0302997,200,34.53702402114868,13.4923,0.0392348,2000.0,0.889233
2.59182,167.200478468,2900.0,2588.0,2.01477,0.988590424915,-0.0205922,33.61548709869385,1034.6820158958435,-0.0331765,200,33.82005953788757,13.3541,0.0480657,1900.0,0.88468
2.58153,188.318878501,2900.0,2594.0,0.235185,0.987436567516,-0.0352896,33.78457498550415,1068.734540939331,-0.0412871,200,34.04292559623718,13.2173,0.0141969,1300.0,0.880217
2.56388,144.740284648,2900.0,2624.5,0.542358,0.991936610076,-0.0249997,35.2841854095459,1104.3315081596375,-0.0407704,200,35.5694682598114,12.9862,0.0631388,1900.0,0.872433
2.55138,136.483515488,2900.0,2641.5,0.418792,0.992036101408,-0.0245309,33.47280955314636,1138.099425315857,-0.0290738,200,33.754926681518555,12.8248,0.0110284,2200.0,0.867013
2.53912,132.570735836,2900.0,2635.0,0.76493,0.992714080397,-0.011074,32.260908126831055,1170.6824359893799,-0.018915,200,32.559675216674805,12.6685,0.0319454,2300.0,0.861777
2.53358,144.82748358,3000.0,2635.0,0.67523,0.992362094881,-0.0229009,32.21969175338745,1203.23947763443,-0.0328173,200,32.540968894958496,12.5985,0.0438963,2200.0,0.859563
2.52213,145.821809068,2900.0,2644.0,0.227802,0.992212260116,-0.0222085,33.086265563964844,1236.6242740154266,-0.0254581,200,33.375531911849976,12.4551,0.013928,1900.0,0.854669
2.51103,137.680790236,2900.0,2638.0,19.3028,0.993597417674,-0.0241815,31.54112148284912,1268.4932689666748,-0.0501035,200,31.85575294494629,12.3176,0.167131,2300.0,0.849899
2.49894,129.444969002,2900.0,2638.0,1.1483,0.992231089321,0.0110034,33.688783407211304,1302.4431715011597,0.00488824,200,33.93370771408081,12.1695,0.029686,2300.0,0.844878
2.50444,125.258732231,2900.0,2660.5,0.174375,0.994073093924,-0.000809379,33.46618390083313,1336.2184507846832,-0.00381576,200,33.75421094894409,12.2367,0.0126257,2200.0,0.847151
2.50403,123.66790206,2900.0,2667.5,0.653614,0.994611835596,-0.00613635,34.08108735084534,1370.6492476463318,-0.0106911,200,34.411741733551025,12.2317,0.0296284,2300.0,0.847098
2.50097,117.088641635,3000.0,2659.5,0.151576,0.995146483619,-0.00328455,33.95449924468994,1404.9974627494812,-0.0080981,200,34.33541560173035,12.1943,0.0147425,2300.0,0.846002
2.49932,120.660681251,3000.0,2671.0,0.579918,0.99389191592,-0.0130626,33.985334157943726,1439.3473498821259,-0.0201569,200,34.33355641365051,12.1742,0.0359573,2200.0,0.845216
2.49279,124.738726946,2900.0,2665.5,846.829,0.99381304424,-0.00218197,32.47927212715149,1472.1356704235077,-1.42672,200,32.776745557785034,12.095,7.71663,2200.0,0.842522
2.4917,120.129097225,3000.0,2663.0,2.22531,0.993899880207,0.0140867,32.718902349472046,1505.2075390815735,0.00363027,200,33.0472149848938,12.0818,0.0986084,2300.0,0.842133
2.49874,115.758369028,2900.0,2670.0,1.74697,0.994652559225,-0.0141762,33.30640935897827,1538.829962015152,-0.0325384,200,33.60773277282715,12.1672,0.0757425,2300.0,0.844913
2.49165,115.229119584,3000.0,2683.5,0.277107,0.994298973324,0.0138374,34.24393320083618,1573.4463365077972,0.0101998,200,34.59770226478577,12.0813,0.01412,2400.0,0.842094
2.49857,120.6637891,2900.0,2665.5,0.216771,0.994390601381,0.00714451,34.295639753341675,1608.0246942043304,0.0016369,200,34.575517416000366,12.1651,0.0152281,2200.0,0.845054
2.50215,119.973955507,2900.0,2672.5,15.4686,0.994241181009,-0.00779485,32.41734266281128,1640.795981168747,-0.0249519,200,32.76170063018799,12.2087,0.239237,2300.0,0.846657
2.49825,130.476051442,3000.0,2676.0,0.537528,0.993700818162,-0.0148856,33.48849868774414,1674.6699545383453,-0.0204162,200,33.85518765449524,12.1612,0.0362307,2300.0,0.845085
