MinReturn,TotalExecTime,StdReturn,ItrTime,MaxReturn,AveragePolicyStd,Perplexity,Time,LossAfter,NumTrajs,Entropy,MaxKL,ExplainedVariance,MeanKL,LossBefore,AverageReturn
0.0,19.43612051010132,220.227155455,19.68616533279419,700.0,0.935103,14.8902,19.68615984916687,-0.0513606,20,2.7007,2.20711,0.272359704519,0.243384,-0.0130046,150.0
400.0,18.640757083892822,80.4673846972,18.76110601425171,700.0,0.929207,14.6978,38.45189809799194,-0.0166278,20,2.6877,0.117283,0.905105403383,0.00613287,-0.0126643,555.0
500.0,19.205866813659668,64.0312423743,19.419000387191772,700.0,0.926091,14.605,57.87619400024414,0.00476564,20,2.68137,0.126551,0.919729244268,0.00849309,0.00892676,570.0
500.0,19.13943076133728,76.6485485838,19.242515325546265,700.0,0.928263,14.6704,77.13104200363159,-0.0106288,20,2.68583,0.379421,0.910731341038,0.0308205,0.0012606,575.0
500.0,19.421828031539917,86.458082329,19.49416971206665,800.0,0.928606,14.6796,96.63167452812195,-0.0239441,20,2.68646,0.0823256,0.894166843717,0.00669092,-0.0197151,645.0
500.0,19.520973920822144,73.4846922835,19.63865351676941,800.0,0.92398,14.5356,116.28689122200012,-0.00785636,20,2.6766,0.0213821,0.90436037243,0.0033303,-0.00583299,660.0
500.0,19.140347480773926,115.217186218,19.227309465408325,1000.0,0.922656,14.4933,135.51926803588867,-0.0160731,20,2.67369,0.078797,0.887122042129,0.00775172,-0.010745,685.0
