AveragePolicyStd,Time,Perplexity,LossBefore,AverageReturn,MaxReturn,StdReturn,ExplainedVariance,Entropy,MaxKL,MinReturn,LossAfter,ItrTime,MeanKL,TotalExecTime,NumTrajs
0.58088,6.429758787155151,5.67789,0.00149538,55.0,200.0,54.5435605732,0.359981010022,1.73658,1.05727,0.0,-0.0275937,6.429763078689575,0.0878201,6.314112901687622,40
0.580865,12.4574613571167,5.68638,0.00125278,67.5,200.0,64.7591692349,0.265395436608,1.73807,0.923064,0.0,-0.0469029,6.022550344467163,0.398379,5.939772367477417,40
0.580867,20.02915859222412,5.68995,0.010313,55.0,200.0,73.9932429347,0.284760634637,1.7387,0.931114,0.0,-0.0361236,7.566910982131958,0.176101,7.488601207733154,40
0.582343,26.996696710586548,5.71936,0.00607114,102.5,200.0,72.4137417898,0.377476211672,1.74386,0.855582,0.0,-0.0251162,6.9602906703948975,0.232112,6.91534423828125,40
0.583157,32.8356237411499,5.73675,-0.00756203,125.0,200.0,62.2494979899,0.701828611821,1.74689,0.12863,0.0,-0.0174015,5.828238010406494,0.00820749,5.773916959762573,40
0.581808,38.82978343963623,5.7151,-0.00305168,125.0,300.0,66.1437827766,0.658646612864,1.74311,0.0825326,0.0,-0.0160634,5.984800338745117,0.00677243,5.9482550621032715,40
0.581687,44.99537444114685,5.70639,0.00333969,115.0,300.0,72.6291952317,0.612374088514,1.74159,0.259062,0.0,-0.014634,6.156973838806152,0.0305699,6.101769924163818,40
