Entropy,Perplexity,StdReturn,AveragePolicyStd,MaxReturn,MinReturn,LossAfter,ExplainedVariance,LossBefore,NumTrajs,ItrTime,MaxKL,MeanKL,TotalExecTime,AverageReturn,Time
2.78158,16.1446,992.581986538,0.972246,2800.0,0.0,0.00102091,0.733164960864,0.0135946,200,36.14577507972717,0.656029,0.0109143,35.855918169021606,759.0,1087.7390410900116
2.78838,16.2547,1035.35307987,0.975558,2800.0,0.0,-0.0221214,0.768492774931,-0.0158907,200,34.839295625686646,0.232789,0.010726,34.513683795928955,912.0,1122.5969359874725
2.78044,16.1261,968.645962155,0.971693,2800.0,0.0,-0.0333352,0.735841668568,-0.0208513,200,34.628297328948975,0.805366,0.02152,34.35708475112915,825.0,1157.2466404438019
2.77001,15.9588,1069.71666809,0.966642,2900.0,0.0,-0.0333439,0.768662028406,-0.0258462,200,35.30041694641113,0.0846139,0.0108314,34.91072678565979,1072.5,1192.5623879432678
2.75709,15.7539,1043.8984625,0.960418,2900.0,0.0,-0.0256139,0.717219784463,-0.0172211,200,36.03119230270386,0.59868,0.0156426,35.7040696144104,1124.0,1228.6127269268036
2.74848,15.6188,1017.48464362,0.956284,2800.0,0.0,-0.0174495,0.745679912672,-0.00637109,200,34.12660574913025,1.4904,0.0269461,33.841346740722656,1245.0,1262.7588801383972
2.74529,15.5692,904.50594249,0.954763,2900.0,0.0,-0.0383044,0.750136285151,-0.0154426,200,35.25257658958435,0.726564,0.0477332,34.90213918685913,1387.0,1298.0356822013855
2.73757,15.4494,863.364928637,0.951084,3000.0,0.0,-0.0364411,0.809096193408,-0.0243511,200,35.16042518615723,1.00717,0.024899,34.86100459098816,1701.0,1333.2121577262878
2.72539,15.2624,687.451634662,0.945311,3000.0,0.0,-0.0443983,0.829168562123,-0.0275109,200,36.09233069419861,0.252458,0.0274771,35.71806788444519,1935.5,1369.3144297599792
2.71164,15.0539,636.980180225,0.938832,2800.0,0.0,-0.057142,0.866024999832,-0.0272944,200,35.50524067878723,1.16694,0.0620996,35.1057071685791,2057.5,1404.8497490882874
2.69799,14.8499,501.048650332,0.932464,2900.0,200.0,-0.0660864,0.910051282548,-0.0413871,200,35.81377816200256,0.744941,0.0585394,35.5795738697052,2224.5,1440.6828744411469
2.6773,14.5458,315.974286929,0.922893,2900.0,1400.0,-0.045075,0.959712633975,-0.0371262,200,34.092705726623535,0.408846,0.00718338,33.82687830924988,2389.5,1474.7944912910461
2.65874,14.2782,313.138946795,0.914353,3000.0,900.0,-0.0292535,0.962138532701,-0.0169797,200,33.7364022731781,0.460638,0.0291176,33.45807719230652,2438.0,1508.5509679317474
2.65025,14.1575,239.532878745,0.910504,2900.0,1700.0,-0.048166,0.977439415039,-0.0380814,200,34.24120616912842,0.311538,0.0302717,33.95017910003662,2482.0,1542.808512210846
2.6312,13.8905,239.991666522,0.90184,2900.0,1100.0,-0.0562493,0.976175229826,-0.0411696,200,32.95842003822327,0.888659,0.0334608,32.607152223587036,2502.0,1575.7835745811462
2.61062,13.6075,155.459801878,0.89259,2900.0,2000.0,-0.039127,0.989757656193,-0.0242985,200,35.417152404785156,0.940239,0.0514962,35.13969969749451,2586.5,1611.2186615467072
2.59847,13.4432,175.430898077,0.887185,2900.0,1900.0,-0.0403904,0.988073203149,-0.0355768,200,36.27312254905701,0.178717,0.010485,35.97324585914612,2582.0,1647.5089654922485
2.58068,13.2061,156.13375676,0.879328,2900.0,2000.0,-0.0344094,0.990242665065,-0.0150489,200,33.802149057388306,4.28393,0.0470963,33.52146315574646,2608.5,1681.338044643402
2.57316,13.1072,158.237163776,0.876029,3000.0,1900.0,-0.0412224,0.991419088881,-0.0309438,200,34.188957929611206,0.674116,0.0496253,33.850637912750244,2619.0,1715.54469704628
2.55769,12.9059,152.577029726,0.869279,2900.0,2100.0,-0.0318405,0.99135127774,-0.021635,200,31.91957139968872,1.29552,0.0531706,31.55576467514038,2629.5,1747.473266363144
