TotalExecTime,LossBefore,NumTrajs,ItrTime,MeanKL,StdReturn,Entropy,Perplexity,MaxReturn,MaxKL,MinReturn,ExplainedVariance,AverageReturn,LossAfter,AveragePolicyStd,Time
34.02246332168579,0.00205328,200,34.38339161872864,0.00669217,1005.7622731,2.78801,16.2487,2800.0,0.13322,0.0,0.756148148652,756.5,-0.00405702,0.975409,1071.584729194641
35.47762107849121,-0.0253459,200,35.74909973144531,0.00799073,1044.17958226,2.78904,16.2654,2800.0,0.0852433,0.0,0.787819984485,967.0,-0.0312314,0.975957,1107.3417732715607
34.66748237609863,-0.0252594,200,34.980414628982544,0.0124162,962.190079974,2.77637,16.0606,2900.0,0.53323,0.0,0.689422327615,759.5,-0.0363507,0.969782,1142.3415749073029
35.35218524932861,-0.0109006,200,35.628000259399414,0.0253438,1074.87627195,2.76374,15.859,2900.0,0.620727,0.0,0.743832856178,1171.0,-0.0264027,0.963718,1177.9843389987946
35.712801933288574,-0.00731338,200,35.981534481048584,0.0105737,1005.97204236,2.75829,15.7728,2800.0,0.125736,0.0,0.719396341998,1154.5,-0.0152294,0.961105,1213.9818708896637
31.46203303337097,-0.0122159,200,31.75144362449646,0.0117096,942.611266642,2.75463,15.7152,2800.0,0.197466,0.0,0.743219911737,1328.0,-0.0210726,0.959386,1245.7509899139404
35.05662822723389,-0.0247068,200,35.31932353973389,0.0202062,954.772093224,2.74852,15.6196,2800.0,0.29697,0.0,0.779673053826,1535.5,-0.0358495,0.956382,1281.0846621990204
32.722862243652344,-0.0268368,200,32.97644019126892,0.0220811,910.109883476,2.73617,15.4278,2900.0,0.267372,0.0,0.779888893013,1690.0,-0.0385591,0.950503,1314.0804092884064
34.798906326293945,-0.0188234,200,35.14232063293457,0.0110707,796.818517606,2.72275,15.2222,2900.0,0.146886,0.0,0.822535591018,1830.5,-0.0283822,0.944126,1349.2402198314667
35.64332556724548,-0.0287615,200,35.99686026573181,0.0224762,664.318447734,2.71334,15.0796,3000.0,0.4261,0.0,0.834349052626,1959.0,-0.038179,0.939675,1385.251634836197
32.9525249004364,-0.0264676,200,33.24201583862305,0.0798761,548.885233906,2.69896,14.8643,2900.0,2.73044,0.0,0.88019590106,2125.0,-0.0635406,0.932931,1418.5153958797455
34.13753294944763,-0.0384008,200,34.44172954559326,0.022298,498.929854789,2.68573,14.6688,2900.0,0.53552,0.0,0.907193978792,2213.0,-0.0511386,0.926763,1452.9661147594452
36.6930673122406,-0.0193343,200,36.96663045883179,0.0248239,349.279257901,2.66653,14.3899,2900.0,0.394127,1000.0,0.939625471203,2352.0,-0.0300601,0.91791,1489.938430070877
34.780190229415894,-0.0411521,200,35.1083619594574,0.0294177,290.902045369,2.65686,14.2514,2900.0,0.386215,1300.0,0.966211928089,2424.0,-0.0532826,0.913473,1525.0495238304138
35.74050760269165,-0.0558153,200,36.02432680130005,0.0671947,236.617307059,2.63628,13.9612,2900.0,0.572698,1600.0,0.975467390028,2478.5,-0.076735,0.904141,1561.0869522094727
34.02840042114258,-0.0151489,200,34.32457947731018,0.0181565,196.615741994,2.60838,13.577,3000.0,0.320836,2000.0,0.985097986747,2543.5,-0.0220596,0.891631,1595.4343082904816
34.303308963775635,-0.0512514,200,34.60764408111572,0.0573419,216.330765265,2.6008,13.4745,2900.0,0.917574,1700.0,0.983000349866,2549.0,-0.067197,0.888283,1630.0526456832886
34.60766625404358,-0.0491073,200,34.85791349411011,0.00874009,158.043506668,2.57517,13.1336,3000.0,0.0921672,2000.0,0.989286074699,2608.5,-0.055643,0.876964,1664.9175763130188
33.76265907287598,-0.0246361,200,34.047866106033325,0.00796794,152.787434038,2.55062,12.8151,2900.0,0.229358,2000.0,0.990154717903,2616.0,-0.0294356,0.866263,1698.985374212265
34.154290199279785,-0.04375,200,34.40640354156494,0.0421714,151.90457531,2.5383,12.6582,3000.0,0.518035,2200.0,0.990449136395,2605.0,-0.056281,0.860915,1733.4084990024567
