Perplexity,ExplainedVariance,AverageReturn,MaxKL,Time,AveragePolicyStd,LossBefore,MaxReturn,Entropy,NumTrajs,ItrTime,TotalExecTime,StdReturn,LossAfter,MeanKL,MinReturn
5.67789,0.268286910362,185.0,3.27234,6.184782266616821,0.58088,0.00471214,600.0,1.73658,40,6.184786796569824,6.099390983581543,236.167313572,-0.0868351,0.590883,0.0
5.7047,0.532068496593,1620.0,1.7676,13.3746976852417,0.583494,0.0347574,2900.0,1.74129,40,7.1871418952941895,7.105544090270996,626.178888178,-0.0863519,0.540971,0.0
5.80471,0.938138454699,7042.5,0.829588,19.989805936813354,0.589495,-0.0315657,8100.0,1.75867,40,6.609325170516968,6.567368984222412,806.190889306,-0.0804796,0.231018,4300.0
5.71382,0.99582258418,7837.5,0.167709,25.754615306854248,0.584478,-0.0080559,8200.0,1.74289,40,5.757114887237549,5.688394546508789,179.843682124,-0.0202914,0.0149825,7500.0
5.69085,0.996190137609,7902.5,0.270246,31.54531168937683,0.58273,-0.00190318,8200.0,1.73886,40,5.7869226932525635,5.749772787094116,196.834321194,-0.0404103,0.0503107,7600.0
5.68543,0.913162552277,7437.5,0.134848,37.554940700531006,0.581874,0.011607,8200.0,1.73791,40,6.002276182174683,5.92847204208374,1519.48798942,-0.00530719,0.0208608,400.0
5.71853,0.996859044521,8022.5,0.345879,43.4591326713562,0.583337,-0.0336408,8300.0,1.74371,40,5.899046897888184,5.863075256347656,169.539818332,-0.0566513,0.0581874,7400.0
