MaxKL,Entropy,ItrTime,TotalExecTime,LossBefore,ExplainedVariance,MeanKL,StdReturn,LossAfter,MaxReturn,Time,AveragePolicyStd,AverageReturn,MinReturn,NumTrajs,Perplexity
0.130385,2.44891,21.605462551116943,21.52404808998108,-0.031221,0.992292278286,0.0318425,142.91256068,-0.0388482,2900.0,610.337566614151,0.823261,2626.0,2200.0,200,11.5757
0.0266735,2.4333,21.068994998931885,20.93784761428833,-0.0264783,0.993801457945,0.00587517,128.448433233,-0.0289816,3000.0,631.4198064804077,0.81686,2649.0,2300.0,200,11.3964
0.0653421,2.42006,21.221498727798462,21.121524333953857,-0.0149033,0.993385614819,0.0131905,135.202625714,-0.0201375,3000.0,652.6442296504974,0.811473,2645.5,2000.0,200,11.2466
0.111689,2.41261,22.947836875915527,22.878296852111816,-0.00599328,0.992504870323,0.0206322,141.38511237,-0.0110896,3000.0,675.5973527431488,0.808469,2635.5,2200.0,200,11.1631
0.181761,2.40961,23.267605543136597,23.172446250915527,-0.0200398,0.994667108759,0.0324565,126.491106407,-0.0266421,3000.0,698.8761599063873,0.807262,2660.0,2200.0,200,11.1297
0.0373688,2.39959,23.68748378753662,23.5790114402771,-0.0438526,0.993656691066,0.0102365,133.787144375,-0.047471,3000.0,722.5710706710815,0.803215,2649.0,2300.0,200,11.0187
0.0942123,2.37767,23.47230315208435,23.33465027809143,-0.00680589,0.994627587907,0.0144217,123.059944742,-0.0104597,3000.0,746.055609703064,0.79445,2677.5,2300.0,200,10.7797
0.101475,2.37426,23.380208730697632,23.244685173034668,-0.0194499,0.993914267455,0.00992158,128.701204346,-0.0226784,3000.0,769.4398741722107,0.7931,2644.0,2300.0,200,10.7431
0.134797,2.36454,23.301482677459717,23.19396710395813,0.000621978,0.993547945227,0.0264753,136.226832893,-0.00503591,2900.0,792.746589422226,0.789253,2668.5,2200.0,200,10.6391
0.0819137,2.36485,22.991493225097656,22.902214288711548,-0.00648638,0.99385266154,0.0189682,136.656503687,-0.00999322,2900.0,815.744574546814,0.789382,2655.0,2200.0,200,10.6424
0.133175,2.36161,22.765116453170776,22.642808437347412,-0.00234482,0.994406369066,0.0173741,116.145383034,-0.00793333,3000.0,838.5271558761597,0.788107,2660.5,2300.0,200,10.608
0.0697328,2.36044,23.459392786026,23.269339561462402,-0.00888165,0.995339051917,0.00747699,116.721891691,-0.0108909,3000.0,861.9922873973846,0.787652,2676.0,2400.0,200,10.5956
