NumTrajs,ItrTime,StdReturn,MinReturn,MaxReturn,Time,MeanKL,AveragePolicyStd,LossBefore,TotalExecTime,Perplexity,LossAfter,ExplainedVariance,Entropy,AverageReturn,MaxKL
200,34.144848585128784,1060.75444849,0.0,2900.0,1008.6952939033508,0.00945527,0.947747,0.00502523,33.91516971588135,15.337,-0.00317256,0.728286679172,2.73027,740.0,0.355362
200,33.39674520492554,1028.47994633,0.0,2800.0,1042.120793581009,0.030491,0.948958,0.0267128,33.16622996330261,15.3755,0.00156302,0.721175405537,2.73278,723.0,1.55731
200,32.48110818862915,1141.29652151,0.0,2900.0,1074.6257026195526,0.0146717,0.955343,-0.0146377,32.22711515426636,15.5823,-0.0233754,0.755648616438,2.74613,943.5,0.226142
200,32.32722878456116,1043.97976513,0.0,2700.0,1106.9880695343018,0.0362391,0.95188,-0.000823739,32.06683349609375,15.4686,-0.0183464,0.753172757927,2.73882,852.5,1.44071
200,30.84034776687622,1143.2108292,0.0,2900.0,1137.835772037506,0.00396737,0.951681,-0.0157546,30.57329511642456,15.4623,-0.019494,0.737373787923,2.7384,1063.0,0.0526472
200,32.26032996177673,1119.19334791,0.0,2900.0,1170.1061272621155,0.0508666,0.947871,-0.0156555,31.98138976097107,15.341,-0.0469227,0.711496768147,2.73053,947.5,2.91368
200,32.41117024421692,1183.15299095,0.0,2900.0,1202.537935256958,0.0755554,0.944191,0.0126627,32.159892559051514,15.2213,-0.0113479,0.73929440466,2.7227,1143.0,5.6462
200,33.99548292160034,1107.62087377,0.0,2900.0,1236.5564513206482,0.0388188,0.947127,-0.0214591,33.68894147872925,15.318,-0.0392112,0.717351715612,2.72903,1126.0,0.865217
200,34.434985637664795,1078.73027213,0.0,2900.0,1271.0077641010284,0.018122,0.942042,-0.0176557,34.20354962348938,15.1545,-0.0235462,0.725436409376,2.7183,1321.0,0.644118
200,34.36596632003784,1074.76032212,0.0,2900.0,1305.393324136734,0.0137,0.937859,-0.0343911,34.05604958534241,15.0214,-0.0441121,0.75944710211,2.70947,1559.5,0.257829
200,34.05143332481384,988.075781507,0.0,2900.0,1339.460556268692,0.0235144,0.929823,-0.0177947,33.78698444366455,14.7653,-0.0329211,0.747851957548,2.69228,1612.5,0.470443
200,35.29917788505554,933.380817244,0.0,2900.0,1374.7802002429962,0.0309485,0.925718,-0.00420426,34.96562123298645,14.6345,-0.0201656,0.758779764476,2.68338,1650.5,0.495228
200,32.7581250667572,848.491455467,0.0,2900.0,1407.5502285957336,0.0755984,0.924755,-0.0193318,32.47342920303345,14.6037,-0.0437329,0.819896350949,2.68128,1928.5,2.06203
200,32.47413492202759,733.285585567,0.0,2900.0,1440.028977394104,0.0239032,0.920292,-0.0017574,32.15242266654968,14.4633,-0.0112772,0.851275854385,2.67161,2081.5,0.311269
200,35.58881592750549,540.397770166,0.0,2900.0,1475.635104417801,0.0244736,0.919869,-0.0424716,35.297199726104736,14.4506,-0.0530229,0.904334651113,2.67073,2279.5,0.405057
200,32.98506951332092,509.026276336,0.0,3000.0,1508.6313076019287,0.020589,0.910131,-0.0137859,32.698808670043945,14.1469,-0.0244254,0.921490734947,2.6495,2318.5,0.198197
200,32.905184268951416,408.812609884,700.0,2900.0,1541.5474727153778,0.0233877,0.906979,-0.0475126,32.68741488456726,14.0497,-0.0607251,0.933091935728,2.6426,2366.5,0.600833
200,31.926278114318848,364.020603812,400.0,3000.0,1573.495944738388,0.0274973,0.896272,-0.0174079,31.655081033706665,13.7199,-0.0257287,0.949961212173,2.61885,2433.0,0.39041
200,31.042399883270264,326.863503622,600.0,2900.0,1604.551351070404,0.0139356,0.892377,-0.0209629,30.918217182159424,13.601,-0.029897,0.954016003361,2.61014,2489.5,0.739035
200,33.26967930793762,261.323075904,1000.0,2900.0,1637.8267438411713,0.0406333,0.887713,-0.0191413,32.975674629211426,13.4592,-0.0270019,0.975171460991,2.59966,2560.5,0.508014
200,34.43631887435913,226.074655811,1600.0,2900.0,1672.2675564289093,0.00924185,0.883475,-0.0434331,34.04534888267517,13.331,-0.0483593,0.978530549867,2.59009,2559.5,0.25251
