Perplexity,Entropy,MeanKL,ExplainedVariance,MinReturn,AverageReturn,LossAfter,MaxKL,AveragePolicyStd,Time,NumTrajs,StdReturn,ItrTime,LossBefore,TotalExecTime,MaxReturn
17.1557,2.84233,0.193711,0.63887132782,0.0,810.0,-0.00465747,1.29164,1.00326,10.791799545288086,20,556.686626389,10.791805028915405,0.0102412,10.70175838470459,1700.0
17.3323,2.85257,0.0648285,0.165230454357,0.0,4140.0,-0.0185661,0.194739,1.00841,21.46031379699707,20,2024.69750827,10.666106700897217,-0.00380579,10.586611032485962,7700.0
17.2993,2.85067,0.118221,0.373041551061,7300.0,12570.0,-0.0114314,0.191166,1.00723,32.17328357696533,20,3650.08219086,10.705889225006104,0.0161746,10.614563465118408,20600.0
17.4398,2.85876,0.238353,0.764998967041,19900.0,28275.0,-0.0491329,0.443754,1.01111,42.527748823165894,20,3809.83923545,10.350929260253906,-0.0044371,10.276745080947876,34300.0
17.4012,2.85654,0.0826304,0.807482463655,24200.0,29000.0,-0.0353028,0.161351,1.00982,53.12854981422424,20,2972.54100056,10.59689450263977,-0.00946478,10.526925325393677,35000.0
17.319,2.8518,0.286261,0.703548036307,15700.0,26800.0,-0.0612791,0.558778,1.00735,63.760276556015015,20,4464.52685063,10.627644062042236,0.00388113,10.572165489196777,34400.0
17.3526,2.85374,0.149075,0.442327814093,8700.0,14405.0,-0.0455336,0.430009,1.00837,74.32110929489136,20,4342.51943001,10.55668830871582,-0.0012561,10.519672632217407,27100.0
