MaxReturn,MaxKL,MeanKL,ItrTime,ExplainedVariance,NumTrajs,LossBefore,TotalExecTime,Entropy,StdReturn,AverageReturn,MinReturn,AveragePolicyStd,Perplexity,LossAfter,Time
3500.0,156.56,1.74887,5.328569412231445,0.409282422051,40,-0.0054947,5.248879909515381,2.79458,700.785273818,1830.0,200.0,0.982009,16.3558,-0.211963,5.328566312789917
2600.0,5.57871,0.456852,5.066812038421631,0.250254974501,40,-0.0021014,5.001858472824097,2.78909,549.454274713,810.0,0.0,0.979607,16.2662,-0.109693,10.40005373954773
5700.0,0.754997,0.0293456,6.633539199829102,0.613798586821,40,-0.0175376,6.586139440536499,2.78804,1211.18743388,3455.0,800.0,0.979572,16.2491,-0.0339458,17.05298924446106
6100.0,10.5285,0.131128,5.146261930465698,0.634322783269,40,-0.0127216,5.103630304336548,2.77927,1201.23894376,3805.0,1300.0,0.975326,16.1072,-0.0518182,22.204556941986084
6400.0,0.495192,0.0918719,5.268424987792969,0.619455995758,40,-0.0198321,5.188268423080444,2.77291,1064.04593416,3907.5,1400.0,0.972109,16.0051,-0.0517004,27.476964950561523
6800.0,86.0376,0.225799,5.4042885303497314,0.761430522259,40,-0.0301164,5.319349050521851,2.76299,978.107228273,4567.5,1900.0,0.966758,15.8472,-0.0717533,32.88520097732544
6500.0,3.18309,0.0819746,5.905374765396118,0.754127212469,40,-0.0261103,5.818763017654419,2.74793,1204.57201943,4727.5,1700.0,0.958816,15.6103,-0.0577039,38.796757221221924
