MinReturn,LossBefore,Entropy,AverageReturn,StdReturn,NumTrajs,Perplexity,ItrTime,AveragePolicyStd,MeanKL,LossAfter,MaxReturn,Time,MaxKL,ExplainedVariance
2300.0,-0.0192822,2.40901,2674.0,126.190332435,200,11.1229,16.300147533416748,0.807042,0.00102973,-0.0204546,3000.0,524.888267993927,0.0055275,0.994482577336
2200.0,0.00230161,2.39936,2654.0,136.689428999,200,11.0162,16.52355694770813,0.803122,0.0114616,-0.00172057,2900.0,541.6126770973206,0.0387436,0.993321240957
2300.0,-0.000136392,2.40052,2665.5,140.569377889,200,11.0289,16.462040662765503,0.803586,0.00231236,-0.00222161,3000.0,558.264993429184,0.0207055,0.993430552883
2300.0,-0.0249375,2.40045,2681.0,119.327281038,200,11.0281,16.320975065231323,0.803551,0.00168185,-0.0261922,3100.0,574.78600025177,0.0068479,0.994078229871
2300.0,-0.0216739,2.38798,2666.5,122.587723692,200,10.8915,16.025287866592407,0.798559,0.0219866,-0.0275226,2900.0,591.1272225379944,0.101268,0.994035830731
2400.0,-0.00765493,2.37714,2668.0,119.899958299,200,10.7741,16.178399562835693,0.79427,0.0297677,-0.0138541,3000.0,607.4943714141846,0.223424,0.994432924658
2400.0,-0.00193468,2.37331,2673.0,118.198984767,200,10.7329,16.26205015182495,0.792777,0.00493478,-0.00368902,3000.0,623.943550825119,0.0301044,0.995208915808
2300.0,-0.00316455,2.37235,2664.5,117.854783526,200,10.7225,16.18079710006714,0.792367,0.0108865,-0.00750473,2900.0,640.3253536224365,0.045744,0.994709273355
2300.0,0.00313899,2.37077,2667.0,114.065770501,200,10.7056,16.16890811920166,0.791776,0.0260781,-0.00386299,3000.0,656.7042379379272,0.104763,0.994848057861
2200.0,-0.0136355,2.37233,2674.5,124.497991952,200,10.7224,15.266196727752686,0.792379,0.00608625,-0.0157093,3000.0,672.1749577522278,0.0247733,0.99487703193
2200.0,-0.0186844,2.36552,2673.5,125.887846911,200,10.6495,14.828409194946289,0.789696,0.00701993,-0.0225915,2900.0,687.1917955875397,0.0758816,0.994118994581
2300.0,-0.0173275,2.35617,2675.0,116.940155635,200,10.5505,14.889772653579712,0.786037,0.0051649,-0.0196165,2900.0,702.2546029090881,0.0184809,0.99445953101
2400.0,-0.00471215,2.34751,2671.0,107.976849371,200,10.4595,14.759214162826538,0.78264,0.0103172,-0.00873128,2900.0,717.2031507492065,0.0743672,0.995283033681
2400.0,-0.0109301,2.34515,2672.0,114.087685576,200,10.4349,14.758297204971313,0.781726,0.00679372,-0.012946,2900.0,732.155880689621,0.0399787,0.995215137821
2300.0,-0.00552339,2.33969,2677.5,125.871958752,200,10.378,14.690695762634277,0.779623,0.0218875,-0.0103179,3100.0,747.0438306331635,0.126057,0.994493885335
2300.0,-0.0110746,2.33693,2686.0,114.908659378,200,10.3494,14.905084133148193,0.778539,0.00155015,-0.0122543,2900.0,762.1314842700958,0.0128587,0.994563205759
2300.0,-0.0146038,2.33139,2664.0,122.898331966,200,10.2922,14.59469199180603,0.776362,0.00131394,-0.015494,2900.0,777.0185358524323,0.00480595,0.994600529847
2300.0,-0.0122175,2.32409,2690.5,121.489711499,200,10.2174,14.616309642791748,0.773556,0.0239416,-0.0169104,3000.0,791.8301889896393,0.0728481,0.994446579318
2200.0,-0.00421202,2.31798,2659.5,130.037494593,200,10.1551,14.761066436767578,0.771208,0.0527457,-0.0140153,2900.0,806.7931187152863,0.184566,0.993893002108
