Entropy,TotalExecTime,NumTrajs,StdReturn,MaxReturn,LossAfter,MaxKL,MeanKL,ExplainedVariance,AverageReturn,Time,AveragePolicyStd,Perplexity,MinReturn,ItrTime,LossBefore
2.4367,3.754042625427246,40,589.655619832,2700.0,-0.125032,1.7108,0.767845,0.274331407738,967.5,3.831930160522461,0.82843,11.4353,200.0,3.8319337368011475,-0.00179175
2.43491,3.7686610221862793,40,410.944035119,1900.0,-0.024926,0.260041,0.059985,0.37577550346,875.0,7.674050807952881,0.826005,11.4148,100.0,3.8380439281463623,-0.000115164
2.43485,4.059889316558838,40,731.671886845,3300.0,-0.0768312,0.490106,0.144229,0.483936652873,2062.5,11.786443948745728,0.825434,11.4142,600.0,4.105915307998657,-0.0357083
2.417,4.54131293296814,40,980.022321174,6000.0,-0.0949853,0.595712,0.171407,0.620364233578,3882.5,16.38182258605957,0.818465,11.2122,1500.0,4.587295293807983,-0.0470871
2.39346,3.9288671016693115,40,739.662085009,6100.0,-0.0983947,1.41632,0.454121,0.820980652128,4530.0,20.35332226753235,0.808706,10.9513,2700.0,3.9666452407836914,-0.0297808
2.37857,4.18695068359375,40,873.180250578,5800.0,-0.252868,2.85503,1.55003,0.69996863527,3957.5,24.60426378250122,0.802728,10.7894,2100.0,4.241905927658081,-0.0701333
2.3435,3.927692174911499,40,650.749567806,4000.0,-0.175523,2.95088,1.13175,0.699616329746,2895.0,28.574034690856934,0.78777,10.4176,1700.0,3.964193820953369,-0.0208848
