MaxKL,Perplexity,AveragePolicyStd,MeanKL,ExplainedVariance,AverageReturn,LossAfter,TotalExecTime,Time,LossBefore,MaxReturn,Entropy,StdReturn,MinReturn,NumTrajs,ItrTime
0.216617,17.1557,1.00326,0.0443159,0.335732768762,245.0,0.00706517,10.749509811401367,10.85959792137146,0.0149771,1800.0,2.84233,586.919926395,0.0,20,10.859601736068726
0.0360874,17.4146,1.01096,0.00914153,0.48841215384,1040.0,0.00689705,10.516822099685669,21.44312310218811,0.0109658,3700.0,2.85731,1064.6126056,0.0,20,10.580986499786377
0.0513479,17.5103,1.0136,0.0107248,0.504678370898,1220.0,-0.0126471,10.661449432373047,32.14679312705994,-0.00616631,2800.0,2.86279,968.297474953,0.0,20,10.698917388916016
0.0395618,17.4564,1.012,0.0118447,0.531171719818,1400.0,-0.0165108,10.727665185928345,42.94392514228821,-0.0112487,3000.0,2.85971,899.444272871,0.0,20,10.793497562408447
0.057949,17.3585,1.00915,0.014056,0.504243606501,1200.0,-0.0125386,10.332491159439087,53.342100620269775,-0.00570671,3600.0,2.85408,1205.8192236,0.0,20,10.391123294830322
0.0799436,17.309,1.00764,0.0441402,0.711890750496,1715.0,-0.0290849,10.78272294998169,64.17477130889893,-0.0177383,3000.0,2.85123,754.503147773,0.0,20,10.825473070144653
0.172867,17.1562,1.00329,0.0508245,0.483674524635,2570.0,-0.00844039,10.693665027618408,74.94151782989502,0.00168511,6400.0,2.84236,1257.81556677,0.0,20,10.761110782623291
