Perplexity,AveragePolicyStd,MaxKL,StdReturn,MeanKL,AverageReturn,ItrTime,Time,MaxReturn,LossBefore,NumTrajs,Entropy,LossAfter,ExplainedVariance,MinReturn
12.3201,0.84933,0.0824487,264.941031175,0.026965,2327.5,12.861315965652466,516.1124536991119,2900.0,-0.0570737,200,2.51123,-0.0781303,0.970599054307,1500.0
11.9735,0.837302,0.0489083,217.025344142,0.0150552,2410.0,11.863907814025879,528.2645273208618,3100.0,-0.065268,200,2.48269,-0.0781089,0.980143497091,1600.0
11.589,0.823739,0.0740118,194.779362356,0.0235834,2469.0,11.977759599685669,540.4398138523102,2900.0,-0.0472797,200,2.45006,-0.0627894,0.984406076442,1800.0
11.3183,0.814058,0.0420136,171.464281995,0.0127091,2510.0,11.89363718032837,552.5114562511444,2900.0,-0.0486659,200,2.42642,-0.0577129,0.989314074175,2100.0
11.0462,0.80421,0.0808042,157.097899413,0.0188706,2554.5,11.936671733856201,564.6935942173004,2900.0,-0.0462198,200,2.40209,-0.0568718,0.989520371063,2100.0
10.7939,0.794972,0.0771522,149.565203172,0.0213108,2580.5,11.929774522781372,576.8027141094208,2900.0,-0.0354891,200,2.37898,-0.0456558,0.991815519956,2100.0
10.604,0.787949,0.0241769,152.439332195,0.00586014,2603.5,11.953885316848755,588.9416511058807,3000.0,-0.0283608,200,2.36123,-0.0326216,0.991887804571,2000.0
10.4547,0.782385,0.00985964,153.293835492,0.00324907,2599.0,12.027770280838013,601.1410195827484,2900.0,-0.0301441,200,2.34705,-0.0327733,0.990997722448,1900.0
10.2983,0.776514,0.0392785,141.801798296,0.0121677,2618.5,11.974108219146729,613.307564496994,2900.0,-0.0498642,200,2.33198,-0.0562085,0.993418316736,2000.0
10.0447,0.766888,0.0184658,134.085793431,0.00661539,2611.0,12.035358667373657,625.5336923599243,2900.0,-0.053408,200,2.30705,-0.0575492,0.9921274664,2200.0
9.78005,0.756717,0.0267932,125.853088957,0.00868315,2631.0,11.984304428100586,637.7028429508209,2900.0,-0.0339255,200,2.28034,-0.0375187,0.993887083968,2200.0
9.61555,0.750326,0.0101101,131.140192161,0.00174235,2651.5,12.021134614944458,649.9355661869049,2900.0,-0.022292,200,2.26338,-0.0246023,0.993397891511,2200.0
9.50897,0.746156,0.078883,125.662245722,0.0208336,2647.0,11.96617341041565,662.1887183189392,2900.0,-0.0301864,200,2.25224,-0.0376419,0.993451838789,2200.0
9.36653,0.740557,0.0124279,123.805290679,0.00310658,2658.5,12.017657279968262,674.4042484760284,2900.0,-0.0343437,200,2.23714,-0.0367096,0.994760346398,2300.0
9.20706,0.734216,0.0133446,120.240384231,0.00423466,2656.5,11.938864469528198,686.5734648704529,2900.0,-0.00112564,200,2.21997,-0.00256118,0.994456053945,2300.0
9.20188,0.734009,0.0194582,119.790442023,0.00348473,2675.5,12.027313947677612,698.7789604663849,3000.0,-0.00717146,200,2.21941,-0.0088981,0.994675959016,2400.0
9.16895,0.732694,0.00762251,138.36094102,0.0019806,2657.5,11.99315333366394,710.9568359851837,3000.0,-0.0195428,200,2.21582,-0.0210481,0.993768153782,2200.0
9.07979,0.729124,0.0205066,121.423844446,0.00582563,2682.5,11.998613834381104,723.1398038864136,3000.0,-0.0179304,200,2.20605,-0.0207431,0.994868978231,2300.0
