AverageReturn,StdReturn,Time,Perplexity,Entropy,LossAfter,ExplainedVariance,NumTrajs,LossBefore,ItrTime,AveragePolicyStd,MinReturn,MaxReturn,MeanKL,TotalExecTime,MaxKL
4012.5,740.333539697,4.916762590408325,5.67789,1.73658,-0.356441,0.770659424634,40,0.0024397,4.916766881942749,0.58088,2600.0,5600.0,3.71207,4.838184118270874,8.48511
1527.5,764.194837721,9.588510751724243,5.69176,1.73902,-0.11334,0.410996773976,40,0.0212234,4.667604446411133,0.581948,100.0,3500.0,0.494428,4.575474739074707,1.50215
6867.5,616.192948678,14.470681190490723,5.75248,1.74963,-0.0964407,0.95272930793,40,-0.050653,4.878051042556763,0.585011,5100.0,7600.0,0.183186,4.832237720489502,0.604427
7537.5,295.539760438,20.24810266494751,5.60862,1.7243,-0.06921,0.990490822875,40,-0.0528845,5.770389080047607,0.577489,6600.0,8200.0,0.013468,5.72629714012146,0.160156
7650.0,260.768096208,25.145068645477295,5.46226,1.69786,-0.0397585,0.992551245756,40,-0.0206951,4.887683391571045,0.569425,6900.0,8200.0,0.0438961,4.80356240272522,0.288145
7740.0,289.654967159,29.710657119750977,5.40603,1.68751,-0.0293876,0.992889642621,40,-0.0120437,4.562818288803101,0.566126,6800.0,8300.0,0.0446242,4.519447326660156,0.159645
7692.5,291.021906392,34.79936075210571,5.37357,1.68149,-0.0207534,0.993136257789,40,0.0062994,5.0762763023376465,0.564227,6900.0,8300.0,0.0543719,4.962717294692993,0.783483
