LossAfter,AverageReturn,ItrTime,MeanKL,TotalExecTime,Perplexity,MaxKL,StdReturn,Entropy,AveragePolicyStd,LossBefore,Time,MinReturn,MaxReturn,ExplainedVariance,NumTrajs
-0.0181656,82.35,100.14845561981201,0.106899,99.80495929718018,11.7357,93.2692,315.837739195,2.46264,0.828962,-0.000324257,100.14845204353333,0.0,2400.0,0.318909254883,2000
-0.0184817,290.0,105.21423006057739,0.0215451,104.86632442474365,11.7319,14.4855,644.026396975,2.46231,0.828847,-0.0119465,205.36547470092773,0.0,2800.0,0.56724994717,2000
-0.00769518,386.7,102.06073808670044,0.0125452,101.73875546455383,11.662,2.68801,732.006222651,2.45634,0.826373,-0.00342902,307.42844223976135,0.0,2800.0,0.615173849961,2000
-0.0156057,458.7,105.57412791252136,0.0252397,105.20798826217651,11.6421,32.0183,805.142415974,2.45462,0.825667,-0.00744846,413.0056269168854,0.0,2800.0,0.642848683605,2000
-0.0230619,607.5,105.01949310302734,0.035424,104.70502948760986,11.5988,23.5518,906.953003193,2.4509,0.82413,-0.0117683,518.0295388698578,0.0,2900.0,0.697876975321,2000
-0.0247361,696.65,116.36128067970276,0.0186508,116.00113677978516,11.5307,14.3582,958.015541367,2.44502,0.82171,-0.00858688,634.3939974308014,0.0,2900.0,0.70952052692,2000
-0.0182981,790.6,99.98931050300598,0.0305317,99.67609572410583,11.4813,18.5476,995.289726663,2.44072,0.819942,-0.00926717,734.3862419128418,0.0,3000.0,0.72502916646,2000
