LossAfter,MaxKL,AverageReturn,Perplexity,LossBefore,ItrTime,Time,ExplainedVariance,NumTrajs,StdReturn,MeanKL,AveragePolicyStd,TotalExecTime,Entropy,MinReturn,MaxReturn
-0.0,0.0,0.0,11.7087,-0.0,7.899083852767944,7.899078607559204,1,20,0.0,0.0,0.828509,7.833038806915283,2.46033,0.0,0.0
-0.0,0.0,0.0,11.7087,-0.0,7.84859824180603,15.751902103424072,1,20,0.0,0.0,0.828509,7.748748540878296,2.46033,0.0,0.0
-0.0,0.0,0.0,11.7087,-0.0,7.5201780796051025,23.274935007095337,1,20,0.0,0.0,0.828509,7.4310057163238525,2.46033,0.0,0.0
-0.0,0.0,0.0,11.7087,-0.0,7.611715793609619,30.889256477355957,1,20,0.0,0.0,0.828509,7.584397077560425,2.46033,0.0,0.0
-0.0,0.0,0.0,11.7087,-0.0,7.7693703174591064,38.663116216659546,1,20,0.0,0.0,0.828509,7.715099096298218,2.46033,0.0,0.0
-0.0,0.0,0.0,11.7087,-0.0,7.797395944595337,46.473899126052856,1,20,0.0,0.0,0.828509,7.76884126663208,2.46033,0.0,0.0
-0.0,0.0,0.0,11.7087,-0.0,7.880203723907471,54.3577446937561,1,20,0.0,0.0,0.828509,7.838399648666382,2.46033,0.0,0.0
