ExplainedVariance,Entropy,MaxReturn,LossAfter,ItrTime,LossBefore,AverageReturn,StdReturn,MeanKL,MaxKL,AveragePolicyStd,Perplexity,TotalExecTime,Time,MinReturn,NumTrajs
0.72952318767,2.72949,2900.0,-0.00338228,35.930774211883545,0.00504551,741.0,1059.58435247,0.00981832,0.36914,0.947383,15.3251,35.62116312980652,1036.4829285144806,0.0,200
0.721479380231,2.73201,2800.0,0.00164917,34.4358446598053,0.0269153,725.0,1028.67633394,0.030664,1.5672,0.948601,15.3638,34.15359568595886,1070.9416091442108,0.0,200
0.755413352466,2.74547,2900.0,-0.0242318,35.57264852523804,-0.0153959,947.0,1142.4057948,0.0148133,0.231206,0.955032,15.572,35.324713706970215,1106.5295338630676,0.0,200
0.752938469274,2.73777,2700.0,-0.0179143,35.74752640724182,-0.000312668,855.5,1045.83447543,0.0364172,1.44979,0.95139,15.4525,35.44751691818237,1142.2981204986572,0.0,200
0.736110507939,2.73762,2900.0,-0.0195607,35.168662548065186,-0.0157134,1069.5,1145.08504051,0.00424852,0.0553877,0.951317,15.4501,34.84935688972473,1177.4784715175629,0.0,200
0.709609175183,2.72976,2900.0,-0.0474782,36.67012691497803,-0.015247,953.0,1121.20069568,0.0497703,2.94655,0.947519,15.3292,36.38235926628113,1214.1599910259247,0.0,200
0.739798511862,2.72214,2900.0,-0.0126203,34.8976194858551,0.0115141,1150.0,1185.28477591,0.0771471,5.74164,0.943936,15.2128,34.64592742919922,1249.0730311870575,0.0,200
0.718120200006,2.72789,2900.0,-0.0404109,35.78903269767761,-0.0215582,1133.5,1107.35168307,0.0416346,0.923461,0.946596,15.3006,35.420461654663086,1284.8801276683807,0.0,200
0.729631095042,2.71711,2900.0,-0.023538,34.90398120880127,-0.0175647,1330.0,1073.40579466,0.0176605,0.613174,0.941489,15.1366,34.57459783554077,1319.79656457901,0.0,200
0.760109169588,2.70833,2900.0,-0.0434961,36.7534966468811,-0.0335823,1565.5,1072.03533057,0.0139595,0.276163,0.937333,15.0042,36.421942472457886,1356.5643455982208,0.0,200
0.751712758778,2.69154,2900.0,-0.0336233,35.59881782531738,-0.019132,1625.5,980.203932863,0.0220939,0.441483,0.929487,14.7544,35.36413931846619,1392.180985212326,0.0,200
0.761175455892,2.68197,2900.0,-0.0204785,34.83986186981201,-0.00416877,1669.5,925.051214798,0.0319635,0.506041,0.925079,14.6139,34.516074895858765,1427.0379462242126,0.0,200
0.823590776013,2.67989,2900.0,-0.0432121,36.697622776031494,-0.0190619,1943.5,841.342825488,0.0778399,2.0654,0.924125,14.5835,36.32022571563721,1463.755022764206,0.0,200
0.854872791097,2.67036,2900.0,-0.0132123,34.84452819824219,-0.00330833,2097.0,721.381313869,0.0251905,0.320434,0.919722,14.4452,34.46683645248413,1498.6114029884338,0.0,200
0.90922483939,2.66871,2900.0,-0.0533579,37.14571928977966,-0.0418445,2297.0,523.918886852,0.0278648,0.468485,0.918944,14.4213,36.81340193748474,1535.7654922008514,0.0,200
0.927209892869,2.64778,3000.0,-0.0270736,33.778674840927124,-0.0160904,2337.5,482.331576822,0.0219236,0.21105,0.909355,14.1227,33.518853425979614,1569.5544419288635,0.0,200
0.93922685571,2.63974,2900.0,-0.0578843,34.925971269607544,-0.0449241,2382.0,387.009043822,0.0218329,0.548053,0.90568,14.0095,34.69438171386719,1604.4960849285126,800.0,200
0.952774046373,2.61728,3000.0,-0.026479,34.87417244911194,-0.0186075,2444.5,352.0933825,0.0246775,0.325099,0.895568,13.6984,34.636301040649414,1639.3875880241394,500.0,200
0.955739772051,2.60797,2900.0,-0.030684,34.5321626663208,-0.0219071,2498.0,319.993749939,0.0145011,0.709837,0.891409,13.5715,34.2168927192688,1673.933899641037,700.0,200
0.975571087801,2.59702,2900.0,-0.0262145,36.04848861694336,-0.0185333,2562.5,257.960752829,0.0394504,0.517405,0.88654,13.4237,35.72700214385986,1709.9876809120178,1000.0,200
0.979662379933,2.58775,2900.0,-0.0486157,36.788716554641724,-0.0439867,2564.0,221.368471106,0.00816804,0.206702,0.882442,13.2999,36.48556137084961,1746.7948019504547,1600.0,200
