LossBefore,ItrTime,MaxKL,MeanKL,Perplexity,MaxReturn,ExplainedVariance,MinReturn,StdReturn,LossAfter,Time,AveragePolicyStd,Entropy,NumTrajs,AverageReturn,TotalExecTime
0.00373222,12.438382625579834,0.860247,0.187757,13.0471,1300.0,0.319994934085,0.0,431.595875791,-0.0331482,12.438375234603882,0.87453,2.56857,20,385.0,12.339915752410889
-0.00369693,12.98486042022705,0.468196,0.15844,13.0959,12300.0,0.274878211726,1800.0,2543.87008316,-0.0430129,25.429145097732544,0.876194,2.5723,20,6985.0,12.719736099243164
0.00251905,11.473753690719604,0.182522,0.0782424,13.0717,21800.0,0.966087098104,18100.0,855.847533151,-0.0207877,36.9065465927124,0.875304,2.57045,20,20645.0,11.29886507987976
-0.0113301,12.23963189125061,0.0433065,0.00757847,13.0882,22000.0,0.992545420398,20900.0,262.488094968,-0.0161717,49.17384195327759,0.875903,2.57171,20,21690.0,12.189436912536621
-0.0289274,12.889387607574463,0.182772,0.0728553,13.0143,22100.0,0.987604547152,20100.0,460.298815988,-0.0509422,62.06948733329773,0.873448,2.56605,20,21525.0,12.856188535690308
0.00342049,12.561357259750366,0.183377,0.082429,12.8274,22100.0,0.993201286676,21200.0,270.693553673,-0.00702347,74.63547468185425,0.867245,2.55158,20,21635.0,12.49771761894226
0.00282133,12.483445405960083,0.091511,0.03709,12.8494,22200.0,0.994600244811,21400.0,203.715487875,-0.00437102,87.1251916885376,0.867935,2.55329,20,21750.0,12.426711320877075
